seed,encoder_method,rank_k,rank_clipped,projection_symmetric,projection_idempotent,original_target_acc,projected_target_acc,target_delta_vs_original,source_env0_acc,source_env1_acc,source_mean_acc,scalar_logit_color_response,scalar_logit_color_suppression_ratio,probability_color_response,counterfactual_prediction_consistency,counterfactual_prediction_flip_rate,clean_oracle_coverage_acc,clean_oracle_delta_vs_rank0,red_green_color_probe_acc,ridge
11,ERM,64,64,True,True,0.109,0.4943,0.38530000000000003,0.49552,0.49184,0.49368,6.310630283593061e-31,5.20175691031753e-32,3.530337440138689e-32,1.0,0.0,0.486,-0.42785000000000006,0.5,0.001
11,IRMv1,0,0,True,True,0.6631,0.6631,0.0,0.62556,0.61944,0.6225,0.2716712578839789,1.0,0.013519389802281507,0.8104,0.1896,0.81215,0.0,1.0,0.001
11,IRMv1,1,1,True,True,0.6631,0.6516,-0.011500000000000066,0.63848,0.63696,0.6377200000000001,0.26608807249363065,0.979448744656188,0.013006773382629752,0.8189,0.18110000000000004,0.8132,0.0010499999999999954,0.47565,0.001
11,IRMv1,2,2,True,True,0.6631,0.6262,-0.036900000000000044,0.59168,0.58604,0.5888599999999999,0.19761674921835193,0.7274113233676969,0.009020135682651042,0.8386,0.1614,0.8128,0.0006499999999999284,0.44995,0.001
11,IRMv1,4,4,True,True,0.6631,0.5159,-0.1472,0.54672,0.553,0.54986,0.01137967843451066,0.041887678965915914,0.0006950806014988158,0.9098,0.09019999999999995,0.80615,-0.006000000000000005,0.433,0.001
11,IRMv1,8,8,True,True,0.6631,0.5056,-0.15749999999999997,0.50728,0.51008,0.50868,0.0045388115493606275,0.016706999425382688,0.000276525082281046,0.9967,0.0032999999999999696,0.80435,-0.007800000000000029,0.43515,0.001
11,IRMv1,16,16,True,True,0.6631,0.6101,-0.05300000000000005,0.60184,0.59808,0.59996,0.0016255707910692934,0.00598359503957359,0.00010145340399007756,0.7534,0.24660000000000004,0.8016,-0.01055000000000006,0.4617,0.001
11,IRMv1,32,32,True,True,0.6631,0.5032,-0.15990000000000004,0.51544,0.521,0.51822,0.00019368929648538752,0.0007129546864619198,1.2102974751769452e-05,0.793,0.20699999999999996,0.76745,-0.04470000000000007,0.4628,0.001
11,IRMv1,64,64,True,True,0.6631,0.5057,-0.15739999999999998,0.50448,0.50816,0.50632,6.740008513520406e-31,2.4809428005073778e-30,4.390750494653575e-32,1.0,0.0,0.486,-0.32615000000000005,0.5,0.001
12,ERM,0,0,True,True,0.1043,0.1043,0.0,0.7994,0.901,0.8502000000000001,13.855788495076322,1.0,0.43588560247231106,0.0118,0.9882,0.9106,0.0,1.0,0.001
12,ERM,1,1,True,True,0.1043,0.7007,0.5964,0.69684,0.69196,0.6944,0.026345452197457122,0.0019014040382342025,0.0016044137736640715,0.8728,0.12719999999999998,0.91085,0.0002500000000000835,0.3967,0.001
12,ERM,2,2,True,True,0.1043,0.6738,0.5694999999999999,0.6774,0.672,0.6747000000000001,0.02540145329601942,0.0018332737472895081,0.0015498487094452785,0.8209,0.17910000000000004,0.9112,0.0006000000000000449,0.39695,0.001
12,ERM,4,4,True,True,0.1043,0.4997,0.3954,0.51312,0.52184,0.5174799999999999,0.00027022546150820196,1.9502712646359104e-05,1.6882155456319826e-05,0.9496,0.0504,0.90395,-0.006649999999999934,0.4115,0.001
12,ERM,8,8,True,True,0.1043,0.5026,0.39830000000000004,0.50124,0.50916,0.5052,4.05659431222019e-05,2.927725342849819e-06,2.5348037589909084e-06,0.9999,9.999999999998899e-05,0.90195,-0.008649999999999936,0.44525,0.001
12,ERM,16,16,True,True,0.1043,0.5027,0.39840000000000003,0.5012,0.50912,0.50516,2.5507255941154238e-05,1.8409097360441295e-06,1.5937740882528621e-06,1.0,0.0,0.8788,-0.03179999999999994,0.44075,0.001
12,ERM,32,32,True,True,0.1043,0.5027,0.39840000000000003,0.5012,0.50912,0.50516,1.1413282924250033e-06,8.23719482172073e-08,7.132993242822667e-08,1.0,0.0,0.83765,-0.07294999999999996,0.47385,0.001
12,ERM,64,64,True,True,0.1043,0.5027,0.39840000000000003,0.5012,0.50912,0.50516,2.6688343238702175e-29,1.9261511712729973e-30,1.6361924272560378e-30,1.0,0.0,0.486,-0.4246,0.5,0.001
12,IRMv1,0,0,True,True,0.6725,0.6725,0.0,0.59128,0.58252,0.5869,0.21866346187799868,1.0,0.010682930874738403,0.8312,0.16879999999999995,0.81055,0.0,1.0,0.001
12,IRMv1,1,1,True,True,0.6725,0.6598,-0.012699999999999934,0.60448,0.59896,0.60172,0.2138168282866706,0.977835192264393,0.010196244030911105,0.847,0.15300000000000002,0.8109,0.00034999999999996145,0.452,0.001
12,IRMv1,2,2,True,True,0.6725,0.6594,-0.0131,0.60536,0.59848,0.60192,0.2135147769093823,0.976453839501137,0.010272821252312278,0.8471,0.15290000000000004,0.81085,0.00029999999999996696,0.44175,0.001
12,IRMv1,4,4,True,True,0.6725,0.5404,-0.1321,0.56752,0.56484,0.56618,0.029859836314525944,0.136556130860061,0.0016675032071345654,0.9272,0.07279999999999998,0.8101,-0.00044999999999995044,0.4148,0.001
12,IRMv1,8,8,True,True,0.6725,0.532,-0.14049999999999996,0.5256,0.52024,0.52292,0.011035567846063864,0.050468275546744344,0.0006410351431309257,0.9506,0.0494,0.807,-0.003549999999999942,0.41875,0.001
12,IRMv1,16,16,True,True,0.6725,0.5436,-0.12890000000000001,0.54824,0.54596,0.5470999999999999,0.0018760974920520013,0.00857983988700752,0.0001168423699340305,0.9096,0.09040000000000004,0.7963,-0.014249999999999985,0.45965,0.001
12,IRMv1,32,32,True,True,0.6725,0.511,-0.16149999999999998,0.51924,0.51656,0.5179,0.00038107660137333567,0.0017427539018199298,2.3789827580068228e-05,0.9528,0.04720000000000002,0.766,-0.04454999999999998,0.4883,0.001
12,IRMv1,64,64,True,True,0.6725,0.5027,-0.16979999999999995,0.5012,0.50912,0.50516,3.3834911439284305e-31,1.5473509450866643e-30,2.3527776498216678e-32,1.0,0.0,0.486,-0.32455,0.5,0.001
13,ERM,0,0,True,True,0.1162,0.1162,0.0,0.79904,0.90052,0.84978,11.941901033824989,1.0,0.3977779298044784,0.0177,0.9823,0.9137,0.0,1.0,0.001
13,ERM,1,1,True,True,0.1162,0.5057,0.38950000000000007,0.5072,0.50352,0.50536,0.06703031136150367,0.005613035242181526,0.003297233976647367,1.0,0.0,0.914,0.000300000000000078,0.40815,0.001
13,ERM,2,2,True,True,0.1162,0.641,0.5248,0.678,0.68328,0.68064,0.02266750115712322,0.0018981484683986553,0.0013780429854566014,0.7945,0.20550000000000002,0.91415,0.00045000000000006146,0.40785,0.001
13,ERM,4,4,True,True,0.1162,0.5048,0.38860000000000006,0.50984,0.50548,0.50766,0.000731166828600318,6.1227004522087e-05,4.558885713833323e-05,0.9973,0.0027000000000000357,0.90945,-0.004249999999999976,0.43095,0.001
13,ERM,8,8,True,True,0.1162,0.5058,0.38960000000000006,0.5058,0.50152,0.50366,6.285490678692669e-05,5.263392035228941e-06,3.926585785254332e-06,0.9976,0.0023999999999999577,0.9048,-0.008899999999999908,0.44785,0.001
13,ERM,16,16,True,True,0.1162,0.5057,0.38950000000000007,0.50716,0.50352,0.50534,2.5843559941931014e-05,2.1641076968172904e-06,1.6145750184515535e-06,1.0,0.0,0.8898,-0.02389999999999992,0.45445,0.001
13,ERM,32,32,True,True,0.1162,0.5057,0.38950000000000007,0.50716,0.50352,0.50534,1.2448443436900042e-06,1.0424172333735049e-07,7.778070208506421e-08,1.0,0.0,0.79605,-0.11764999999999992,0.47075,0.001
13,ERM,64,64,True,True,0.1162,0.5057,0.38950000000000007,0.50716,0.50352,0.50534,2.3292084381444036e-30,1.9504502939247342e-31,1.4574698262023957e-31,1.0,0.0,0.486,-0.42769999999999997,0.5,0.001
13,IRMv1,0,0,True,True,0.6894,0.6894,0.0,0.57936,0.56696,0.57316,0.2809604210386183,1.0,0.01495034559184339,0.7514,0.24860000000000004,0.81465,0.0,1.0,0.001
13,IRMv1,1,1,True,True,0.6894,0.6598,-0.02959999999999996,0.60684,0.60296,0.6049,0.2626935287988425,0.9349841085365366,0.013783278189888323,0.785,0.21499999999999997,0.8146,-4.999999999999449e-05,0.4545,0.001
13,IRMv1,2,2,True,True,0.6894,0.5051,-0.18430000000000002,0.50868,0.50592,0.5073000000000001,0.0650537907015399,0.23154076457124254,0.003097701993254044,0.9959,0.0040999999999999925,0.8116,-0.003049999999999997,0.44895,0.001
13,IRMv1,4,4,True,True,0.6894,0.5292,-0.1602,0.60564,0.61496,0.6103,0.017387087082038566,0.06188447119264778,0.0010696694699744744,0.6773,0.3227,0.8079,-0.006750000000000034,0.4423,0.001
13,IRMv1,8,8,True,True,0.6894,0.5268,-0.16259999999999997,0.52848,0.53048,0.52948,0.007562353838473388,0.026916082380991076,0.00046422844981706523,0.9385,0.0615,0.80755,-0.007099999999999995,0.45145,0.001
13,IRMv1,16,16,True,True,0.6894,0.507,-0.1824,0.51148,0.508,0.5097400000000001,0.0013379553217409696,0.0047620775794504746,8.337485009397365e-05,0.9842,0.015800000000000036,0.7983,-0.016349999999999976,0.4718,0.001
13,IRMv1,32,32,True,True,0.6894,0.5059,-0.1835,0.50772,0.50404,0.50588,0.0002928286705702331,0.0010422417132197545,1.8274645119958116e-05,0.998,0.0020000000000000018,0.7806,-0.034050000000000025,0.4951,0.001
13,IRMv1,64,64,True,True,0.6894,0.5057,-0.18369999999999997,0.50716,0.50352,0.50534,4.223897168735598e-31,1.5033780036067853e-30,4.150024659044726e-32,1.0,0.0,0.486,-0.32865,0.5,0.001
14,ERM,0,0,True,True,0.1131,0.1131,0.0,0.79904,0.89972,0.84938,11.654343177398271,1.0,0.39361520651652615,0.0133,0.9867,0.9136,0.0,1.0,0.001
14,ERM,1,1,True,True,0.1131,0.5035,0.39039999999999997,0.50552,0.50852,0.50702,0.1762784503522442,0.015125558572370511,0.006554844890488104,1.0,0.0,0.9138,0.00019999999999997797,0.4203,0.001
