setting,method,lambda,information_floor,affine_total_regret,total_excess,static_only_regret,adaptive_only_regret,interaction,recoverable_residual_operator_norm,independent_solver_value,independent_solver_error
coupled_3a_3d_primary,L2,0.0,0.0,2.551112556212925e-28,2.551112556212925e-28,0.5257766469074111,2.54668545038989e-28,0.0,3.0885392555144457e-12,2.6651590861613682e-24,2.664903974905747e-24
coupled_3a_3d_primary,L2,0.0001,0.0,9.027921063598403e-09,9.027921063598403e-09,0.5257910729066415,6.901786573065492e-09,-1.442387309591453e-05,0.00011748860858028317,6.195047759194656e-09,2.8328733044037472e-09
coupled_3a_3d_primary,L2,0.001,0.0,9.010702278648863e-07,9.010702278648863e-07,0.5259208347001003,6.888031271843336e-07,-0.00014397552558853555,0.0011737147244405973,6.18340065041091e-07,2.8273016282379534e-07
coupled_3a_3d_primary,L2,0.01,0.0,8.841211981794064e-05,8.841211981794064e-05,0.5272113717541395,6.752674619993591e-05,-0.0014138394731103565,0.011621251757012747,8.841211981930597e-05,1.3653357958109957e-15
coupled_3a_3d_primary,L2,0.1,0.0,0.007382277598601738,0.007382277598601738,0.539470015636077,0.005590878025672832,-0.011901969155736936,0.10574382275738695,0.007382277598606927,5.18855791664663e-15
coupled_3a_3d_primary,IRMV1,0.0,0.0,2.551112556212925e-28,2.551112556212925e-28,0.5257766469074111,2.54668545038989e-28,0.0,3.0885392555144457e-12,2.6651590861613682e-24,2.664903974905747e-24
coupled_3a_3d_primary,IRMV1,0.0001,0.0,6.741237735488682e-14,6.741237735488682e-14,0.5257767974600588,3.0893360556597104e-28,-1.505525802913965e-07,1.5934009502465371e-06,1.1405439880369333e-12,1.0731316106820465e-12
coupled_3a_3d_primary,IRMV1,0.001,0.0,1.873884587332082e-10,1.873884587332082e-10,0.5257781508340426,1.263962179970047e-10,-1.5038656392407646e-06,1.5899447663174005e-05,1.1353087468452335e-10,7.385758404868486e-11
coupled_3a_3d_primary,IRMV1,0.01,0.0,1.794193883315141e-08,1.794193883315141e-08,0.5257915307969063,1.2114754055154017e-08,-1.4878062310486051e-05,0.0001556583056258419,1.0853152496293609e-08,7.088786336857801e-09
coupled_3a_3d_primary,IRMV1,0.1,0.0,1.260510405499983e-06,1.260510405499983e-06,0.5259134946264625,8.612087354425717e-07,-0.00013644841738136293,0.0013124090333753204,1.2605104043681032e-06,1.1318797512623177e-15
coupled_3a_3d_primary,VREX,0.0,0.0,2.551112556212925e-28,2.551112556212925e-28,0.5257766469074111,2.54668545038989e-28,0.0,3.0885392555144457e-12,2.6651590861613682e-24,2.664903974905747e-24
coupled_3a_3d_primary,VREX,0.0001,0.0,1.7351448086401357e-15,1.7351448086401357e-15,0.5257766644010866,3.5299089493650794e-28,-1.749367373182764e-08,1.415386511816689e-07,1.05793814933527e-14,8.844236684712564e-15
coupled_3a_3d_primary,VREX,0.001,0.0,1.735139865158918e-13,1.735139865158918e-13,0.5257768218438323,3.5325459339825367e-28,-1.7493624770992255e-07,1.4153677354538424e-06,1.0579274073247534e-12,8.844134208088617e-13
coupled_3a_3d_primary,VREX,0.01,0.0,1.6115445485731334e-10,1.6115445485731334e-10,0.5257783962380884,1.0015977298171968e-10,-1.749269682660426e-06,1.4153428770564379e-05,1.0578777564998973e-10,5.5366679207323606e-11
coupled_3a_3d_primary,VREX,0.1,0.0,1.6109842047505822e-08,1.6109842047505822e-08,0.5257941368612953,1.0012691673698564e-08,-1.7483856733835346e-05,0.0001415110714657942,1.0573872623345566e-08,5.535969424160256e-09
