lambda,method,seed,setting,task1_E_norm,task1_pi_error,task2_E_operator_norm,task2_information_floor,task2_slack_ratio,task2_total_excess,task2_total_regret
0.01,VREX,0,mechanism_defined_hidden,14.72174820143278,9.491190765711751e-11,14.721747062213876,51.06412086994154,inf,107.56588617248661,158.63000704242816
0.1,VREX,0,mechanism_defined_hidden,14.7176708451788,5.062493014051906e-11,14.717559908156481,51.06412086994154,inf,107.52588779651356,158.5900086664551
0.0,L2,0,mechanism_defined_exposed,17.388618856876164,9.220109835244595e-11,17.38861885687616,17.021373623313846,inf,150.4227215374618,167.44409516077565
0.001,L2,0,mechanism_defined_exposed,17.499209337301462,6.020945165431606e-11,17.49920933730146,17.021373623313846,inf,152.42897165983334,169.4503452831472
0.01,L2,0,mechanism_defined_exposed,17.94934414810078,2.90837392029324e-11,17.94934414810078,17.021373623313846,inf,161.01233329627357,178.03370691958742
0.1,L2,0,mechanism_defined_exposed,18.628580268703345,1.7271056875860865e-11,18.628580268703345,17.021373623313846,inf,174.80189571909904,191.82326934241289
0.001,IRMV1,0,mechanism_defined_exposed,17.387565327396434,1.0365539809369338e-10,17.387563684064556,17.021373623313846,inf,150.4088837404325,167.43025736374634
0.01,IRMV1,0,mechanism_defined_exposed,17.38112066976509,7.680940323209076e-11,17.380943707898687,17.021373623313846,inf,150.33027245408738,167.35164607740123
0.1,IRMV1,0,mechanism_defined_exposed,17.35925618380795,1.1017335995428168e-10,17.343342666275774,17.021373623313846,inf,149.98046938151117,167.00184300482502
0.001,VREX,0,mechanism_defined_exposed,17.388508718637098,6.867953722483117e-11,17.388508709393605,17.021373623313846,inf,150.42107644982806,167.4424500731419
0.01,VREX,0,mechanism_defined_exposed,17.38752016112742,9.491190765711751e-11,17.387519239169478,17.021373623313846,inf,150.40629942813476,167.4276730514486
0.1,VREX,0,mechanism_defined_exposed,17.377894836387625,5.062493014051906e-11,17.377804982176695,17.021373623313846,inf,150.261323237911,167.28269686122485
0.0,L2,0,irrelevant_source_diversity,15.083923507976218,9.220109835244595e-11,14.855849287107963,0.0,inf,110.34812902063311,110.34812902063311
0.001,L2,0,irrelevant_source_diversity,15.106449076879315,6.020945165431606e-11,14.91147437431354,0.0,inf,111.37400478532741,111.37400478532741
0.01,L2,0,irrelevant_source_diversity,15.304011449909506,2.90837392029324e-11,15.150034560021517,0.0,inf,115.8478203464451,115.8478203464451
0.1,L2,0,irrelevant_source_diversity,15.64866211885242,1.7271056875860865e-11,15.531640266524164,0.0,inf,123.47928564272223,123.47928564272223
0.001,IRMV1,0,irrelevant_source_diversity,15.083371013717212,1.0365539809369338e-10,14.855270920807229,0.0,inf,110.3426327257472,110.3426327257472
0.01,IRMV1,0,irrelevant_source_diversity,15.080340358181703,7.680940323209076e-11,14.851821125911709,0.0,inf,110.31538687607143,110.31538687607143
0.1,IRMV1,0,irrelevant_source_diversity,15.085223631796467,1.1017335995428168e-10,14.83586073866393,0.0,inf,110.27202378634112,110.27202378634112
0.001,VREX,0,irrelevant_source_diversity,15.083876388155256,6.867953722483117e-11,14.855800736969242,0.0,inf,110.34749062057602,110.34749062057602
0.01,VREX,0,irrelevant_source_diversity,15.083454120323763,9.491190765711751e-11,14.855364604543022,0.0,inf,110.34175638952183,110.34175638952183
0.1,VREX,0,irrelevant_source_diversity,15.079406275531452,5.062493014051906e-11,14.85108281186763,0.0,inf,110.28551798563569,110.28551798563569
0.0,L2,1,declared_source_target_coupled_correlation,10.102457152862717,8.584369729394657e-11,10.10245715286272,0.0,inf,51.02982026271354,51.02982026271354
0.001,L2,1,declared_source_target_coupled_correlation,10.139516212959808,7.981012896581288e-11,10.139516212959808,0.0,inf,51.5752569512859,51.5752569512859
0.01,L2,1,declared_source_target_coupled_correlation,10.291942292313962,2.696243163842477e-11,10.29194229231396,0.0,inf,53.88145546436083,53.88145546436083
0.1,L2,1,declared_source_target_coupled_correlation,10.37794381608025,1.402331944017214e-11,10.377943816080252,0.0,inf,56.243099489271806,56.243099489271806
0.001,IRMV1,1,declared_source_target_coupled_correlation,10.101985091823241,1.168087403302888e-10,10.101982479440082,0.0,inf,51.0275296272344,51.0275296272344
0.01,IRMV1,1,declared_source_target_coupled_correlation,10.099778236183049,8.520863433742838e-11,10.09948871137475,0.0,inf,51.021717596011435,51.021717596011435
0.1,IRMV1,1,declared_source_target_coupled_correlation,10.125303058497305,1.981955309311918e-10,10.09621296882779,0.0,inf,51.14950230807819,51.14950230807819
0.001,VREX,1,declared_source_target_coupled_correlation,10.102392670109774,7.228455484970026e-11,10.102392656928298,0.0,inf,51.02923978821036,51.02923978821036
0.01,VREX,1,declared_source_target_coupled_correlation,10.101814632974447,7.565329806566794e-11,10.101813318111809,0.0,inf,51.02402628430296,51.02402628430296
0.1,VREX,1,declared_source_target_coupled_correlation,10.096257386562222,7.235389151827779e-11,10.096129120042136,0.0,inf,50.97293607623979,50.97293607623979
0.0,L2,1,mechanism_defined_hidden,10.102457152862717,8.584369729394657e-11,10.102457152862717,22.696148012363373,inf,50.264386603386434,72.96053461574981
0.001,L2,1,mechanism_defined_hidden,10.139516212959808,7.981012896581288e-11,10.139516212959808,22.696148012363373,inf,50.83381681973568,73.52996483209905
0.01,L2,1,mechanism_defined_hidden,10.291942292313964,2.696243163842477e-11,10.291942292313962,22.696148012363373,inf,53.22504564156703,75.9211936539304
0.1,L2,1,mechanism_defined_hidden,10.37794381608025,1.402331944017214e-11,10.377943816080252,22.696148012363373,inf,55.89177064602334,78.58791865838671
0.001,IRMV1,1,mechanism_defined_hidden,10.101985091823241,1.168087403302888e-10,10.101982479440082,22.696148012363373,inf,50.26289508537287,72.95904309773624
0.01,IRMV1,1,mechanism_defined_hidden,10.099778236183047,8.520863433742838e-11,10.09948871137475,22.696148012363373,inf,50.264015983515414,72.96016399587879
0.1,IRMV1,1,mechanism_defined_hidden,10.125303058497305,1.981955309311918e-10,10.09621296882779,22.696148012363373,inf,50.444963378964864,73.14111139132824
0.001,VREX,1,mechanism_defined_hidden,10.102392670109774,7.228455484970026e-11,10.1023926569283,22.696148012363373,inf,50.26394965161726,72.96009766398063
0.01,VREX,1,mechanism_defined_hidden,10.101814632974449,7.565329806566794e-11,10.10181331811181,22.696148012363373,inf,50.26002508944703,72.9561731018104
0.1,VREX,1,mechanism_defined_hidden,10.096257386562222,7.235389151827779e-11,10.096129120042134,22.696148012363373,inf,50.22155657368513,72.9177045860485
0.0,L2,1,mechanism_defined_exposed,12.191180880695178,8.584369729394657e-11,12.191180880695176,7.565382670787798,inf,73.62459659660028,81.18997926738808
0.001,L2,1,mechanism_defined_exposed,12.26396706743932,7.981012896581288e-11,12.263967067439317,7.565382670787798,inf,74.66135708001319,82.22673975080099
0.01,L2,1,mechanism_defined_exposed,12.55945403447523,2.696243163842477e-11,12.559454034475232,7.565382670787798,inf,78.95919628892113,86.52457895970893
0.1,L2,1,mechanism_defined_exposed,12.731959093558704,1.402331944017214e-11,12.731959093558704,7.565382670787798,inf,82.46402965845459,90.02941232924239
0.001,IRMV1,1,mechanism_defined_exposed,12.190254692368654,1.168087403302888e-10,12.190252776615594,7.565382670787798,inf,73.61693257765832,81.18231524844612
0.01,IRMV1,1,mechanism_defined_exposed,12.18485334436904,8.520863433742838e-11,12.184638929301851,7.565382670787798,inf,73.57829493938954,81.14367761017733
0.1,IRMV1,1,mechanism_defined_exposed,12.178935966355754,1.981955309311918e-10,12.15690387118079,7.565382670787798,inf,73.49695295801149,81.06233562879929
0.001,VREX,1,mechanism_defined_exposed,12.191033981861969,7.228455484970026e-11,12.19103397186073,7.565382670787798,inf,73.62303222767044,81.18841489845823
0.01,VREX,1,mechanism_defined_exposed,12.189715190175894,7.565329806566794e-11,12.189714192391797,7.565382670787798,inf,73.60897982327896,81.17436249406676
0.1,VREX,1,mechanism_defined_exposed,12.176847179043675,7.235389151827779e-11,12.17674969722541,7.565382670787798,inf,73.47107040008429,81.03645307087208
0.0,L2,1,irrelevant_source_diversity,10.642151179158791,8.584369729394657e-11,10.332844644671857,0.0,inf,53.383839225461976,53.383839225461976
0.001,L2,1,irrelevant_source_diversity,10.636504340378083,7.981012896581288e-11,10.36238398917405,0.0,inf,53.883126523870835,53.883126523870835
0.01,L2,1,irrelevant_source_diversity,10.730928187880997,2.696243163842477e-11,10.508320812877052,0.0,inf,56.12823118854843,56.12823118854843
0.1,L2,1,irrelevant_source_diversity,10.821670394709443,1.402331944017214e-11,10.634540053866887,0.0,inf,58.87379614901081,58.87379614901081
0.001,IRMV1,1,irrelevant_source_diversity,10.641673555916853,1.168087403302888e-10,10.332333836687388,0.0,inf,53.3810609374663,53.3810609374663
0.01,IRMV1,1,irrelevant_source_diversity,10.639377802823045,8.520863433742838e-11,10.329511214593058,0.0,inf,53.371126959415385,53.371126959415385
0.1,IRMV1,1,irrelevant_source_diversity,10.662256391651727,1.981955309311918e-10,10.322363562983492,0.0,inf,53.45570795891817,53.45570795891817
0.001,VREX,1,irrelevant_source_diversity,10.642088985036732,7.228455484970026e-11,10.332781475176537,0.0,inf,53.38325650697469,53.38325650697469
0.01,VREX,1,irrelevant_source_diversity,10.64153143657039,7.565329806566794e-11,10.332214016165379,0.0,inf,53.37802247058969,53.37802247058969
0.1,VREX,1,irrelevant_source_diversity,10.636168537574365,7.235389151827779e-11,10.326642992986434,0.0,inf,53.326694520597115,53.326694520597115
0.0,L2,2,declared_source_target_coupled_correlation,9.587421616196474,7.036102097117081e-11,9.587421616196474,0.0,inf,45.95932662335571,45.95932662335571
0.001,L2,2,declared_source_target_coupled_correlation,9.613157816765522,5.375851155834601e-11,9.613157816765524,0.0,inf,46.358705126277535,46.358705126277535
0.01,L2,2,declared_source_target_coupled_correlation,9.6879840403006,3.712985682983695e-11,9.6879840403006,0.0,inf,47.93450166310625,47.93450166310625
0.1,L2,2,declared_source_target_coupled_correlation,9.426392928826287,1.0792804668459384e-11,9.426392928826287,0.0,inf,47.12097064174023,47.12097064174023
0.001,IRMV1,2,declared_source_target_coupled_correlation,9.58709849229922,7.507856341286754e-11,9.587095215523918,0.0,inf,45.95878959328417,45.95878959328417
0.01,IRMV1,2,declared_source_target_coupled_correlation,9.586271851641234,1.0145000866778981e-10,9.585924829375543,0.0,inf,45.967241322494715,45.967241322494715
0.1,IRMV1,2,declared_source_target_coupled_correlation,9.633505783668934,1.4471285030823644e-10,9.596723186628841,0.0,inf,46.23360989593244,46.23360989593244
0.001,VREX,2,declared_source_target_coupled_correlation,9.587321178444485,6.41801670707819e-11,9.587321140373252,0.0,inf,45.95848461963172,45.95848461963172
0.01,VREX,2,declared_source_target_coupled_correlation,9.586423208134347,6.93355913870728e-11,9.586419412792017,0.0,inf,45.95092976284298,45.95092976284298
0.1,VREX,2,declared_source_target_coupled_correlation,9.578016323111273,1.0244272139638407e-10,9.577648285122551,0.0,inf,45.8776124979669,45.8776124979669
0.0,L2,2,mechanism_defined_hidden,9.587421616196474,7.036102097117081e-11,9.587421616196474,19.952890542207303,inf,45.06802507615477,65.02091561836207
0.001,L2,2,mechanism_defined_hidden,9.613157816765522,5.375851155834601e-11,9.613157816765526,19.952890542207303,inf,45.51056863159921,65.46345917380651
0.01,L2,2,mechanism_defined_hidden,9.6879840403006,3.712985682983695e-11,9.687984040300602,19.952890542207303,inf,47.27276760369338,67.22565814590068
0.1,L2,2,mechanism_defined_hidden,9.426392928826287,1.0792804668459384e-11,9.426392928826287,19.952890542207303,inf,47.06660307630186,67.01949361850916
0.001,IRMV1,2,mechanism_defined_hidden,9.58709849229922,7.507856341286754e-11,9.587095215523918,19.952890542207303,inf,45.06813851255795,65.02102905476525
0.01,IRMV1,2,mechanism_defined_hidden,9.586271851641234,1.0145000866778981e-10,9.585924829375543,19.952890542207303,inf,45.08211205163079,65.03500259383809
0.1,IRMV1,2,mechanism_defined_hidden,9.633505783668934,1.4471285030823644e-10,9.596723186628843,19.952890542207303,inf,45.38380115576054,65.33669169796784
0.001,VREX,2,mechanism_defined_hidden,9.587321178444485,6.41801670707819e-11,9.587321140373252,19.952890542207303,inf,45.06739874304512,65.02028928525242
0.01,VREX,2,mechanism_defined_hidden,9.586423208134347,6.93355913870728e-11,9.586419412792017,19.952890542207303,inf,45.06177874871021,65.01466929091751
0.1,VREX,2,mechanism_defined_hidden,9.578016323111273,1.0244272139638407e-10,9.577648285122551,19.952890542207303,inf,45.00721721583835,64.96010775804565
0.0,L2,2,mechanism_defined_exposed,11.685811093581338,7.036102097117081e-11,11.685811093581334,6.650963514069111,inf,67.49750666274687,74.14847017681598
0.001,L2,2,mechanism_defined_exposed,11.734864779118283,5.375851155834601e-11,11.734864779118283,6.650963514069111,inf,68.20199475901765,74.85295827308676
0.01,L2,2,mechanism_defined_exposed,11.871170315113103,3.712985682983695e-11,11.871170315113103,6.650963514069111,inf,70.69643103583529,77.3473945499044
0.1,L2,2,mechanism_defined_exposed,11.380024124074797,1.0792804668459384e-11,11.380024124074799,6.650963514069111,inf,66.88633085790558,73.53729437197468
0.001,IRMV1,2,mechanism_defined_exposed,11.685173293506685,7.507856341286754e-11,11.685170899910862,6.650963514069111,inf,67.49368356667686,74.14464708074597
0.01,IRMV1,2,mechanism_defined_exposed,11.682292755849483,1.0145000866778981e-10,11.68204084078779,6.650963514069111,inf,67.48659588714528,74.13755940121439
0.1,IRMV1,2,mechanism_defined_exposed,11.705221183172522,1.4471285030823644e-10,11.678063962895983,6.650963514069111,inf,67.6944048323143,74.34536834638341
0.001,VREX,2,mechanism_defined_exposed,11.685581569861531,6.41801670707819e-11,11.68558154182808,6.650963514069111,inf,67.49518228014254,74.14614579421165
0.01,VREX,2,mechanism_defined_exposed,11.683523603860982,6.93355913870728e-11,11.683520808500685,6.650963514069111,inf,67.47431927991121,74.12528279398032
0.1,VREX,2,mechanism_defined_exposed,11.663690452571535,1.0244272139638407e-10,11.663418724990729,6.650963514069111,inf,67.27113352776884,73.92209704183794
0.0,L2,2,irrelevant_source_diversity,10.153828702955906,7.036102097117081e-11,9.68775503438313,0.0,inf,46.92629880310783,46.92629880310783
0.001,L2,2,irrelevant_source_diversity,10.140505293537004,5.375851155834601e-11,9.709937402538895,0.0,inf,47.3071905388994,47.3071905388994
0.01,L2,2,irrelevant_source_diversity,10.1751827612955,3.712985682983695e-11,9.779691899548128,0.0,inf,48.82214665040519,48.82214665040519
0.1,L2,2,irrelevant_source_diversity,9.92894451952884,1.0792804668459384e-11,9.550136160177727,0.0,inf,48.25894603317791,48.25894603317791
0.001,IRMV1,2,irrelevant_source_diversity,10.153473195275897,7.507856341286754e-11,9.687383148911355,0.0,inf,46.925325553307104,46.925325553307104
0.01,IRMV1,2,irrelevant_source_diversity,10.152339226119752,1.0145000866778981e-10,9.685847778679994,0.0,inf,46.93030956310947,46.93030956310947
0.1,IRMV1,2,irrelevant_source_diversity,10.194394361701223,1.4471285030823644e-10,9.693236865104332,0.0,inf,47.16513893907263,47.16513893907263
0.001,VREX,2,irrelevant_source_diversity,10.153732466824437,6.41801670707819e-11,9.687653988845149,0.0,inf,46.9254397205996,46.9254397205996
0.01,VREX,2,irrelevant_source_diversity,10.152871998604928,6.93355913870728e-11,9.686747073499467,0.0,inf,46.91773084485822,46.91773084485822
0.1,VREX,2,irrelevant_source_diversity,10.144810136269387,1.0244272139638407e-10,9.677918312665799,0.0,inf,46.842844137499604,46.842844137499604
0.0,L2,3,declared_source_target_coupled_correlation,9.012442787932994,9.540913557188113e-11,9.012442787932994,0.0,inf,40.612062502882715,40.612062502882715
0.001,L2,3,declared_source_target_coupled_correlation,9.036595255575984,1.1428567459060648e-10,9.036595255575984,0.0,inf,40.85048140010502,40.85048140010502
0.01,L2,3,declared_source_target_coupled_correlation,9.168428934501613,3.562396176303723e-11,9.168428934501613,0.0,inf,42.31045030059732,42.31045030059732
0.1,L2,3,declared_source_target_coupled_correlation,9.216475406474416,1.4843957119808288e-11,9.216475406474418,0.0,inf,43.505675095244,43.505675095244
0.001,IRMV1,3,declared_source_target_coupled_correlation,9.012060166140678,9.114432373674231e-11,9.012056438831218,0.0,inf,40.611109559396716,40.611109559396716
