lambda,method,seed,setting,task1_E_norm,task1_pi_error,task2_E_operator_norm,task2_information_floor,task2_slack_ratio,task2_total_excess,task2_total_regret
0.1,VREX,3,irrelevant_source_diversity,9.554253053945779,7.295060764198034e-11,9.133907507506837,0.0,inf,41.72780599291688,41.72780599291688
0.0,L2,4,declared_source_target_coupled_correlation,11.618012023361826,3.5494917800601445e-11,11.618012023361825,0.0,inf,67.48910168749,67.48910168749
0.001,L2,4,declared_source_target_coupled_correlation,11.626780607456377,4.231003446956834e-11,11.626780607456377,0.0,inf,67.61375081043172,67.61375081043172
0.01,L2,4,declared_source_target_coupled_correlation,11.681095529276202,1.8968233131853247e-11,11.681095529276204,0.0,inf,68.36582487864894,68.36582487864894
0.1,L2,4,declared_source_target_coupled_correlation,11.661595665092328,8.1599021873625e-12,11.66159566509233,0.0,inf,68.68105175109312,68.68105175109312
0.001,IRMV1,4,declared_source_target_coupled_correlation,11.618039678836997,3.793337319559654e-11,11.618038756825245,0.0,inf,67.49179788187449,67.49179788187449
0.01,IRMV1,4,declared_source_target_coupled_correlation,11.62017824743285,4.55024691610857e-11,11.620071045656054,0.0,inf,67.53259525782066,67.53259525782066
0.1,IRMV1,4,declared_source_target_coupled_correlation,11.671149192134628,1.500761836046682e-10,11.658382018712068,0.0,inf,68.1117378535415,68.1117378535415
0.001,VREX,4,declared_source_target_coupled_correlation,11.617665571717763,3.4535181164778606e-11,11.61766542734377,0.0,inf,67.48544333291537,67.48544333291537
0.01,VREX,4,declared_source_target_coupled_correlation,11.61457573510967,4.5725816066448067e-11,11.614561382762838,0.0,inf,67.45269031762903,67.45269031762903
0.1,VREX,4,declared_source_target_coupled_correlation,11.586317914037888,4.501245023312249e-11,11.584964021889826,0.0,inf,67.1413498027658,67.1413498027658
0.0,L2,4,mechanism_defined_hidden,11.618012023361826,3.5494917800601445e-11,11.618012023361823,27.73240759671185,inf,65.5161016773138,93.24850927402565
0.001,L2,4,mechanism_defined_hidden,11.626780607456379,4.231003446956834e-11,11.626780607456379,27.73240759671185,inf,65.67473343976359,93.40714103647544
0.01,L2,4,mechanism_defined_hidden,11.681095529276202,1.8968233131853247e-11,11.681095529276204,27.73240759671185,inf,66.53433469724378,94.26674229395563
0.1,L2,4,mechanism_defined_hidden,11.661595665092328,8.1599021873625e-12,11.66159566509233,27.73240759671185,inf,67.29135387210695,95.0237614688188
0.001,IRMV1,4,mechanism_defined_hidden,11.618039678836995,3.793337319559654e-11,11.618038756825248,27.73240759671185,inf,65.51869399150574,93.2511015882176
0.01,IRMV1,4,mechanism_defined_hidden,11.62017824743285,4.55024691610857e-11,11.620071045656053,27.73240759671185,inf,65.55833097009464,93.2907385668065
0.1,IRMV1,4,mechanism_defined_hidden,11.671149192134628,1.500761836046682e-10,11.65838201871207,27.73240759671185,inf,66.11982149891364,93.85222909562549
0.001,VREX,4,mechanism_defined_hidden,11.617665571717763,3.4535181164778606e-11,11.61766542734377,27.73240759671185,inf,65.51329894661757,93.24570654332942
0.01,VREX,4,mechanism_defined_hidden,11.61457573510967,4.5725816066448067e-11,11.61456138276284,27.73240759671185,inf,65.4882035996953,93.22061119640715
0.1,VREX,4,mechanism_defined_hidden,11.586317914037888,4.501245023312249e-11,11.584964021889828,27.73240759671185,inf,65.2494150149116,92.98182261162346
0.0,L2,4,mechanism_defined_exposed,14.474854551589862,3.5494917800601445e-11,14.474854551589859,9.244135865570614,inf,103.12340776277848,112.3675436283491
0.001,L2,4,mechanism_defined_exposed,14.485563795759413,4.231003446956834e-11,14.485563795759413,9.244135865570614,inf,103.3079119271975,112.55204779276811
0.01,L2,4,mechanism_defined_exposed,14.56932146759982,1.8968233131853247e-11,14.56932146759982,9.244135865570614,inf,104.7552700075406,113.99940587311121
0.1,L2,4,mechanism_defined_exposed,14.512917947933284,8.1599021873625e-12,14.512917947933287,9.244135865570614,inf,104.40088550793287,113.64502137350348
0.001,IRMV1,4,mechanism_defined_exposed,14.47500510786569,3.793337319559654e-11,14.475004375502637,9.244135865570614,inf,103.12829226688054,112.37242813245115
0.01,IRMV1,4,mechanism_defined_exposed,14.479202537551082,4.55024691610857e-11,14.479121022845103,9.244135865570614,inf,103.20823118043323,112.45236704600384
0.1,IRMV1,4,mechanism_defined_exposed,14.554321532664206,1.500761836046682e-10,14.544744020107945,9.244135865570614,inf,104.32672160969892,113.57085747526953
0.001,VREX,4,mechanism_defined_exposed,14.47407718981832,3.4535181164778606e-11,14.4740770902751,9.244135865570614,inf,103.11334875907936,112.35748462464997
0.01,VREX,4,mechanism_defined_exposed,14.467120921345321,4.5725816066448067e-11,14.467111019303067,9.244135865570614,inf,103.0232512299914,112.26738709556201
0.1,VREX,4,mechanism_defined_exposed,14.40133225294779,4.501245023312249e-11,14.400392323826988,9.244135865570614,inf,102.16319611121465,111.40733197678526
0.0,L2,4,irrelevant_source_diversity,12.022000095501571,3.5494917800601445e-11,11.710749806699756,0.0,inf,68.5708305175592,68.5708305175592
0.001,L2,4,irrelevant_source_diversity,12.012673871273476,4.231003446956834e-11,11.71887842615018,0.0,inf,68.69687669016903,68.69687669016903
0.01,L2,4,irrelevant_source_diversity,12.04619975793601,1.8968233131853247e-11,11.778448913649626,0.0,inf,69.5092331365565,69.5092331365565
0.1,L2,4,irrelevant_source_diversity,12.037708475993314,8.1599021873625e-12,11.79745996118649,0.0,inf,70.26660956604533,70.26660956604533
0.001,IRMV1,4,irrelevant_source_diversity,12.022005947861299,3.793337319559654e-11,11.710749284545571,0.0,inf,68.57322007966272,68.57322007966272
0.01,IRMV1,4,irrelevant_source_diversity,12.02394373541614,4.55024691610857e-11,11.712553820393342,0.0,inf,68.61154235414604,68.61154235414604
0.1,IRMV1,4,irrelevant_source_diversity,12.072471062154188,1.500761836046682e-10,11.74865914482149,0.0,inf,69.16754761567054,69.16754761567054
0.001,VREX,4,irrelevant_source_diversity,12.021659474417433,3.4535181164778606e-11,11.710399096437179,0.0,inf,68.56709316445315,68.56709316445315
0.01,VREX,4,irrelevant_source_diversity,12.018621295105142,4.5725816066448067e-11,11.707257944011848,0.0,inf,68.53362976849,68.53362976849
0.1,VREX,4,irrelevant_source_diversity,11.990803646717486,4.501245023312249e-11,11.677282506174897,0.0,inf,68.21524851882485,68.21524851882485
