actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
0.0,0.0,0.5883393018106385,1.0,True,0.2663086170760427,S1,relation,0.0,True,0.00037194727154638734,L2,1.0710950225474327,0.0006917238640540102,S1-relation--1-0.25,0,0.2663086170760427,0.0,neutral
0.0,0.0,0.5238226477125492,1.0,True,0.2571165249752755,S1,mean,0.0,True,0.0006857678395037626,L2,1.0710950225474327,0.0023513876484882934,S1-mean--1-0.25,1,0.2571165249752755,0.0,neutral
0.0,0.0,0.5089655861320902,1.0,True,0.2463580758048698,S1,relation,0.0,True,0.0003485961517446659,L2,1.0710950225474327,0.000607596385055951,S1-relation-+1-0.25,2,0.2463580758048698,0.0,neutral
0.0,0.0,0.4840782484542645,1.0,True,0.2571165249752756,S1,mean,0.0,True,0.0006857678395037625,L2,1.0710950225474327,0.002351387648488293,S1-mean-+1-0.25,3,0.2571165249752756,0.0,neutral
0.0,0.0,0.8630695322344472,1.0,True,0.26734531129367256,S1,variance,0.0,True,0.0007007297367637506,L2,1.0710950225474327,0.002455110819924973,S1-variance-0.25,4,0.26734531129367256,0.0,neutral
0.0,0.0,0.6238688454353158,1.0,True,0.27742305648954824,S1,relation,0.0,True,0.0007704395141923185,L2,1.0710950225474327,0.0029678852251444803,S1-relation--1-0.5,5,0.27742305648954824,0.0,neutral
0.0,0.0,0.553790362349973,1.0,True,0.2606052293576522,S1,mean,0.0,True,0.0013937408164216897,L2,1.0710950225474327,0.009712567316798997,S1-mean--1-0.5,6,0.2606052293576522,0.0,neutral
0.0,0.0,0.4661666223263419,1.0,True,0.23752197394720187,S1,relation,0.0,True,0.0006774755188433041,L2,1.0710950225474327,0.002294865393160023,S1-relation-+1-0.5,7,0.23752197394720187,0.0,neutral
0.0,0.0,0.47681422496897224,1.0,True,0.2606052293576522,S1,mean,0.0,True,0.0013937408164216899,L2,1.0710950225474327,0.009712567316799004,S1-mean-+1-0.5,8,0.2606052293576522,0.0,neutral
0.0,0.0,0.8630695322344473,1.0,True,0.27873699907286187,S1,variance,0.0,True,0.0014014594735275035,L2,1.0710950225474327,0.009820443279699921,S1-variance-0.5,9,0.27873699907286187,0.0,neutral
