C_operator_norm,K_operator_norm,Pi_operator_norm,g_norm,l2_C_is_zero,l2_K_equals_identity,l2_g_equals_weights,lambda,method,representation_method,seed,setting
0.0,1.000000000001,396.57385201481253,0.694855255525465,True,True,True,0.0,L2,ERM,0,cleanroom_cpu_source_target_coupled
1.2266347333466991e-13,1.000000000001,14.541909142991983,0.5389512040778811,True,True,True,0.1,L2,ERM,0,cleanroom_cpu_source_target_coupled
3.4137539762974964,4.06038314790702,396.460454924856,0.0035845948234913823,,,,0.1,IRMV1,ERM,0,cleanroom_cpu_source_target_coupled
0.2896351755918875,0.01400610760795744,396.4905711746267,0.005342988564026469,,,,0.1,VREX,ERM,0,cleanroom_cpu_source_target_coupled
1.4422220147876727e-11,1.0000000000046405,61.42349438783652,0.6596510489936865,True,True,True,0.0,L2,IRMv1,0,cleanroom_cpu_source_target_coupled
3.3993498887762952e-12,1.0000000000012927,12.192654652560314,0.5833117245424324,True,True,True,0.1,L2,IRMv1,0,cleanroom_cpu_source_target_coupled
2.7904473833440084,3.1010913420217374,61.4226689099095,0.005019914201661648,,,,0.1,IRMV1,IRMv1,0,cleanroom_cpu_source_target_coupled
0.28698577928061075,0.018446842382345483,61.42017280040607,0.005606409591899704,,,,0.1,VREX,IRMv1,0,cleanroom_cpu_source_target_coupled
4.58964691090016e-13,1.000000000001,480.48927752909873,0.5845882867061555,True,True,True,0.0,L2,ERM,1,cleanroom_cpu_source_target_coupled
4.848699518061079e-14,1.000000000001,14.715090266383344,0.5527087144542835,True,True,True,0.1,L2,ERM,1,cleanroom_cpu_source_target_coupled
2.674270008023992,3.8856218626532577,480.4709053741925,0.0026238721343322217,,,,0.1,IRMV1,ERM,1,cleanroom_cpu_source_target_coupled
0.2348852166545024,0.009755205717112352,480.47392171885923,0.004450705244591341,,,,0.1,VREX,ERM,1,cleanroom_cpu_source_target_coupled
5.551115123125781e-12,1.000000000003664,39.13357919967188,0.6817303207151479,True,True,True,0.0,L2,IRMv1,1,cleanroom_cpu_source_target_coupled
8.498374721940738e-13,1.000000000001,11.01452155044154,0.619108691793587,True,True,True,0.1,L2,IRMv1,1,cleanroom_cpu_source_target_coupled
2.7807706735881395,2.8285216326576665,39.13591192278177,0.003829676421406768,,,,0.1,IRMV1,IRMv1,1,cleanroom_cpu_source_target_coupled
0.25232998994562195,0.012885787936736776,39.1334390504284,0.004411978095424931,,,,0.1,VREX,IRMv1,1,cleanroom_cpu_source_target_coupled
9.341771812940338e-13,1.000000000001,368.7658095984952,0.5997007687988365,True,True,True,0.0,L2,ERM,2,cleanroom_cpu_source_target_coupled
7.757919228897727e-13,1.0000000000010152,14.586963304992517,0.5560091657598158,True,True,True,0.1,L2,ERM,2,cleanroom_cpu_source_target_coupled
2.6745679051056377,3.6449579678949746,368.69206321714944,0.0028946596485884264,,,,0.1,IRMV1,ERM,2,cleanroom_cpu_source_target_coupled
0.23821757820730918,0.009977711983007594,368.6984685052001,0.00447776455063804,,,,0.1,VREX,ERM,2,cleanroom_cpu_source_target_coupled
6.938893903907227e-13,1.000000000001,42.75083483993839,0.6240250233910701,True,True,True,0.0,L2,IRMv1,2,cleanroom_cpu_source_target_coupled
8.673617379884034e-14,1.000000000001,11.206966750547144,0.574185962971885,True,True,True,0.1,L2,IRMv1,2,cleanroom_cpu_source_target_coupled
2.70942886664406,3.373784684650684,42.7499158843754,0.005375100120788183,,,,0.1,IRMV1,IRMv1,2,cleanroom_cpu_source_target_coupled
0.303131998267281,0.025081596997344517,42.749305027804375,0.006303702042723192,,,,0.1,VREX,IRMv1,2,cleanroom_cpu_source_target_coupled
1.1102315010011454e-11,1.0000000000053326,308.55986146575344,0.6046640242807784,True,True,True,0.0,L2,ERM,3,cleanroom_cpu_source_target_coupled
2.453269466693398e-13,1.0000000000010005,14.451813315154975,0.5502254550520397,True,True,True,0.1,L2,ERM,3,cleanroom_cpu_source_target_coupled
2.7283803416559596,3.7155376659984016,308.56402146823433,0.0028262417534104757,,,,0.1,IRMV1,ERM,3,cleanroom_cpu_source_target_coupled
0.23929887104467137,0.009251082185987759,308.5482046835893,0.004426257868315802,,,,0.1,VREX,ERM,3,cleanroom_cpu_source_target_coupled
1.494915433015887e-11,1.0000000000047806,42.15903976740747,0.6962421404779863,True,True,True,0.0,L2,IRMv1,3,cleanroom_cpu_source_target_coupled
2.0856334755713082e-12,1.0000000000011098,11.207237425925902,0.6107713173867696,True,True,True,0.1,L2,IRMv1,3,cleanroom_cpu_source_target_coupled
2.808628971233009,2.7296122132382923,42.156047323805275,0.004311644932979947,,,,0.1,IRMV1,IRMv1,3,cleanroom_cpu_source_target_coupled
0.25936654861809505,0.013133585569836972,42.156025037016676,0.004520509414336293,,,,0.1,VREX,IRMv1,3,cleanroom_cpu_source_target_coupled
4.249187360970369e-13,1.000000000001,442.8339412572232,0.6017692020620024,True,True,True,0.0,L2,ERM,4,cleanroom_cpu_source_target_coupled
7.511572993685796e-14,1.0000000000010005,14.664160289918273,0.5501100128085734,True,True,True,0.1,L2,ERM,4,cleanroom_cpu_source_target_coupled
2.760329643539976,3.8499423165177946,442.6952372109399,0.0033763083074191623,,,,0.1,IRMV1,ERM,4,cleanroom_cpu_source_target_coupled
0.252290578090041,0.012010216768398776,442.739153194336,0.004884572442999124,,,,0.1,VREX,ERM,4,cleanroom_cpu_source_target_coupled
1.6638883060640372e-12,1.0000000000010831,52.568613295759434,0.620737865681041,True,True,True,0.0,L2,IRMv1,4,cleanroom_cpu_source_target_coupled
1.931706309781658e-12,1.000000000001228,11.811573696776374,0.5793980345025633,True,True,True,0.1,L2,IRMv1,4,cleanroom_cpu_source_target_coupled
2.6052924504876334,3.1605800970871076,52.56614890638284,0.00474194646504811,,,,0.1,IRMV1,IRMv1,4,cleanroom_cpu_source_target_coupled
0.2750992015536549,0.018437783870124933,52.5662257961122,0.005472355058516572,,,,0.1,VREX,IRMv1,4,cleanroom_cpu_source_target_coupled
8.498374721940738e-13,1.0000000000010778,363.5248756525047,0.6418956850814874,True,True,True,0.0,L2,ERM,5,cleanroom_cpu_source_target_coupled
2.29482345545008e-13,1.0000000000010023,14.569874639732918,0.5551589360790858,True,True,True,0.1,L2,ERM,5,cleanroom_cpu_source_target_coupled
2.940855317250497,3.706763212045638,363.4854245010434,0.003081799823336579,,,,0.1,IRMV1,ERM,5,cleanroom_cpu_source_target_coupled
0.25081344603085975,0.010885715383618356,363.48920113024826,0.004558552310009678,,,,0.1,VREX,ERM,5,cleanroom_cpu_source_target_coupled
1.2509268882771003e-12,1.0000000000011817,41.4383681113361,0.7029741702344292,True,True,True,0.0,L2,IRMv1,5,cleanroom_cpu_source_target_coupled
1.5515838457795451e-12,1.0000000000011044,11.164740077220262,0.6152626562914784,True,True,True,0.1,L2,IRMv1,5,cleanroom_cpu_source_target_coupled
2.936821865614667,2.9052423888010384,41.44309775949279,0.004715725115492802,,,,0.1,IRMV1,IRMv1,5,cleanroom_cpu_source_target_coupled
0.2891024867700181,0.01836699258727191,41.43894677364912,0.005308370222517645,,,,0.1,VREX,IRMv1,5,cleanroom_cpu_source_target_coupled
5.485677294651095e-13,1.0000000000010072,341.280624583196,0.6783510793330272,True,True,True,0.0,L2,ERM,6,cleanroom_cpu_source_target_coupled
2.1245936804851845e-13,1.000000000001,14.570806010243137,0.5687807890440487,True,True,True,0.1,L2,ERM,6,cleanroom_cpu_source_target_coupled
3.111678154633873,3.59605623458334,341.2129801581171,0.0027064067780441506,,,,0.1,IRMV1,ERM,6,cleanroom_cpu_source_target_coupled
0.24517066313401625,0.008442146757673933,341.22555656284294,0.004229578827384996,,,,0.1,VREX,ERM,6,cleanroom_cpu_source_target_coupled
1.9626155733547186e-12,1.0000000000010445,46.15188464284879,0.6726202508663678,True,True,True,0.0,L2,IRMv1,6,cleanroom_cpu_source_target_coupled
2.7428386473255474e-13,1.000000000001,11.483956203574836,0.6055643904820723,True,True,True,0.1,L2,IRMv1,6,cleanroom_cpu_source_target_coupled
2.8275750181142496,3.029100902502866,46.15394482618049,0.004269510871921751,,,,0.1,IRMV1,IRMv1,6,cleanroom_cpu_source_target_coupled
0.2703757445349121,0.01564551813134869,46.15189899176869,0.005049669844136984,,,,0.1,VREX,IRMv1,6,cleanroom_cpu_source_target_coupled
7.757919228897727e-13,1.000000000001038,298.93765705537305,0.6030520148109295,True,True,True,0.0,L2,ERM,7,cleanroom_cpu_source_target_coupled
7.511572993685796e-14,1.0000000000010005,14.437150312754897,0.5516248910912492,True,True,True,0.1,L2,ERM,7,cleanroom_cpu_source_target_coupled
2.6991716324082176,3.6594253805310113,298.93330328742616,0.003094352212155861,,,,0.1,IRMV1,ERM,7,cleanroom_cpu_source_target_coupled
0.24580152709785089,0.010637012732159973,298.9271091012047,0.004695817507090079,,,,0.1,VREX,ERM,7,cleanroom_cpu_source_target_coupled
3.538155541877297e-12,1.0000000000010998,46.214195336168046,0.6846530935837675,True,True,True,0.0,L2,IRMv1,7,cleanroom_cpu_source_target_coupled
2.081668171172168e-12,1.0000000000012006,11.509977238690466,0.6160920276590908,True,True,True,0.1,L2,IRMv1,7,cleanroom_cpu_source_target_coupled
2.740338834375321,2.71592046352717,46.216480155937376,0.0038008360543908114,,,,0.1,IRMV1,IRMv1,7,cleanroom_cpu_source_target_coupled
