B_R_norm,C_O_operator_norm,C_operator_norm,E_norm,H_R_norm,K_operator_norm,PiO_norm,g_norm,information_floor,lambda,method,pi_operator_norm,pi_reconstruction_relative_error,rank_C_O,rank_K,reconstructed_pi_operator_norm,representation_method,seed,setting,source_factorization_residual,total_B_relative_error,total_H_relative_error,total_regret
4.777890566067243,0.0,0.0,3.6995334919338467,4.375141549448181,1.000000000001,1.0087969728453114,0.694855255525465,0.0,0.0,L2,396.57385201481253,1.7635317081941828e-12,0,9,396.57385201442406,ERM,0,cleanroom_cpu_source_target_coupled,3.5611810676574164e-12,1.3106215773025197e-12,1.9152972506243583e-12,6.843274028970119
4.572164039464948,4.726555044913736e-16,1.2266347333466991e-13,3.667259867681993,4.37514154944442,1.000000000001,0.7442115130027526,0.5389512040778811,0.0,0.1,L2,14.541909142991983,8.42632214798615e-13,0,9,14.541909142991505,ERM,0,cleanroom_cpu_source_target_coupled,3.8708710096320826e-13,9.058132592111008e-13,1.1826961754293496e-12,6.776222463769881
4.777174510209286,1.002533902390064,3.4137539762974964,3.698813709797717,4.375141549444479,4.06038314790702,1.0071278674582327,0.0035845948234913823,0.0,0.1,IRMV1,396.460454924856,2.9692417253142347e-12,2,9,396.4604549242355,ERM,0,cleanroom_cpu_source_target_coupled,2.555949222751141e-10,1.229881973861637e-12,5.351571191816384e-10,6.8413128996621735
4.7772952634525,0.15112253781692517,0.2896351755918875,3.698699303953435,4.375141549445731,0.01400610760795744,1.0073692653121982,0.005342988564026469,0.0,0.1,VREX,396.4905711746267,2.2859129812398014e-12,1,9,396.49057117454976,ERM,0,cleanroom_cpu_source_target_coupled,3.965848542997019e-12,1.0733011274170352e-12,1.456972523033654e-12,6.841247918440387
4.727726204465783,4.835068830618408e-13,1.4422220147876727e-11,3.374201980491418,3.2970119038653625,1.0000000000046405,0.9641780179344104,0.6596510489936865,0.0,0.0,L2,61.42349438783652,2.350780687740892e-12,0,9,61.42349438782687,IRMv1,0,cleanroom_cpu_source_target_coupled,1.872300602917017e-12,1.1340382563307588e-12,1.6816111864628733e-12,5.692619502576102
4.626286381093815,1.4875170839926797e-14,3.3993498887762952e-12,3.3431122719963384,3.297011903865292,1.0000000000012927,0.8784340439276691,0.5833117245424324,0.0,0.1,L2,12.192654652560314,8.082304021879388e-13,0,9,12.192654652561831,IRMv1,0,cleanroom_cpu_source_target_coupled,5.041505219624828e-13,8.311329281501612e-13,1.4699564952006453e-12,5.67434821428708
4.727649665567192,0.9727607747182762,2.7904473833440084,3.37356350684871,3.297011903865249,3.1010913420217374,0.9630732649800284,0.005019914201661648,0.0,0.1,IRMV1,61.4226689099095,8.647436221936674e-12,2,9,61.422668909632556,IRMv1,0,cleanroom_cpu_source_target_coupled,2.341499536480201e-10,1.0997636764165699e-12,3.427740790043708e-10,5.691319864623083
4.727460824943806,0.15857320962284954,0.28698577928061075,3.3734401592801597,3.29701190386444,0.018446842382345483,0.9631205245431713,0.005606409591899704,0.0,0.1,VREX,61.42017280040607,1.7277253095267377e-12,1,9,61.42017280042067,IRMv1,0,cleanroom_cpu_source_target_coupled,2.7020295833418536e-12,1.266927260928049e-12,1.1656461444916363e-12,5.691145106805135
4.627897432911142,2.7017541591439293e-14,4.58964691090016e-13,3.7409590631450085,3.8597254253779822,1.000000000001,0.9865338512702431,0.5845882867061555,0.0,0.0,L2,480.48927752909873,3.70086456174626e-12,0,9,480.4892775306527,ERM,1,cleanroom_cpu_source_target_coupled,2.162422457119116e-11,1.2520732377313086e-12,1.7020463574621426e-12,6.997387356063388
4.5885585133398115,1.3552286076164627e-16,4.848699518061079e-14,3.703839389748321,3.85972542537673,1.000000000001,0.7049570982426095,0.5527087144542835,0.0,0.1,L2,14.715090266383344,9.671519249620485e-13,0,9,14.715090266383179,ERM,1,cleanroom_cpu_source_target_coupled,9.489127405064958e-13,8.55477671997856e-13,1.173719019317752e-12,6.917713446198847
