E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,common_base_kind,filtering_norm,interaction_norm,lambda,method,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
3.699533491933808,3.699533491933808,3.699533491933808,3.699533491933808,572.4328617089658,572.4328617089658,572.4328617089658,572.4328617089658,ERM_source_solution,0.0,0.0,0.0,L2,ERM,0,0.0,cleanroom_cpu_source_target_coupled,0.0
3.699533491933808,3.663973780171083,3.699533491933808,3.663973780171083,572.4328617089658,33.50151584685035,572.4328617089658,33.50151584685035,ERM_source_solution,543.9719537971682,0.0,0.1,L2,ERM,0,0.0,cleanroom_cpu_source_target_coupled,0.0
3.699533491933808,3.667973469621471,3.7357512710085,3.698846419095993,572.4328617089658,572.3618605724588,572.4841622756863,572.4077912620024,ERM_source_solution,0.18825677941954283,0.02224589179726756,0.1,IRMV1,ERM,0,3.6730453353466657,cleanroom_cpu_source_target_coupled,4.4226947517935394e-18
3.699533491933808,3.6987282290944488,3.69954287519654,3.698737589631561,572.4328617089658,572.4123743421636,572.441820031509,572.421332283604,ERM_source_solution,0.05582526961292965,0.00033314636375785114,0.1,VREX,ERM,0,3.202460766184861,cleanroom_cpu_source_target_coupled,1.2367841294589533e-18
3.374201980490222,3.374201980490222,3.374201980490222,3.374201980490222,94.54860274062841,94.54860274062841,94.54860274062841,94.54860274062841,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,0,0.0,cleanroom_cpu_source_target_coupled,0.0
3.374201980490222,3.336620488146132,3.374201980490215,3.3366204881461248,94.54860274062841,24.252722507379566,94.54860274062841,24.25272250737957,ERM_source_solution,71.50705888269535,5.156820622132408e-13,0.1,L2,IRMv1,0,1.1255850744622848e-12,cleanroom_cpu_source_target_coupled,2.563016961282652e-15
3.374201980490222,3.340604764296901,3.412929239387467,3.3735485657913853,94.54860274062841,94.53905188680895,94.56240904825951,94.55117609031889,ERM_source_solution,0.13841237566854683,0.019196007304267876,0.1,IRMV1,IRMv1,0,0.6647728999953315,cleanroom_cpu_source_target_coupled,7.00842574684995e-18
3.374201980490222,3.3734386672951175,3.3742149600155873,3.37345162165187,94.54860274062841,94.54850446740824,94.55021942210206,94.55012112842957,ERM_source_solution,0.00731798711085633,5.456716004971196e-05,0.1,VREX,IRMv1,0,0.5529109052010996,cleanroom_cpu_source_target_coupled,9.729780121588835e-19
3.7409590631467586,3.7409590631467586,3.7409590631467586,3.7409590631467586,735.1826986011212,735.1826986011212,735.1826986011212,735.1826986011212,ERM_source_solution,0.0,0.0,0.0,L2,ERM,1,0.0,cleanroom_cpu_source_target_coupled,0.0
3.7409590631467586,3.699947350674214,3.740959063146758,3.699947350674214,735.1826986011212,34.094921157512516,735.1826986011212,34.094921157512516,ERM_source_solution,704.357719972891,2.0444628731845395e-13,0.1,L2,ERM,1,2.8102452872895795e-13,cleanroom_cpu_source_target_coupled,4.463871938924373e-16
3.7409590631467586,3.710737104494144,3.775761439751432,3.740383600947971,735.1826986011212,735.1363394490252,735.1949151509937,735.1484009340154,ERM_source_solution,0.14698058458379581,0.015197115564794111,0.1,IRMV1,ERM,1,4.066246256142584,cleanroom_cpu_source_target_coupled,7.153269818152687e-18
3.7409590631467586,3.740226205564103,3.7409669713126843,3.7402340952965023,735.1826986011212,735.153037715137,735.1933675883419,735.163706265352,ERM_source_solution,0.06362982216061076,0.0003533489557332339,0.1,VREX,ERM,1,3.960654706762206,cleanroom_cpu_source_target_coupled,2.1466107833567237e-18
3.3809684056694875,3.3809684056694875,3.3809684056694875,3.3809684056694875,67.27371871498141,67.27371871498141,67.27371871498141,67.27371871498141,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,1,0.0,cleanroom_cpu_source_target_coupled,0.0
3.3809684056694875,3.33564433136754,3.380968405669506,3.3356443313675577,67.27371871498141,22.893069315023926,67.27371871498137,22.89306931502391,ERM_source_solution,44.922057592014106,5.767467401755727e-13,0.1,L2,IRMv1,1,8.993681817806501e-13,cleanroom_cpu_source_target_coupled,6.681822583743859e-16
3.3809684056694875,3.348760912474179,3.418196330224022,3.3804044894504592,67.27371871498141,67.26795840277578,67.28360538876699,67.27642532536781,ERM_source_solution,0.14824768875899877,0.02111245169985707,0.1,IRMV1,IRMv1,1,0.4603742585873937,cleanroom_cpu_source_target_coupled,1.1245560057077582e-17
3.3809684056694875,3.3802770380657843,3.3809795665464364,3.3802881783982235,67.27371871498141,67.27460468240493,67.27478846546619,67.27567443895568,ERM_source_solution,0.003580622717284931,2.8205583949871414e-05,0.1,VREX,IRMv1,1,0.3793872512880003,cleanroom_cpu_source_target_coupled,9.847988409703102e-19
3.7092793153410555,3.7092793153410555,3.7092793153410555,3.7092793153410555,532.6469648747955,532.6469648747955,532.6469648747955,532.6469648747955,ERM_source_solution,0.0,0.0,0.0,L2,ERM,2,0.0,cleanroom_cpu_source_target_coupled,0.0
3.7092793153410555,3.659492468773819,3.7092793153410573,3.65949246877382,532.6469648747955,32.249825785162194,532.6469648747955,32.249825785162194,ERM_source_solution,505.0373151414932,1.1477227129725445e-12,0.1,L2,ERM,2,9.009110504675843e-13,cleanroom_cpu_source_target_coupled,2.313694548927123e-16
3.7092793153410555,3.6782139331096113,3.7449377837131728,3.7086341063907207,532.6469648747955,532.5711620214975,532.6593037464223,532.5830178056575,ERM_source_solution,0.15082913455604274,0.015868577562929788,0.1,IRMV1,ERM,2,3.080158327511423,cleanroom_cpu_source_target_coupled,4.336808689942018e-18
3.7092793153410555,3.70849179966639,3.7092880359274973,3.708500499111028,532.6469648747955,532.6035263822342,532.6549609677568,532.6115217945073,ERM_source_solution,0.05823378873238808,0.0003348470052113391,0.1,VREX,ERM,2,2.9184830515615685,cleanroom_cpu_source_target_coupled,1.9665646224330706e-18
3.351427674977402,3.351427674977402,3.351427674977402,3.351427674977402,65.4490349082311,65.4490349082311,65.4490349082311,65.4490349082311,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,2,0.0,cleanroom_cpu_source_target_coupled,0.0
3.351427674977402,3.329777095809855,3.351427674977402,3.329777095809855,65.4490349082311,21.909580873145885,65.44903490823113,21.909580873145888,ERM_source_solution,44.481309650543054,1.0412236445901495e-12,0.1,L2,IRMv1,2,9.95920559761317e-13,cleanroom_cpu_source_target_coupled,2.2274157870781104e-16
3.351427674977402,3.3183042160622502,3.389540332190818,3.350772132186833,65.4490349082311,65.44526022173088,65.45669787481006,65.45189383127823,ERM_source_solution,0.12141210837955603,0.01697757688950399,0.1,IRMV1,IRMv1,2,0.44088144979657284,cleanroom_cpu_source_target_coupled,7.176239092276986e-18
3.351427674977402,3.3506653763459315,3.3514400776361275,3.3506777545610813,65.4490349082311,65.44975876745514,65.45011763610455,65.4508414959176,ERM_source_solution,0.004797808560952459,3.49605244665864e-05,0.1,VREX,IRMv1,2,0.37646909973974535,cleanroom_cpu_source_target_coupled,1.117261823176419e-18
3.7660439537904695,3.7660439537904695,3.7660439537904695,3.7660439537904695,449.78814646102194,449.78814646102194,449.78814646102194,449.78814646102194,ERM_source_solution,0.0,0.0,0.0,L2,ERM,3,0.0,cleanroom_cpu_source_target_coupled,0.0
3.7660439537904695,3.7244273558952967,3.7660439537904677,3.7244273558952967,449.78814646102194,33.04464306134544,449.78814646102194,33.044643061345404,ERM_source_solution,420.9672462458405,7.998858586602859e-13,0.1,L2,ERM,3,8.872028250547594e-13,cleanroom_cpu_source_target_coupled,3.635040607824222e-15
3.7660439537904695,3.7370333454833267,3.799385908282291,3.765442081017913,449.78814646102194,449.7558612029888,449.8017218193377,449.7686247796324,ERM_source_solution,0.1620635441625966,0.01607332625334789,0.1,IRMV1,ERM,3,2.653916102814205,cleanroom_cpu_source_target_coupled,6.590054814804026e-18
3.7660439537904695,3.765343337757984,3.7660517699573925,3.7653511366126486,449.78814646102194,449.77340553932964,449.7946718420927,449.779930667841,ERM_source_solution,0.062903328786122,0.00035968263364836187,0.1,VREX,ERM,3,2.4227898950372793,cleanroom_cpu_source_target_coupled,2.1038525158210836e-18
3.3735729081945207,3.3735729081945207,3.3735729081945207,3.3735729081945207,62.27066432713781,62.27066432713781,62.27066432713781,62.27066432713781,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,3,0.0,cleanroom_cpu_source_target_coupled,0.0
3.3735729081945207,3.318409842751742,3.373572908194628,3.3184098427518407,62.27066432713781,21.70374778666304,62.27066432713778,21.703747786663023,ERM_source_solution,41.50119894779257,3.3901472463624807e-13,0.1,L2,IRMv1,3,9.488254307978635e-13,cleanroom_cpu_source_target_coupled,1.6491353006801658e-16
3.3735729081945207,3.3408718487833795,3.4112013225297355,3.3729065379987317,62.27066432713781,62.25569596698101,62.288421177421,62.270977298277884,ERM_source_solution,0.15673454840353737,0.021652028472348053,0.1,IRMV1,IRMv1,3,0.4625576461805557,cleanroom_cpu_source_target_coupled,9.553291652506083e-18
3.3735729081945207,3.372834099467534,3.373584942105222,3.3728461101965412,62.27066432713781,62.27003949672229,62.27169551876277,62.271070659759935,ERM_source_solution,0.006171037962319448,4.340598145619618e-05,0.1,VREX,IRMv1,3,0.3583638004488011,cleanroom_cpu_source_target_coupled,6.859774648729702e-19
3.659197603898285,3.659197603898285,3.659197603898285,3.659197603898285,595.2332410696839,595.2332410696839,595.2332410696839,595.2332410696839,ERM_source_solution,0.0,0.0,0.0,L2,ERM,4,0.0,cleanroom_cpu_source_target_coupled,0.0
3.659197603898285,3.6178388696045385,3.6591976038982854,3.6178388696045385,595.2332410696839,33.59468762738603,595.2332410696839,33.594687627386065,ERM_source_solution,566.816835850871,7.167554842137483e-13,0.1,L2,ERM,4,6.487506554615237e-13,cleanroom_cpu_source_target_coupled,3.0657527999918506e-16
3.659197603898285,3.6284007122297437,3.694635230992167,3.6585471930569553,595.2332410696839,595.1333355581579,595.2491050662766,595.1484429990124,ERM_source_solution,0.1732767627151605,0.016123686020501345,0.1,IRMV1,ERM,4,3.5593180121419197,cleanroom_cpu_source_target_coupled,6.009258394948637e-18
3.659197603898285,3.6584446853032406,3.659206655981234,3.658453716847341,595.2332410696839,595.1797471688651,595.2423118514323,595.1888171047577,ERM_source_solution,0.0729369639044688,0.0004160696083194927,0.1,VREX,ERM,4,3.285963359316155,cleanroom_cpu_source_target_coupled,2.8192514115420468e-18
3.2646187357957244,3.2646187357957244,3.2646187357957244,3.2646187357957244,80.79901874847589,80.79901874847589,80.79901874847589,80.79901874847589,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,4,0.0,cleanroom_cpu_source_target_coupled,0.0
3.2646187357957244,3.2405813968109345,3.2646187357957275,3.240581396810939,80.79901874847589,22.896679239850886,80.79901874847587,22.89667923985086,ERM_source_solution,58.99985163142783,2.0868629022723141e-13,0.1,L2,IRMv1,4,4.4092819432176996e-13,cleanroom_cpu_source_target_coupled,2.3604682393660415e-16
3.2646187357957244,3.2327433005350223,3.301398139236645,3.2639789881165,80.79901874847589,80.79000009034341,80.8041795980549,80.79455228215616,ERM_source_solution,0.12026314732031324,0.016772718025342907,0.1,IRMV1,IRMv1,4,0.5375234404191794,cleanroom_cpu_source_target_coupled,6.276038365234484e-18
3.2646187357957244,3.263884519060046,3.264631423386747,3.2638971832667396,80.79901874847589,80.79589560391902,80.80032205527219,80.79719886106811,ERM_source_solution,0.0060164371326732365,3.907032689588782e-05,0.1,VREX,IRMv1,4,0.45891767997983723,cleanroom_cpu_source_target_coupled,7.353885218035231e-19
3.7807833689075254,3.7807833689075254,3.7807833689075254,3.7807833689075254,449.53437405282665,449.53437405282665,449.53437405282665,449.53437405282665,ERM_source_solution,0.0,0.0,0.0,L2,ERM,5,0.0,cleanroom_cpu_source_target_coupled,0.0
3.7807833689075254,3.7389276109059253,3.7807833689075254,3.7389276109059253,449.53437405282665,32.54841521395509,449.5343740528269,32.54841521395522,ERM_source_solution,422.82310067288114,2.709176686661485e-12,0.1,L2,ERM,5,2.013121853497989e-12,cleanroom_cpu_source_target_coupled,1.1533220675818505e-16
3.7807833689075254,3.751139472896442,3.8148302189548264,3.780143003908024,449.53437405282665,449.5111353150892,449.5504049866312,449.52600323396126,ERM_source_solution,0.16434347961892906,0.01860669130029062,0.1,IRMV1,ERM,5,2.6438552454232944,cleanroom_cpu_source_target_coupled,3.503741112641691e-18
3.7807833689075254,3.7800292951326693,3.780791278442898,3.780037185577896,449.53437405282665,449.52561775479927,449.5409570798361,449.5322006283543,ERM_source_solution,0.04803976503617259,0.00027827638987960727,0.1,VREX,ERM,5,2.432798911413637,cleanroom_cpu_source_target_coupled,1.87039624360918e-18
3.441049734519366,3.441049734519366,3.441049734519366,3.441049734519366,66.23838932239312,66.23838932239312,66.23838932239312,66.23838932239312,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,5,0.0,cleanroom_cpu_source_target_coupled,0.0
3.441049734519366,3.411356467295011,3.4410497345193654,3.411356467295011,66.23838932239312,22.536268066888745,66.23838932239308,22.536268066888738,ERM_source_solution,44.53035295762089,1.889961168833913e-12,0.1,L2,IRMv1,5,1.8016743838692642e-12,cleanroom_cpu_source_target_coupled,8.022889782300175e-16
3.441049734519366,3.4090457555980853,3.477969839379454,3.440418214052529,66.23838932239312,66.22762483899243,66.2529208871893,66.24013983976134,ERM_source_solution,0.15935209990947374,0.0223143690324717,0.1,IRMV1,IRMv1,5,0.47731035747068434,cleanroom_cpu_source_target_coupled,6.461699415881835e-18
3.441049734519366,3.440313911083346,3.4410612414882453,3.4403253953678683,66.23838932239312,66.2390655455508,66.23947366922368,66.24014989655902,ERM_source_solution,0.005233167434503062,3.7200104950123105e-05,0.1,VREX,IRMv1,5,0.37901577869118,cleanroom_cpu_source_target_coupled,7.998470006538828e-19
3.748572279563927,3.748572279563927,3.748572279563927,3.748572279563927,506.1795191082367,506.1795191082367,506.1795191082367,506.1795191082367,ERM_source_solution,0.0,0.0,0.0,L2,ERM,6,0.0,cleanroom_cpu_source_target_coupled,0.0
3.748572279563927,3.695565408351578,3.748572279563927,3.695565408351578,506.1795191082367,34.2100455064396,506.1795191082363,34.210045506439535,ERM_source_solution,476.0102357753398,4.372050430865453e-12,0.1,L2,ERM,6,2.6774896054992295e-12,cleanroom_cpu_source_target_coupled,2.184661598726166e-15
3.748572279563927,3.717066570611116,3.784934405175412,3.7480067946655224,506.1795191082367,506.1193757686493,506.20814239664406,506.14524735727315,ERM_source_solution,0.2049536070323989,0.02155920492398269,0.1,IRMV1,ERM,6,3.029689449152371,cleanroom_cpu_source_target_coupled,3.602831715325476e-18
3.748572279563927,3.7478325152800442,3.74858067701277,3.7478408934138403,506.1795191082367,506.1553117225594,506.18714893497304,506.1629411380485,ERM_source_solution,0.07015530519571349,0.0004072723803363321,0.1,VREX,ERM,6,2.779170626837143,cleanroom_cpu_source_target_coupled,2.558019306465295e-18
3.40879031485441,3.40879031485441,3.40879031485441,3.40879031485441,78.25915629634522,78.25915629634522,78.25915629634522,78.25915629634522,ERM_source_solution,0.0,0.0,0.0,L2,IRMv1,6,0.0,cleanroom_cpu_source_target_coupled,0.0
3.40879031485441,3.3717077417134913,3.4087903148544103,3.3717077417134913,78.25915629634522,23.203617977638494,78.25915629634524,23.203617977638505,ERM_source_solution,55.7970597334673,2.4741961637358328e-12,0.1,L2,IRMv1,6,2.5509769977025224e-12,cleanroom_cpu_source_target_coupled,4.0832844466266765e-17
3.40879031485441,3.374339001351222,3.448598391722054,3.4081726411708515,78.25915629634522,78.25516678847006,78.26987563624526,78.26443882973683,ERM_source_solution,0.1445214188006728,0.02063077803492411,0.1,IRMV1,IRMv1,6,0.5417582534398623,cleanroom_cpu_source_target_coupled,6.071774170509308e-18
