adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,5.834616289579606,1.959372119925776e-14,1.9593721199257768e-14,3.516342787334918e-14,cmnist,0.01,L2,-319.91119597873507,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,5.363972087346931e-15,5.363972087346934e-15,2.6062438003478218e-14,cmnist,0.1,L2,-343.9390649779616,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,9.153249840226112e-15,9.153249840226114e-15,6.022241108603361e-14,cmnist,0.001,IRMV1,-300.8097776186228,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.3796191044482236e-14,1.3796191044482236e-14,4.1996257757893996e-14,cmnist,0.01,IRMV1,-300.5899438763369,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,8.43127388025403e-15,8.431273880254032e-15,3.56158967643049e-14,cmnist,0.1,IRMV1,-299.3824087262149,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.1523053806829242e-14,1.1523053806829242e-14,2.190251027941706e-14,cmnist,0.001,VREX,-300.84190945566803,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.3252670992315524e-14,1.325267099231552e-14,2.3578157650127247e-14,cmnist,0.01,VREX,-300.81016730066,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.8279984372978805e-14,1.8279984372978802e-14,2.4111331641590212e-14,cmnist,0.1,VREX,-300.4986146765581,False,0,mechanism_defined_exposed,inf,False
False,0.0,0.0,0.0,7.94663664304384e-15,cmnist,0.0,L2,-220.69625804126616,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.6422275030599375e-15,cmnist,0.001,L2,-222.3520680158092,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.8200927434071658e-14,cmnist,0.01,L2,-229.52354716984632,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,4.3473083304122835e-15,cmnist,0.1,L2,-241.23184936871456,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.0638247849890194e-15,cmnist,0.001,IRMV1,-220.67907413058074,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.372528259660792e-15,cmnist,0.01,IRMV1,-220.57659075607737,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.5956925283698886e-15,cmnist,0.1,IRMV1,-220.1027638570298,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.5871452329412545e-15,cmnist,0.001,VREX,-220.694815536536,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,7.247543495506823e-15,cmnist,0.01,VREX,-220.68185753390958,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.8223152198695682e-14,cmnist,0.1,VREX,-220.55466068495025,False,0,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.781099168085505e-15,cmnist,0.0,L2,-102.05964052542714,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.819584605431358e-15,cmnist,0.001,L2,-102.80978903287479,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.616738418710993e-15,cmnist,0.01,L2,-105.92407614832081,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,9.393721281155742e-15,cmnist,0.1,L2,-107.7017178497184,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,5.365284248094283e-15,cmnist,0.001,IRMV1,-102.0500500149144,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.262920184007776e-15,cmnist,0.01,IRMV1,-101.99967223118607,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.0818439546162184e-15,cmnist,0.1,IRMV1,-101.93351631192647,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,8.627755645667502e-15,cmnist,0.001,VREX,-102.05833739475895,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.343838082948625e-15,cmnist,0.01,VREX,-102.04663231398122,False,1,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.109077602085009e-15,cmnist,0.1,VREX,-101.93182320856278,False,1,declared_source_target_coupled_correlation,inf,False
False,6.7373805017029245,0.0,0.0,7.53064502784086e-15,cmnist,0.0,L2,-100.52877320677293,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,4.258271394065527e-15,cmnist,0.001,L2,-101.20457259008678,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,4.454637960689654e-15,cmnist,0.01,L2,-104.03915003400297,False,1,mechanism_defined_hidden,inf,False
