cell,n,valid_n,norm_mean,norm_sd,source_mean,counterfactual_mean,clean_mean,cos_R00_mean,cos_R00_sd,cos_C_mean,cos_K_mean
delta_C,5,5,0.0010091719043461601,0.00033113609939953135,0.0005709631061111799,0.00075881873019498,0.0003348798019629,-0.4716475766362243,0.8245699900344489,0.9999988178921297,0.39683402663581896
delta_K,5,5,0.00027699850856466,5.7651705882306356e-05,0.00015707269700331999,0.00020916521078166,8.882620134750814e-05,-0.7881906751743346,0.3234275986807621,0.39683402663581896,0.9999852200044202
delta_interaction,5,5,0.0008149122144007799,0.0002528916839050213,0.00046769365675254003,0.0006078993223082001,0.00026934138587894,0.46230037970184606,0.8162263878663225,-0.9716221696951971,-0.34351563613437486
