method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,12,300,0.00025,00,1.3601013347128264e-06,3.495083505085019,3.891470211610133e-07,2.902240835891951e-06,1.66718850518903e-06,1.922356763732188e-06,1.3957180340661527e-06,4.229173785499006,0.000969728687896461,0.0,True,8.257037746534327e-19,9.026428199943949e-08,1.3520152548628666e-07,True,True,,
IRMv1,12,300,0.001,01,8.393539359746226e-08,0.05392267512869719,1.5565880846440532e-06,1.320511029445187e-07,7.34079616269142e-08,9.228539376398645e-08,5.943207094213779e-08,40.93855333904482,-0.4420643271079007,5.0,False,1.4052866289058055e-18,1.6636954691333228e-07,3.3790882578824506e-07,True,False,,
IRMv1,12,300,0.0005,01,4.196769679873113e-08,0.05392267512869719,7.782940423220266e-07,6.602555075463254e-08,3.670398052528837e-08,4.614269647007049e-08,2.9716034872148547e-08,40.93855333904482,-0.4420643271079007,5.0,False,1.4052866289058055e-18,1.6636954691333228e-07,3.3790882578824506e-07,True,False,,
IRMv1,12,300,0.00025,01,2.0983848399365565e-08,0.05392267512869719,3.891470211610133e-07,3.301277609357478e-08,1.8351990413213778e-08,2.307134897431935e-08,1.4858017693588504e-08,40.93855333904482,-0.4420643271079007,5.0,False,1.4052866289058055e-18,1.6636954691333228e-07,3.3790882578824506e-07,True,False,,
IRMv1,12,300,0.001,10,0.001000000000000001,642.4307174551392,1.5565880846440532e-06,0.002166705799363141,0.0011727691907519398,0.001468092900458912,0.0010788557280002951,4.229173785499006,0.000969728687896461,0.0,True,2.0686577451023425e-16,0.002470103681791426,0.0026766688926460986,True,True,,
IRMv1,12,300,0.0005,10,0.0005000000000000006,642.4307174551392,7.782940423220266e-07,0.0010833623464434482,0.0005863854800131152,0.0007340578305203748,0.000539430388440403,4.229173785499006,0.000969728687896461,0.0,True,2.0686577451023425e-16,0.002470103681791426,0.0026766688926460986,True,True,,
IRMv1,12,300,0.00025,10,0.0002500000000000003,642.4307174551392,3.891470211610133e-07,0.0005416816962027054,0.0002931929612328057,0.0003670280297342818,0.0002697172090800835,4.229173785499006,0.000969728687896461,0.0,True,2.0686577451023425e-16,0.002470103681791426,0.0026766688926460986,True,True,,
IRMv1,12,300,0.001,11,2.1673140884608468e-05,13.923491448005306,1.5565880846440532e-06,3.783790240893434e-05,2.087161661275738e-05,2.7359482089312464e-05,1.5733442677389455e-05,40.93855333904482,-0.4420643271079007,5.0,False,5.042902981478499e-16,5.514329519437002e-07,8.273779847709913e-07,True,False,,
IRMv1,12,300,0.0005,11,1.0836570442304234e-05,13.923491448005306,7.782940423220266e-07,1.891895565152004e-05,1.0435810495744643e-05,1.3679744052020863e-05,7.86672389958409e-06,40.93855333904482,-0.4420643271079007,5.0,False,5.042902981478499e-16,5.514329519437002e-07,8.273779847709913e-07,True,False,,
IRMv1,12,300,0.00025,11,5.418285221152117e-06,13.923491448005306,3.891470211610133e-07,9.459478939415493e-06,5.21790579614293e-06,6.8398727790518655e-06,3.933362591245378e-06,40.93855333904482,-0.4420643271079007,5.0,False,5.042902981478499e-16,5.514329519437002e-07,8.273779847709913e-07,True,False,,
