world,method,lambda,valid,information_floor,z0_norm,static_tax_lower_bound,adaptive_regret,total_regret,total_excess,E_operator_norm,slack_ratio,adaptive_condition_holds,static_tax_holds,full_minimax
hidden_u_hurts,L2,0.0,True,0.05118145108608892,1.96261557335472e-17,0.05118145108608892,0.05118145108608892,0.05118145108608892,0.0,1.3973015356361831e-12,1.9073820105326317e-23,True,True,True
hidden_u_hurts,L2,0.0001,True,0.05118145108608892,2.937454854758395e-05,0.051181451517520966,0.05118145108608892,0.051181451517520966,4.314320498077784e-10,2.785420224415804e-05,7.579470356882243e-09,True,True,False
hidden_u_hurts,L2,0.001,True,0.05118145108608892,0.00029362795323237576,0.05118149419477638,0.05118145108608892,0.05118149419479123,4.3108702316163594e-08,0.00027825313664476555,7.563756635428283e-07,True,True,False
hidden_u_hurts,L2,0.01,True,0.05118145108608892,0.0029246193951398196,0.051185727785392134,0.05118145108608892,0.05118572792935734,4.2768432684248125e-06,0.0027539553934237547,7.409198203672258e-05,True,True,False
hidden_u_hurts,L2,0.1,True,0.05118145108608892,0.028165111383536858,0.05157808783571244,0.05118145108608892,0.05157915626579195,0.00039770517970303537,0.024964178251738987,0.006088242737943651,True,True,False
hidden_u_hurts,L2,1.0,True,0.05118145108608892,0.2172709645054081,0.07478478709464406,0.05118145108608892,0.07638341701869972,0.0252019659326108,0.12733255899011395,0.15839313105541952,True,True,False
hidden_u_hurts,IRMV1,0.0,True,0.05118145108608892,1.96261557335472e-17,0.05118145108608892,0.05118145108608892,0.05118145108608892,0.0,1.3973015356361831e-12,1.9073820105326317e-23,True,True,True
hidden_u_hurts,IRMV1,0.0001,True,0.05118145108608892,3.671849053403108e-07,0.05118145108615633,0.05118145108608892,0.051181451086156335,6.741829317036263e-14,3.558544771256574e-07,1.2370927963470116e-12,True,True,False
hidden_u_hurts,IRMV1,0.001,True,0.05118145108608892,3.663482231671869e-06,0.051181451092799465,0.05118145108608892,0.051181451092799465,6.710548783317449e-12,3.5507656628665877e-06,1.231690048352228e-10,True,True,False
hidden_u_hurts,IRMV1,0.01,True,0.05118145108608892,3.582408275963566e-05,0.05118145172777137,0.05118145108608892,0.05118145172777135,6.416824363530971e-10,3.475625620153372e-05,1.1801124426061701e-08,True,True,False
hidden_u_hurts,IRMV1,0.1,True,0.05118145108608892,0.0002970545038632187,0.05118149520677805,0.05118145108608892,0.05118149520681047,4.412072155540736e-08,0.00029243277737085944,8.354289246019261e-07,True,True,False
hidden_u_hurts,IRMV1,1.0,True,0.05118145108608892,0.0016638407102649644,0.051182835269043485,0.05118145108608892,0.05118283530514915,1.3842190602353366e-06,0.0018473566999222706,3.333948827483791e-05,True,True,False
hidden_u_hurts,VREX,0.0,True,0.05118145108608892,1.96261557335472e-17,0.05118145108608892,0.05118145108608892,0.05118145108608892,0.0,1.3973015356361831e-12,1.9073820105326317e-23,True,True,True
hidden_u_hurts,VREX,0.0001,True,0.05118145108608892,5.890916411968564e-08,0.05118145108609065,0.05118145108608892,0.05118145108609066,1.7416623698807143e-15,3.081205140698933e-08,9.274673653840535e-15,True,True,False
hidden_u_hurts,VREX,0.001,True,0.05118145108608892,5.890908020261254e-07,0.05118145108626243,0.05118145108608892,0.05118145108626243,1.7351398096110415e-13,3.081193234694662e-07,9.274601977930782e-13,True,True,False
hidden_u_hurts,VREX,0.01,True,0.05118145108608892,5.890824092330206e-06,0.05118145110343982,0.05118145108608892,0.05118145110343982,1.7350905434643238e-11,3.081136761313994e-06,9.274262003584337e-11,True,True,False
hidden_u_hurts,VREX,0.1,True,0.05118145108608892,5.88998502331875e-05,0.0511814528206851,0.05118145108608892,0.05118145282068509,1.734596175029246e-09,3.080578719771964e-05,9.270902883106455e-09,True,True,False
hidden_u_hurts,VREX,1.0,True,0.05118145108608892,0.0005881614308624476,0.051181624053023296,0.05118145108608892,0.051181624053101636,1.729670127195715e-07,0.0003075042455381676,9.237610405471551e-07,True,True,False
