world,method,lambda,information_floor,z0_norm,E_operator_norm,slack_ratio,adaptive_regret,total_regret,vs_erm,source_u_exposed
hidden_u_hurts,L2,0.0,0.05118145108608892,1.96261557335472e-17,1.3973015356361831e-12,1.9073820105326317e-23,0.05118145108608892,0.05118145108608892,0.0,False
hidden_u_hurts,L2,0.0001,0.05118145108608892,2.937454854758395e-05,2.785420224415804e-05,7.579470356882243e-09,0.05118145108608892,0.051181451517520966,4.314320498077784e-10,False
hidden_u_hurts,L2,0.001,0.05118145108608892,0.00029362795323237576,0.00027825313664476555,7.563756635428283e-07,0.05118145108608892,0.05118149419479123,4.3108702316163594e-08,False
hidden_u_hurts,L2,0.01,0.05118145108608892,0.0029246193951398196,0.0027539553934237547,7.409198203672258e-05,0.05118145108608892,0.05118572792935734,4.2768432684248125e-06,False
hidden_u_hurts,L2,0.1,0.05118145108608892,0.028165111383536858,0.024964178251738987,0.006088242737943651,0.05118145108608892,0.05157915626579195,0.00039770517970303537,False
hidden_u_hurts,L2,1.0,0.05118145108608892,0.2172709645054081,0.12733255899011395,0.15839313105541952,0.05118145108608892,0.07638341701869972,0.0252019659326108,False
hidden_u_hurts,IRMV1,0.0,0.05118145108608892,1.96261557335472e-17,1.3973015356361831e-12,1.9073820105326317e-23,0.05118145108608892,0.05118145108608892,0.0,False
hidden_u_hurts,IRMV1,0.0001,0.05118145108608892,3.671849053403108e-07,3.558544771256574e-07,1.2370927963470116e-12,0.05118145108608892,0.051181451086156335,6.741829317036263e-14,False
hidden_u_hurts,IRMV1,0.001,0.05118145108608892,3.663482231671869e-06,3.5507656628665877e-06,1.231690048352228e-10,0.05118145108608892,0.051181451092799465,6.710548783317449e-12,False
hidden_u_hurts,IRMV1,0.01,0.05118145108608892,3.582408275963566e-05,3.475625620153372e-05,1.1801124426061701e-08,0.05118145108608892,0.05118145172777135,6.416824363530971e-10,False
hidden_u_hurts,IRMV1,0.1,0.05118145108608892,0.0002970545038632187,0.00029243277737085944,8.354289246019261e-07,0.05118145108608892,0.05118149520681047,4.412072155540736e-08,False
hidden_u_hurts,IRMV1,1.0,0.05118145108608892,0.0016638407102649644,0.0018473566999222706,3.333948827483791e-05,0.05118145108608892,0.05118283530514915,1.3842190602353366e-06,False
hidden_u_hurts,VREX,0.0,0.05118145108608892,1.96261557335472e-17,1.3973015356361831e-12,1.9073820105326317e-23,0.05118145108608892,0.05118145108608892,0.0,False
hidden_u_hurts,VREX,0.0001,0.05118145108608892,5.890916411968564e-08,3.081205140698933e-08,9.274673653840535e-15,0.05118145108608892,0.05118145108609066,1.7416623698807143e-15,False
hidden_u_hurts,VREX,0.001,0.05118145108608892,5.890908020261254e-07,3.081193234694662e-07,9.274601977930782e-13,0.05118145108608892,0.05118145108626243,1.7351398096110415e-13,False
hidden_u_hurts,VREX,0.01,0.05118145108608892,5.890824092330206e-06,3.081136761313994e-06,9.274262003584337e-11,0.05118145108608892,0.05118145110343982,1.7350905434643238e-11,False
hidden_u_hurts,VREX,0.1,0.05118145108608892,5.88998502331875e-05,3.080578719771964e-05,9.270902883106455e-09,0.05118145108608892,0.05118145282068509,1.734596175029246e-09,False
hidden_u_hurts,VREX,1.0,0.05118145108608892,0.0005881614308624476,0.0003075042455381676,9.237610405471551e-07,0.05118145108608892,0.051181624053101636,1.729670127195715e-07,False
grid_00_u_exposed,L2,0.001,0.0,0.0002841687879823501,0.10814641531649383,inf,0.005847823572903785,0.0058479898562967016,-9.918880477768205e-06,True
