world,method,lambda,valid,information_floor,z0_norm,static_tax_lower_bound,adaptive_regret,total_regret,total_excess,E_operator_norm,slack_ratio,adaptive_condition_holds,static_tax_holds,full_minimax
u_exposed_complete_information,L2,0.0,True,0.0,1.96261557335472e-17,1.925929944387238e-34,6.10049966457825e-59,1.9259299443871679e-34,1.9259299443871679e-34,1.3973015356361831e-12,0.0,True,True,True
u_exposed_complete_information,L2,0.0001,True,0.0,2.937454854758395e-05,4.314320511871832e-10,3.879282913292294e-10,1.3481018505203672e-09,1.3481018505203672e-09,2.785420224415804e-05,inf,False,True,False
u_exposed_complete_information,L2,0.001,True,0.0,0.00029362795323237576,4.310868745971713e-08,3.8712404026325346e-08,1.3460763307509215e-07,1.3460763307509215e-07,0.00027825313664476555,inf,False,True,False
u_exposed_complete_information,L2,0.01,True,0.0,0.0029246193951398196,4.276699303214003e-06,3.7921351544838925e-06,1.3261143472545034e-05,1.3261143472545034e-05,0.0027539553934237547,inf,False,True,False
u_exposed_complete_information,L2,0.1,True,0.0,0.028165111383536858,0.00039663674962351876,0.000311605097892299,0.0011522714041840797,0.0011522714041840797,0.024964178251738987,inf,False,True,False
u_exposed_complete_information,L2,1.0,True,0.0,0.2172709645054081,0.023603336008555152,0.008106790289485417,0.04726598929707373,0.04726598929707373,0.12733255899011395,inf,False,True,False
u_exposed_complete_information,IRMV1,0.0,True,0.0,1.96261557335472e-17,1.925929944387238e-34,6.10049966457825e-59,1.9259299443871679e-34,1.9259299443871679e-34,1.3973015356361831e-12,0.0,True,True,True
u_exposed_complete_information,IRMV1,0.0001,True,0.0,3.671849053403108e-07,6.741237735488649e-14,3.616253018151509e-43,6.741237735488648e-14,6.741237735488648e-14,3.558544771256574e-07,inf,True,True,False
u_exposed_complete_information,IRMV1,0.001,True,0.0,3.663482231671869e-06,6.710551030887749e-12,6.303968396296199e-12,2.5343783427374973e-11,2.5343783427374973e-11,3.5507656628665877e-06,inf,True,True,False
u_exposed_complete_information,IRMV1,0.01,True,0.0,3.582408275963566e-05,6.416824527846125e-10,6.039986725733268e-10,2.4262662833678867e-09,2.4262662833678867e-09,3.475625620153372e-05,inf,False,True,False
u_exposed_complete_information,IRMV1,0.1,True,0.0,0.0002970545038632187,4.412068913271152e-08,4.275846464041733e-08,1.680060317309438e-07,1.680060317309438e-07,0.00029243277737085944,inf,False,True,False
u_exposed_complete_information,IRMV1,1.0,True,0.0,0.0016638407102649644,1.3841829545675108e-06,1.7063633883738507e-06,5.769676551423944e-06,5.769676551423944e-06,0.00184735669992227,inf,False,True,False
u_exposed_complete_information,VREX,0.0,True,0.0,1.96261557335472e-17,1.925929944387238e-34,6.10049966457825e-59,1.9259299443871679e-34,1.9259299443871679e-34,1.3973015356361831e-12,0.0,True,True,True
u_exposed_complete_information,VREX,0.0001,True,0.0,5.890916411968564e-08,1.735144808640029e-15,3.278413193399087e-47,1.7351448086400288e-15,1.7351448086400288e-15,3.502334749994063e-08,inf,True,True,False
u_exposed_complete_information,VREX,0.001,True,0.0,5.890908020261254e-07,1.7351398651589187e-13,0.0,1.7351398651589187e-13,1.7351398651589187e-13,3.5023288974533884e-07,inf,True,True,False
u_exposed_complete_information,VREX,0.01,True,0.0,5.890824092330206e-06,1.7350904243388995e-11,2.4125044493581816e-12,3.403170707126695e-11,3.403170707126695e-11,3.5022703391840437e-06,inf,True,True,False
u_exposed_complete_information,VREX,0.1,True,0.0,5.88998502331875e-05,1.7345961787459588e-09,6.13089844238865e-10,3.401924508630745e-09,3.401924508630745e-09,3.501684863715937e-05,inf,False,True,False
u_exposed_complete_information,VREX,1.0,True,0.0,0.0005881614308624476,1.7296693437708087e-07,6.11045672177594e-08,3.3895172352076756e-07,3.3895172352076756e-07,0.0003495842308164354,inf,False,True,False
