seed,method,steps,batch_size_per_env,hidden_dim,initial_parameter_hash,batch_schedule_hash,calibration_scale_c,initial_risk_grad_norm,initial_penalty_grad_norm,realized_initial_update_ratio,final_source_env0_acc,final_source_env1_acc,final_source_mean_acc,final_target_acc,final_prediction_color_agreement,final_raw_grad_disagreement,final_local_response_disagreement,finite,invalid_reason,wall_seconds
10,ERM,501,512,64,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,NA,NA,NA,NA,0.8026000261306763,0.8975600004196167,0.8500800132751465,0.10639999806880951,0.9955999851226807,0.0012536398135125637,0.023154862296062104,True,OK,0.6424460411071777
10,IRMv1,501,512,64,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,NA,NA,NA,NA,0.6144000291824341,0.6080800294876099,0.611240029335022,0.6539999842643738,0.37279999256134033,0.0018094992265105247,0.0363848862770209,True,OK,0.7180721759796143
10,GRAD,501,512,64,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,129.99410179288367,0.4465246082609285,0.003434960524919591,0.0999999999708876,0.8041999936103821,0.8957599997520447,0.8499799966812134,0.12049999833106995,0.98089998960495,0.00037598260678350925,0.032213899397455184,True,OK,1.0015690326690674
10,LOCAL_RESPONSE,501,512,64,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,0.6674689133815517,0.4465246082609285,0.6689818796175304,0.09999999999985053,0.8029999732971191,0.8971199989318848,0.850059986114502,0.11060000211000443,0.9914000034332275,0.0008611380471847951,0.019523332548842337,True,OK,1.3610360622406006
11,ERM,501,512,64,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,NA,NA,NA,NA,0.7982800006866455,0.9003599882125854,0.8493199944496155,0.10899999737739563,0.9912999868392944,0.0026212516240775585,0.03398847282631281,True,OK,0.6550240516662598
11,IRMv1,501,512,64,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,NA,NA,NA,NA,0.6255599856376648,0.6194400191307068,0.6225000023841858,0.663100004196167,0.36340001225471497,0.005920670926570892,0.04444280893394661,True,OK,0.8716957569122314
11,GRAD,501,512,64,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,34.43825607584809,0.46520870807641246,0.013508486231630933,0.09999999999259726,0.799839973449707,0.8997200131416321,0.8497799932956696,0.1177000030875206,0.9825999736785889,0.001300846692174673,0.03499550944985301,True,OK,1.0397439002990723
11,LOCAL_RESPONSE,501,512,64,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,0.4847776080770225,0.46520870807641246,0.9596332428003034,0.0999999999998958,0.7990000247955322,0.9006800055503845,0.8498400151729584,0.10830000042915344,0.9919999837875366,0.002067304216325283,0.034054296719197324,True,OK,1.4323070049285889
12,ERM,501,512,64,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,NA,NA,NA,NA,0.7993999719619751,0.9010000228881836,0.8501999974250793,0.10429999977350235,0.991599977016449,0.0028266613371670246,0.05305771065885758,True,OK,0.6267850399017334
12,IRMv1,501,512,64,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,NA,NA,NA,NA,0.5912799835205078,0.5825200080871582,0.586899995803833,0.6725000143051147,0.34060001373291016,0.0033130839001387358,0.06625342587892752,True,OK,0.7895712852478027
12,GRAD,501,512,64,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,79.71752357239673,0.46595169618911414,0.00584503475808848,0.09999999998289145,0.8012400269508362,0.8992000222206116,0.8502200245857239,0.11469999700784683,0.980400025844574,0.0008815971668809652,0.04769540932907951,True,OK,1.0154800415039062
