seed,method,step,source_env0_acc,source_env1_acc,target_acc,prediction_color_agreement,raw_grad_disagreement,local_response_disagreement,loss
10,ERM,0,0.484279990196228,0.4622800052165985,0.5293999910354614,0.45559999346733093,0.0004530393343884498,0.0563270596372717,0.9067305326461792
10,ERM,100,0.801639974117279,0.8978000283241272,0.10249999910593033,0.9994999766349792,0.007710370235145092,0.05049843644790948,0.4777164161205292
10,ERM,200,0.8019199967384338,0.8976799845695496,0.10329999774694443,0.9987000226974487,0.0055663748644292355,0.05022845429118361,0.44882041215896606
10,ERM,300,0.8015999794006348,0.8978400230407715,0.10419999808073044,0.9976000189781189,0.005346738733351231,0.053451960318418326,0.4528525173664093
10,ERM,400,0.8024399876594543,0.8972399830818176,0.10980000346899033,0.9919999837875366,0.0022846348583698273,0.03331400557759824,0.3950593173503876
10,ERM,500,0.8026000261306763,0.8975600004196167,0.10639999806880951,0.9955999851226807,0.0012536398135125637,0.023154862296062104,0.3848269581794739
10,IRMv1,0,0.484279990196228,0.4622800052165985,0.5293999910354614,0.45559999346733093,0.0004530393343884498,0.0563270596372717,0.9088190197944641
10,IRMv1,100,0.8015599846839905,0.8976799845695496,0.10289999842643738,0.9991000294685364,0.007584183476865292,0.04873964256660641,0.007677931804209948
10,IRMv1,200,0.6973999738693237,0.7330399751663208,0.38280001282691956,0.6740000247955322,0.004546919837594032,0.05133937748196343,0.0019419107120484114
10,IRMv1,300,0.6215999722480774,0.613319993019104,0.6363999843597412,0.38760000467300415,0.004778573289513588,0.04264193725391978,0.0003683323448058218
10,IRMv1,400,0.6145200133323669,0.6076800227165222,0.6525999903678894,0.373199999332428,0.0016658990643918514,0.03378789751894973,0.0010137052740901709
10,IRMv1,500,0.6144000291824341,0.6080800294876099,0.6539999842643738,0.37279999256134033,0.0018094992265105247,0.0363848862770209,0.00024136033607646823
10,GRAD,0,0.484279990196228,0.4622800052165985,0.5293999910354614,0.45559999346733093,0.0004530393343884498,0.0563270596372717,0.9126197695732117
10,GRAD,100,0.8019999861717224,0.8956800103187561,0.10700000077486038,0.9945999979972839,0.0022918216418474913,0.05109768839367852,0.5174696445465088
10,GRAD,200,0.8024399876594543,0.8967199921607971,0.1062999963760376,0.9952999949455261,0.0015818780520930886,0.0621833659449766,0.4738389849662781
10,GRAD,300,0.8027600049972534,0.8945199847221375,0.11879999935626984,0.9818000197410583,0.0015814625658094883,0.05051374085158321,0.47822463512420654
10,GRAD,400,0.8035200238227844,0.8958399891853333,0.11789999902248383,0.9830999970436096,0.0008260437753051519,0.03468159190134381,0.4115002751350403
10,GRAD,500,0.8041999936103821,0.8957599997520447,0.12049999833106995,0.98089998960495,0.00037598260678350925,0.032213899397455184,0.39946743845939636
10,LOCAL_RESPONSE,0,0.484279990196228,0.4622800052165985,0.5293999910354614,0.45559999346733093,0.0004530393343884498,0.0563270596372717,0.910490188775186
10,LOCAL_RESPONSE,100,0.801800012588501,0.8979200124740601,0.10209999978542328,0.9998999834060669,0.00869961641728878,0.04784582228664955,0.487755483268618
10,LOCAL_RESPONSE,200,0.8017600178718567,0.897599995136261,0.10289999842643738,0.9991000294685364,0.004483823664486408,0.045173572044259286,0.45717389363728633
10,LOCAL_RESPONSE,300,0.8015199899673462,0.8978400230407715,0.1031000018119812,0.9988999962806702,0.004585017450153828,0.05517841372984372,0.4602176663060204
10,LOCAL_RESPONSE,400,0.8022400140762329,0.8974800109863281,0.10769999772310257,0.9943000078201294,0.001921542570926249,0.03319260473806888,0.3970878358621876
10,LOCAL_RESPONSE,500,0.8029999732971191,0.8971199989318848,0.11060000211000443,0.9914000034332275,0.0008611380471847951,0.019523332548842337,0.39190154325056054
11,ERM,0,0.3245199918746948,0.2622399926185608,0.7099000215530396,0.23019999265670776,0.0024037621915340424,0.08280584738619037,0.9046300649642944
11,ERM,100,0.7970799803733826,0.9010000228881836,0.1014999970793724,0.9994000196456909,0.008259686641395092,0.06988521879841528,0.4663618803024292
11,ERM,200,0.7967600226402283,0.9010800123214722,0.10400000214576721,0.9969000220298767,0.001077080494724214,0.037525808981836176,0.43261265754699707
11,ERM,300,0.7968400120735168,0.9010000228881836,0.10220000147819519,0.9988999962806702,0.0014595240354537964,0.051175494573616545,0.4158683717250824
11,ERM,400,0.7978799939155579,0.9009199738502502,0.10520000010728836,0.9955000281333923,0.0024837320670485497,0.04135199306632609,0.3871655762195587
11,ERM,500,0.7982800006866455,0.9003599882125854,0.10899999737739563,0.9912999868392944,0.0026212516240775585,0.03398847282631281,0.4018375873565674
11,IRMv1,0,0.3245199918746948,0.2622399926185608,0.7099000215530396,0.23019999265670776,0.0024037621915340424,0.08280584738619037,0.9063346982002258
11,IRMv1,100,0.7969599962234497,0.9009199738502502,0.10159999877214432,0.9991000294685364,0.00868751760572195,0.07207820568385928,0.008595540188252926
