seed,method,final_source_env0_acc,final_source_env1_acc,final_source_mean_acc,final_target_acc,prediction_color_agreement,finite,invalid_reason,wall_seconds
0,ERM,0.8027999997138977,0.8988000154495239,0.8508000075817108,0.09870000183582306,0.9983000159263611,True,OK,0.5740742683410645
0,IRMv1,0.597599983215332,0.5825600028038025,0.5900799930095673,0.661899983882904,0.3560999929904938,True,OK,0.6633720397949219
1,ERM,0.8022400140762329,0.8998799920082092,0.8510600030422211,0.11010000109672546,0.9865000247955322,True,OK,0.5751960277557373
1,IRMv1,0.6018800139427185,0.5970399975776672,0.5994600057601929,0.6833999752998352,0.3357999920845032,True,OK,0.6718981266021729
2,ERM,0.8034399747848511,0.8978400230407715,0.8506399989128113,0.11299999803304672,0.9855999946594238,True,OK,0.5878119468688965
2,IRMv1,0.6128399968147278,0.5976399779319763,0.605239987373352,0.6786999702453613,0.3391000032424927,True,OK,0.7005670070648193
