family,tangent_dimension,metric,rank_O,rank_A,kernel_dimension,information_floor,source_defined,mechanism_defined,source_reference_invariant
legacy_gaussian_mechanism,8,Euclidean standardized coordinates,7,5,1,0.05118145108608892,False,True,True
source_induced,4,source_state_orthonormal,4,3,0,0.0,True,False,True
