family,method,lambda,valid,status,z0,pi_O,E,information_floor,affine_regret,total_excess,z0_norm,pi_O_operator_norm,recoverable_residual_operator_norm,fd_error,target_risk_used,semantic_labels_used,cluster_labels_used,regularizer_geometry_used_for_selection
legacy_gaussian_mechanism,L2,0.0,True,PASS,"[1.953112405109878e-17,-3.121596106000063e-19,1.7793241648833643e-18,6.765678619403818e-19,0.0,0.0,0.0,0.0,0.0]","[[-0.0019231168037596147,0.0014360773523298047,-0.1919722455482895,-0.11731743085318352,0.017045095961408786,0.0027208808167033436,0.0,0.0],[-0.08262667639629347,-0.051436259738498656,0.003068230034228813,0.0018750463842056194,0.04137302849095289,0.01676575845953904,0.0,0.0],[0.02675013225884079,-0.04744072281542597,-0.01748905258104102,-0.01068785079314488,-0.1908827054352103,0.01774663215223639,0.0,0.0],[-0.052957341055605525,0.05957701961101351,-0.006650014170831213,-0.004063934218518611,0.029039681489975884,-0.11748308489403039,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[-7.068629535866844e-14,-3.8851300648845566e-15,2.1549428907974288e-13,1.1148026946017353e-13,1.700029006457271e-16,-4.111294638065033e-16,0.0,0.0],[8.758410663389782e-13,-3.326020014959852e-13,1.5613378645529252e-14,6.914694511417352e-14,9.020562075079397e-17,-2.84147705365001e-15,0.0,0.0],[1.0363931934875836e-12,7.824990655436181e-14,-7.118611256018426e-14,7.929421008689985e-14,-1.149080830487037e-14,-1.627170620466245e-15,0.0,0.0],[-2.3889223932371806e-13,-2.8507057825422066e-13,2.898983136878641e-14,-4.826677252323108e-13,1.3912482277333993e-15,-3.8719027983802334e-15,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145108608892,,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,L2,0.01,True,PASS,"[0.0008684477749391032,-0.0009464102564776956,-0.0023777640368713685,-0.0011179189952882642,0.0,0.0,0.0,0.0,0.0]","[[-0.0019194899232429891,0.001397528286377675,-0.19014335737431792,-0.11645662245595298,0.0166517862780746,0.0026840137615060733,0.0,0.0],[-0.08212173690671708,-0.05123291671441429,0.003148578062632905,0.0019310955348110675,0.04060043025560194,0.016528081449239982,0.0,0.0],[0.027023688669028795,-0.04711707729500855,-0.01776057352563011,-0.010685794230809363,-0.1885283308377496,0.017413974265498944,0.0,0.0],[-0.05256178677282509,0.05956988418374011,-0.006608812357921063,-0.004323063503408473,0.02843437537469856,-0.11634475505542988,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[3.6268804459393088e-06,-3.8549065956014874e-05,0.0018288881741870822,0.000860808397342025,-0.0003933096833340158,-3.6867055197681384e-05,0.0,0.0],[0.0005049394904522303,0.0002033430237517661,8.034802841970544e-05,5.604915067459505e-05,-0.0007725982353508562,-0.00023767701030190033,0.0,0.0],[0.00027355641122439947,0.0003236455204956648,-0.0002715209446602779,2.0565624148111833e-06,0.0023543745974491936,-0.00033265788673907115,0.0,0.0],[0.00039555428254154507,-7.135427558473129e-06,4.1201812939139874e-05,-0.00025912928537252973,-0.0006053061152759311,0.001138329838596644,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118572792935734,,0.0029246193951398196,0.2241093634716791,0.0027539553934237547,3.571332675158594e-10,False,False,False,False
legacy_gaussian_mechanism,L2,0.1,True,PASS,"[0.008099231957271824,-0.00976361619937509,-0.02263035505767661,-0.010964249615187318,0.0,0.0,0.0,0.0,0.0]","[[-0.0018556649778280747,0.0010919011180457305,-0.1750110549631494,-0.1091420436078351,0.013559015242029716,0.002372094964750744,0.0,0.0],[-0.077798292640193,-0.049409317762861976,0.0036898777925361455,0.002324095537681992,0.034419847950136084,0.01455442162588508,0.0,0.0],[0.02922529220913424,-0.044357487981465854,-0.019727322188318335,-0.010644966700814695,-0.16947147266351836,0.014738707699556179,0.0,0.0],[-0.04921936837364026,0.05945941627030062,-0.006297469785971195,-0.0063032655863971545,0.023646612151987236,-0.10688508763228458,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[6.745182586085372e-05,-0.00034417623428795933,0.016961190585355612,0.008175387245459909,-0.0034860807193788992,-0.00034878585195301064,0.0,0.0],[0.004828383756976307,0.002026941975304078,0.000621647758322946,0.0004490491535455194,-0.006953180540816714,-0.002211336833656803,0.0,0.0],[0.002475159951329846,0.0030832348340383633,-0.0022382696073485024,4.288409240947935e-05,0.021411232771680444,-0.003007924452681837,0.0,0.0],[0.003737972681726376,-0.00011760334099795988,0.0003525443848890076,-0.002239331368361211,-0.005393069337987257,0.010597997261741945,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05157915626579195,,0.028165111383536858,0.2080135904951225,0.024964178251738987,2.7579403142388963e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.0,True,PASS,"[1.953112405109878e-17,-3.121596106000063e-19,1.7793241648833643e-18,6.765678619403818e-19,0.0,0.0,0.0,0.0,0.0]","[[-0.0019231168037596147,0.0014360773523298047,-0.1919722455482895,-0.11731743085318352,0.017045095961408786,0.0027208808167033436,0.0,0.0],[-0.08262667639629347,-0.051436259738498656,0.003068230034228813,0.0018750463842056194,0.04137302849095289,0.01676575845953904,0.0,0.0],[0.02675013225884079,-0.04744072281542597,-0.01748905258104102,-0.01068785079314488,-0.1908827054352103,0.01774663215223639,0.0,0.0],[-0.052957341055605525,0.05957701961101351,-0.006650014170831213,-0.004063934218518611,0.029039681489975884,-0.11748308489403039,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[-7.068629535866844e-14,-3.8851300648845566e-15,2.1549428907974288e-13,1.1148026946017353e-13,1.700029006457271e-16,-4.111294638065033e-16,0.0,0.0],[8.758410663389782e-13,-3.326020014959852e-13,1.5613378645529252e-14,6.914694511417352e-14,9.020562075079397e-17,-2.84147705365001e-15,0.0,0.0],[1.0363931934875836e-12,7.824990655436181e-14,-7.118611256018426e-14,7.929421008689985e-14,-1.149080830487037e-14,-1.627170620466245e-15,0.0,0.0],[-2.3889223932371806e-13,-2.8507057825422066e-13,2.898983136878641e-14,-4.826677252323108e-13,1.3912482277333993e-15,-3.8719027983802334e-15,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145108608892,,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.01,True,PASS,"[3.036680319007372e-06,-1.1856577075252841e-05,-2.875131337153439e-05,-1.7519333254430517e-05,0.0,0.0,0.0,0.0,0.0]","[[-0.00192240762620315,0.0014363258452557226,-0.19196268081788878,-0.11731275172768445,0.017042063867659742,0.002720261650742475,0.0,0.0],[-0.08262567930412505,-0.051435348808156346,0.0030680771642501246,0.0018749715992628588,0.041379823450400074,0.016767429637289794,0.0,0.0],[0.02674291465674978,-0.04744170661575846,-0.017488181215118154,-0.010687424515525432,-0.19085046019347127,0.01774916124225649,0.0,0.0],[-0.0529583717417386,0.059572853745393166,-0.00664968284380777,-0.004063772131282867,0.0290455442768989,-0.11747109110766481,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[7.091774857784575e-07,2.484929220328367e-07,9.564730616223871e-06,4.679125610557167e-06,-3.0320937488732824e-06,-6.191659612797551e-07,0.0,0.0],[9.97093044255437e-07,9.109300097079331e-07,-1.5286996307489406e-07,-7.47848736136654e-08,6.794959447276039e-06,1.6711777479118395e-06,0.0,0.0],[-7.217601054616135e-06,-9.838002542408852e-07,8.71365851678324e-07,4.2627769874202526e-07,3.224524172754095e-05,2.529090018472957e-06,0.0,0.0],[-1.0306863719652948e-06,-4.165865905417232e-06,3.3132705243299476e-07,1.620867530766762e-07,5.862786924406421e-06,1.1993786361713665e-05,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145172777135,,3.582408275963566e-05,0.22606563474252755,3.475625620153372e-05,3.679940269946357e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.1,True,PASS,"[2.6386100945979163e-05,-7.253521567687154e-05,-0.00024671128089202626,-0.00014634663750704043,0.0,0.0,0.0,0.0,0.0]","[[-0.0019173560165388966,0.0014380825490461313,-0.1918873710632782,-0.1172772026006625,0.017018913463353026,0.0027157636066954525,0.0,0.0],[-0.0826071997432911,-0.05142355618179482,0.003066873512908199,0.0018744034291154445,0.04140668064242058,0.016772765388753358,0.0,0.0],[0.026691994284714596,-0.047447474255823435,-0.01748132034700407,-0.010684185919500192,-0.19060359821353753,0.017763492515089387,0.0,0.0],[-0.05296175823728213,0.05954275075380531,-0.006647074076410735,-0.004062540691833971,0.02907701142729308,-0.11737647017471046,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[5.760787150031841e-06,2.0051967124414937e-06,8.487448522681573e-05,4.0228252632501516e-05,-2.618249805558942e-05,-5.11721000830221e-06,0.0,0.0],[1.9476653878205963e-05,1.2703556371236602e-05,-1.3565213050005694e-06,-6.429550210278884e-07,3.365215146778483e-05,7.006929211475499e-06,0.0,0.0],[-5.813797308979948e-05,-6.751440319217872e-06,7.732233965763308e-06,3.664873723982498e-06,0.00027910722166127333,1.6860362851370964e-05,0.0,0.0],[-4.417181915496171e-06,-3.4268857493274796e-05,2.940094449468099e-06,1.3935262019723269e-06,3.732993731858647e-05,0.00010661471931605604,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118149520681047,,0.0002970545038632187,0.2259824345945044,0.00029243277737085944,3.6663627024872837e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.0,True,PASS,"[1.953112405109878e-17,-3.121596106000063e-19,1.7793241648833643e-18,6.765678619403818e-19,0.0,0.0,0.0,0.0,0.0]","[[-0.0019231168037596147,0.0014360773523298047,-0.1919722455482895,-0.11731743085318352,0.017045095961408786,0.0027208808167033436,0.0,0.0],[-0.08262667639629347,-0.051436259738498656,0.003068230034228813,0.0018750463842056194,0.04137302849095289,0.01676575845953904,0.0,0.0],[0.02675013225884079,-0.04744072281542597,-0.01748905258104102,-0.01068785079314488,-0.1908827054352103,0.01774663215223639,0.0,0.0],[-0.052957341055605525,0.05957701961101351,-0.006650014170831213,-0.004063934218518611,0.029039681489975884,-0.11748308489403039,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[-7.068629535866844e-14,-3.8851300648845566e-15,2.1549428907974288e-13,1.1148026946017353e-13,1.700029006457271e-16,-4.111294638065033e-16,0.0,0.0],[8.758410663389782e-13,-3.326020014959852e-13,1.5613378645529252e-14,6.914694511417352e-14,9.020562075079397e-17,-2.84147705365001e-15,0.0,0.0],[1.0363931934875836e-12,7.824990655436181e-14,-7.118611256018426e-14,7.929421008689985e-14,-1.149080830487037e-14,-1.627170620466245e-15,0.0,0.0],[-2.3889223932371806e-13,-2.8507057825422066e-13,2.898983136878641e-14,-4.826677252323108e-13,1.3912482277333993e-15,-3.8719027983802334e-15,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145108608892,,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.01,True,PASS,"[5.4587717977242364e-08,5.82795113055919e-06,9.97373628040783e-08,8.508035884378767e-07,0.0,0.0,0.0,0.0,0.0]","[[-0.001923287195111972,0.0014359873877674964,-0.19197172372873583,-0.11731743197854813,0.017045188668162112,0.002720965786296505,0.0,0.0],[-0.08262741854141104,-0.05143706265334509,0.0030682216941564093,0.0018750464021918293,0.041371446158141756,0.016765532829413083,0.0,0.0],[0.026751549980226285,-0.047439987382594286,-0.017489005042243995,-0.010687850895667872,-0.19088303560480852,0.017745391204256594,0.0,0.0],[-0.05295649312737649,0.05957731211386939,-0.006649996094742059,-0.004063934257501514,0.029037143490692162,-0.11748237829166591,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[-1.7039142304357477e-07,-8.99645661934026e-08,5.218197691725379e-07,-1.1252531267880173e-09,9.270675349615232e-08,8.4969592750294e-08,0.0,0.0],[-7.421442417276936e-07,-8.029151790378553e-07,-8.340056790144545e-09,1.805535690575788e-11,-1.582332811042586e-06,-2.256301287993645e-07,0.0,0.0],[1.4177224218897555e-06,7.354329099318324e-07,4.7538725837792395e-08,-1.0244369762213434e-10,-3.301696097079976e-07,-1.2409479814221025e-06,0.0,0.0],[8.479279901413284e-07,2.925025708103157e-07,1.8076118143972586e-08,-3.946557056849764e-11,-2.537999282330866e-06,7.066023606089322e-07,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145110343982,,5.890824092330206e-06,0.22607584082480647,3.081136761313994e-06,3.681892679208516e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.1,True,PASS,"[5.454568905156386e-07,5.827099578279797e-05,1.000534629261408e-06,8.507926610478978e-06,0.0,0.0,0.0,0.0,0.0]","[[-0.0019248205273231437,0.0014351778131354504,-0.1919670293876909,-0.11731744236527474,0.017046023432009887,0.0027217304863849327,0.0,0.0],[-0.08263409591196351,-0.05144428672370247,0.0030681466660285395,0.0018750465681983827,0.04135721052276381,0.016763502413076763,0.0,0.0],[0.026764307965344902,-0.047433369405049684,-0.0174885773784578,-0.010687851841919725,-0.1908860123366269,0.01773422438122578,0.0,0.0],[-0.05294886239983238,0.0595799449794101,-0.00664983348043095,-0.004063934617300428,0.029014306024308063,-0.11747602248902778,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[-1.7037236342153008e-06,-8.995391982393949e-07,5.216160814114357e-06,-1.1511979730594035e-08,9.274706012710188e-07,8.496696811779482e-07,0.0,0.0],[-7.419514794201887e-06,-8.026985536417619e-06,-8.33681846599578e-08,1.840619102445873e-10,-1.5817968188988618e-05,-2.256046465119038e-06,0.0,0.0],[1.4175707540507038e-05,7.3534104545330825e-06,4.7520251203123087e-07,-1.0486955505373263e-09,-3.306901428079545e-06,-1.2407771012235697e-05,0.0,0.0],[8.478655534251145e-06,2.925368111514337e-06,1.8069042925263068e-07,-3.992644843214821e-10,-2.537546566643012e-05,7.062404998744998e-06,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",0.05118145108608892,0.05118145282068509,,5.88998502331875e-05,0.22607182120792849,3.080578719771964e-05,3.681212884986658e-10,False,False,False,False
source_induced,L2,0.0,True,PASS,"[1.953112405109878e-17,-3.121596106000063e-19,1.7793241648833643e-18,6.765678619403818e-19,0.0,0.0,0.0,0.0,0.0]","[[0.0012661456835503437,-0.005249304048997742,-0.027116768415444498,0.07143507324145024],[0.18920319749884962,-0.020563440369683245,-0.183325392608388,0.2559201455879625],[0.014717481745397571,0.12302450101356262,0.09425333375623006,-0.8878719219341652],[0.012038965469265226,-0.18149655252576205,0.4503420386687066,0.3909328787269668],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]","[[1.681771041872615e-14,-6.362445292840135e-14,1.298232354951523e-13,-1.734723475976807e-14],[-6.395439733353214e-13,3.01723923623598e-13,-2.634004125923184e-13,-5.999090113562033e-13],[3.9254537120836375e-13,7.161771176100729e-13,-1.880801070441862e-12,3.809175197488912e-13],[-1.812662867028969e-12,9.044431870108838e-13,1.0701994845874196e-12,-1.567190821560871e-12],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]",0.0,2.551112556212925e-28,,1.96261557335472e-17,1.025452726269102,3.0885392555144457e-12,2.2732893222165007e-08,False,False,False,False
