family,method,lambda,valid,z0_norm,pi_O_operator_norm,recoverable_residual_operator_norm,affine_regret,information_floor,method_excess,fd_error,target_risk_used,semantic_labels_used,cluster_labels_used,regularizer_geometry_used_for_selection
legacy_gaussian_mechanism,L2,0.0,True,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,0.05118145108608892,0.05118145108608892,0.0,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,L2,0.01,True,0.0029246193951398196,0.2241093634716791,0.0027539553934237547,0.05118572792935734,0.05118145108608892,4.2768432684248125e-06,3.571332675158594e-10,False,False,False,False
legacy_gaussian_mechanism,L2,0.1,True,0.028165111383536858,0.2080135904951225,0.024964178251738987,0.05157915626579195,0.05118145108608892,0.00039770517970303537,2.7579403142388963e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.0,True,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,0.05118145108608892,0.05118145108608892,0.0,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.01,True,3.582408275963566e-05,0.22606563474252755,3.475625620153372e-05,0.05118145172777135,0.05118145108608892,6.416824363530971e-10,3.679940269946357e-10,False,False,False,False
legacy_gaussian_mechanism,IRMV1,0.1,True,0.0002970545038632187,0.2259824345945044,0.00029243277737085944,0.05118149520681047,0.05118145108608892,4.412072155540736e-08,3.6663627024872837e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.0,True,1.96261557335472e-17,0.226076287659484,1.3973015356361831e-12,0.05118145108608892,0.05118145108608892,0.0,3.685750225575495e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.01,True,5.890824092330206e-06,0.22607584082480647,3.081136761313994e-06,0.05118145110343982,0.05118145108608892,1.7350905434643238e-11,3.681892679208516e-10,False,False,False,False
legacy_gaussian_mechanism,VREX,0.1,True,5.88998502331875e-05,0.22607182120792849,3.080578719771964e-05,0.05118145282068509,0.05118145108608892,1.734596175029246e-09,3.681212884986658e-10,False,False,False,False
source_induced,L2,0.0,True,1.96261557335472e-17,1.0254527262691011,3.0885392555144457e-12,2.551112556212925e-28,0.0,2.551112556212925e-28,2.2732893222165007e-08,False,False,False,False
source_induced,L2,0.01,True,0.0029246193951398196,1.0140523081598312,0.011621251757012747,8.841211981794064e-05,0.0,8.841211981794064e-05,2.220216621655869e-08,False,False,False,False
source_induced,L2,0.1,True,0.028165111383536858,0.9217936459797651,0.10574382275738695,0.007382277598601738,0.0,0.007382277598601738,1.723597952807449e-08,False,False,False,False
source_induced,IRMV1,0.0,True,1.96261557335472e-17,1.0254527262691011,3.0885392555144457e-12,2.551112556212925e-28,0.0,2.551112556212925e-28,2.2732893222165007e-08,False,False,False,False
source_induced,IRMV1,0.01,True,3.582408275963566e-05,1.0253402788008896,0.0001556583056258419,1.794193883315141e-08,0.0,1.794193883315141e-08,2.2720631390648274e-08,False,False,False,False
source_induced,IRMV1,0.1,True,0.0002970545038632187,1.0244253445384721,0.0013124090333753204,1.260510405499983e-06,0.0,1.260510405499983e-06,2.2626210260191605e-08,False,False,False,False
source_induced,VREX,0.0,True,1.96261557335472e-17,1.0254527262691011,3.0885392555144457e-12,2.551112556212925e-28,0.0,2.551112556212925e-28,2.2732893222165007e-08,False,False,False,False
source_induced,VREX,0.01,True,5.890824092330206e-06,1.0254473466107328,1.4153428770564379e-05,1.6115445485731334e-10,0.0,1.6115445485731334e-10,2.27339657149745e-08,False,False,False,False
source_induced,VREX,0.1,True,5.88998502331875e-05,1.0253989749796824,0.0001415110714657942,1.6109842047505822e-08,0.0,1.6109842047505822e-08,2.2743185810148792e-08,False,False,False,False
