n_noise,ambient_rank,relevance_effective_rank,relevance_stable_rank,noise_relevance,shortcut_relevance
0,2,2,1.019373943438718,0.0,2.1085829945642875
4,6,2,1.019373943438718,0.0,2.108582994564287
16,18,2,1.019373943438718,0.0,2.108582994564287
64,66,2,1.019373943438718,0.0,2.1085829945642875
256,258,2,1.019373943438718,0.0,2.1085829945642875
