method,shift_id,lambda,relevance_squared,control_score_c,curvature_ratio,blind_fraction,steering,steering_class,local_vulnerability,actual_target_risk_change,exposure_posthoc,intervention_family_posthoc
L2,S1-mean-+1-0.25,1e-05,0.002351387648488293,0.4840782484542645,0.9999951592415927,0.0,2.021421764221088e-08,harmful,0.000685763268143477,2.019138301001533e-08,S1,mean
L2,S1-variance-0.25,1e-05,0.002455110819924973,0.8630695322344472,0.9999913693831619,0.0,-9.997317518810318e-08,helpful,0.0007007236381119895,-9.999277850170074e-08,S1,variance
L2,S1-relation--1-0.5,1e-05,0.0029678852251444803,0.6238688454353158,0.9999937613630905,0.0,2.244650304439565e-08,harmful,0.0007704375485273106,2.2425951207161177e-08,S1,relation
L2,S1-mean--1-0.5,1e-05,0.009712567316798997,0.553790362349973,0.9999944621297869,0.0,-1.0166200508713483e-07,helpful,0.0013937304573914844,-1.0161804153696608e-07,S1,mean
L2,S1-relation-+1-0.5,1e-05,0.002294865393160023,0.4661666223263419,0.9999953383677085,0.0,-4.9106016427889905e-08,helpful,0.0006774735204600863,-4.908321316055009e-08,S1,relation
L2,S1-mean-+1-0.5,1e-05,0.009712567316799004,0.47681422496897224,0.9999952318810096,0.0,2.001724535018389e-08,harmful,0.001393731762105425,1.9962378194904318e-08,S1,mean
L2,S1-variance-0.5,1e-05,0.009820443279699921,0.8630695322344473,0.9999913693831618,0.0,-1.9994635037620662e-07,helpful,0.0014014472762239806,-1.9998987177416438e-07,S1,variance
L2,S1-relation--1-1.0,1e-05,0.013741337539464145,0.6856600483769424,0.9999931434579707,0.0,1.8233492705297402e-08,harmful,0.0016577855491178668,1.8181696148644733e-08,S1,relation
L2,S1-mean--1-1.0,1e-05,0.04376253683272921,0.6226742544936366,0.9999937733004307,0.0,-2.849687699112207e-07,helpful,0.0029584400432986725,-2.849046906172603e-07,S1,mean
L2,S1-relation-+1-1.0,1e-05,0.008357178883588494,0.37903153301099995,0.9999962097088845,0.0,-1.2487154623927413e-07,helpful,0.0012928355521157817,-1.248366325867778e-07,S1,relation
L2,S1-mean-+1-1.0,1e-05,0.043762536832729265,0.4860028510130237,0.9999951399964421,0.0,-4.1610269036583164e-08,helpful,0.002958444960535786,-4.1743851042497226e-08,S1,mean
