method,lambda,local_valid,metric_min_eigenvalue,local_displacement_norm,exact_displacement_norm,local_exact_error,exact_source_risk,exact_optimizer_success,exact_optimizer_gradient_norm
CORAL,0.31622776601683794,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,1.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,3.1622776601683795,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,10.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
IRMV1,0.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
IRMV1,1e-06,True,1.071095076568364,2.24088448426105e-09,1.5225711148255161e-09,1.347157178776508e-09,0.25595362351448325,True,1.659400788635552e-09
IRMV1,3.162277660168379e-06,True,1.07109519337529,7.086272261827762e-09,5.309750303218398e-09,4.180895055960003e-09,0.25595362351448314,True,6.271451886938911e-09
IRMV1,1e-05,True,1.0710955627392882,2.2408493685485685e-08,2.2482850037274835e-08,5.875324032479046e-10,0.2559536235144838,True,1.1591976685960502e-09
IRMV1,3.1622776601683795e-05,True,1.07109673065147,7.085921196585818e-08,7.035062109081374e-08,1.6086626393108432e-09,0.2559536235144899,True,3.0845191654522063e-09
IRMV1,0.0001,True,1.0711004227211451,2.240498411552642e-07,2.2244034184291099e-07,5.0892055158424975e-09,0.2559536235145503,True,9.757586355301627e-09
IRMV1,0.00031622776601683794,True,1.0711120861554366,7.082414432137069e-07,7.082394936225044e-07,1.4320182642608665e-11,0.25595362351515655,True,1.790563286029928e-11
IRMV1,0.001,True,1.0711488504668394,2.2370005056160657e-06,2.237018742441584e-06,8.751521365974139e-11,0.2559536235211938,True,1.0060977598377346e-10
IRMV1,0.0031622776601683794,True,1.0712639362787695,7.0477131060192744e-06,7.047894967483075e-06,8.60142452078746e-10,0.25595362358086227,True,9.839293420950228e-10
IRMV1,0.01,True,1.0716165619349403,2.2031531813238676e-05,2.203157906198073e-05,4.773822604314902e-11,0.25595362415616557,True,1.4231296897037356e-12
IRMV1,0.03162277660168379,True,1.0726305475333988,6.734025638464786e-05,6.73411302781564e-05,2.170268767226652e-09,0.25595362931222043,True,2.282387001427839e-09
IRMV1,0.1,True,1.0750998573908477,0.0001950676408252085,0.00019509561110954182,2.811010599643609e-08,0.2559536676351531,True,7.815947581907508e-10
IRMV1,0.31622776601683794,True,1.0794776998914408,0.000525019608226524,0.0005254582282790545,4.3870208676875215e-07,0.2559538768489745,True,3.500098615272676e-10
IRMV1,1.0,True,1.0854767312733202,0.001416932009097932,0.0014225773810834055,5.657358978510693e-06,0.25595500769930124,True,1.940102744411877e-09
IRMV1,3.1622776601683795,True,1.096285300531751,0.004139086810076457,0.004204203277112654,6.512057639049397e-05,0.25596453290475135,True,6.245708599104947e-11
IRMV1,10.0,True,1.1255593636643595,0.012596750324242924,0.013265055671353993,0.0006702407192321141,0.25606252041925137,True,5.698304422984825e-11
VREX,0.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
VREX,1e-06,True,1.071095023397343,3.622706368667194e-10,2.4520855573518406e-10,2.1509502174445278e-10,0.25595362351448325,True,2.9159688697877235e-10
VREX,3.162277660168379e-06,True,1.0710950252350864,1.145600234258924e-09,7.754175462841505e-10,6.801900129238709e-10,0.25595362351448314,True,9.221102226439437e-10
VREX,1e-05,True,1.0710950310465397,3.6227060394947878e-09,3.929980966941887e-09,6.446005444491823e-10,0.2559536235144832,True,2.371412931096248e-09
VREX,3.1622776601683795e-05,True,1.071095049423965,1.1456001891117444e-08,1.179940926061664e-08,1.0665908904917917e-09,0.2559536235144833,True,1.8852327421251216e-09
VREX,0.0001,True,1.071095107538469,3.622705371572135e-08,3.7365975128483325e-08,3.361363120827767e-09,0.25595362351448486,True,5.917749911531135e-09
VREX,0.00031622776601683794,True,1.0710952913124567,1.145599512309413e-07,1.1170819563601102e-07,4.936641569801229e-09,0.25595362351450024,True,6.6956071336087e-09
VREX,0.001,True,1.0710958724547532,3.622698600227165e-07,3.626783932321841e-07,8.335296979582349e-10,0.255953623514657,True,1.342214090975739e-09
VREX,0.0031622776601683794,True,1.0710977101672574,1.1455927403083905e-06,1.1455826371384688e-06,2.500735322526546e-10,0.2559536235162182,True,3.898386823942613e-10
VREX,0.01,True,1.0711035213164601,3.622630881507695e-06,3.6225989559618237e-06,7.9084620878051e-10,0.2559536235318336,True,1.232812823778139e-09
VREX,0.03162277660168379,True,1.0711218957035888,1.1455250242779345e-05,1.1455187265031437e-05,1.1772565321446465e-10,0.2559536236879797,True,1.3337790881363087e-10
VREX,0.1,True,1.0711799798081127,3.621953803026177e-05,3.621933897723696e-05,3.7240554007599344e-10,0.2559536252490727,True,4.224875476408588e-10
VREX,0.31622776601683794,True,1.0713634495385016,0.0001144848204555263,0.00011448489264223454,1.1627881251487958e-10,0.2559536408485889,True,1.475846076676419e-10
VREX,1.0,True,1.0719415407548016,0.000361519377525193,0.0003615200227275782,8.637077856974044e-10,0.2559537964814861,True,4.753793528963152e-10
VREX,3.1622776601683795,True,1.0737484721215744,0.001138113880945418,0.0011381282758541388,1.8053553718880526e-08,0.25595534146189003,True,1.895656680450498e-11
VREX,10.0,True,1.0792431325508658,0.0035486506174499306,0.0035490908983051876,5.576376626879667e-07,0.25597044266654057,True,7.507524381262205e-11
