C_operator_norm,E_frobenius_norm,E_operator_norm,K_operator_norm,R_info,benchmark,dim_ker_O_S,family_config,family_constant_feature,feature_source,g_norm,lambda,method,missing_feature_reason,parameter_displacement_from_erm,pi_frobenius_norm,pi_operator_norm,primary_feature_leakage_pass,rank_A_irr,rank_O_S,regularizer_value,rho_slack,seed,slack_margin,source_objective,source_risk,training_run_id,uses_target_outcome_for_feature_construction,uses_target_outcome_for_threshold_selection,uses_target_samples_for_selection,uses_target_samples_for_training,z0_norm
17972.654232669647,14.721670918892913,14.721668850716792,901.9330745797066,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.6204281640563158,0.001,IRMV1,unavailable_frozen_artifact:rank_O_S,0.001687644841621,2.2457560867306032,8776.880233677526,True,0,nan,0.07280983681694878,inf,0,216.72753375016524,3.112766440159589,3.112693630322772,cmnist|declared_source_target_coupled_correlation|IRMV1|0.001|0,False,False,False,False,0.00034725545725120975
18423.269283691297,10.101985091823241,10.101982479440082,1301.1121344681676,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.8452743677657489,0.001,IRMV1,unavailable_frozen_artifact:rank_O_S,0.002607920768057129,2.241733489937928,7544.547696150312,True,0,nan,0.10909110045895647,inf,1,102.0500500149144,2.929480328062663,2.9293712369622043,cmnist|declared_source_target_coupled_correlation|IRMV1|0.001|1,False,False,False,False,0.00035705448082928816
16704.829110037397,9.58709849229922,9.587095215523918,909.8014650324498,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.862085235509126,0.001,IRMV1,unavailable_frozen_artifact:rank_O_S,0.0036366834279526502,2.434401473392918,12536.294151258246,True,0,nan,0.15748428008821896,inf,2,91.91239467152161,2.9605248322666786,2.9603673479865904,cmnist|declared_source_target_coupled_correlation|IRMV1|0.001|2,False,False,False,False,0.00038946545397537284
11896.97071711309,9.012060166140678,9.012056438831218,1065.9601096905867,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,1.0164148782434466,0.001,IRMV1,unavailable_frozen_artifact:rank_O_S,0.0034203086049537017,2.877513089519491,7747.762918231106,True,0,nan,0.1435434799876925,inf,3,81.21716125667923,3.373479562294662,3.3733360188146744,cmnist|declared_source_target_coupled_correlation|IRMV1|0.001|3,False,False,False,False,0.0004034468105031354
8968.513685271671,11.618039678836997,11.618038756825245,1229.5752827135766,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.7040922058526096,0.001,IRMV1,unavailable_frozen_artifact:rank_O_S,0.0018562521031067886,3.6771290575470035,3798.6807495031735,True,0,nan,0.11597724279632932,inf,4,134.97882455509352,3.8242722034656276,3.824156226222831,cmnist|declared_source_target_coupled_correlation|IRMV1|0.001|4,False,False,False,False,0.00026258487407840493
17980.352449015292,14.718675186881772,14.718454185789724,901.0925025805429,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.537757553865387,0.01,IRMV1,unavailable_frozen_artifact:rank_O_S,0.017103805269594183,2.2391832186102723,8785.571680553268,True,0,nan,0.07175726974770111,inf,0,216.63289361919132,3.1134169604042317,3.112699387706755,cmnist|declared_source_target_coupled_correlation|IRMV1|0.01|0,False,False,False,False,0.0034110635187411106
18434.37911844175,10.099778236183049,10.09948871137475,1299.6478965646709,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.70000627325507,0.01,IRMV1,unavailable_frozen_artifact:rank_O_S,0.026319586602258863,2.236472564650553,7550.181856626105,True,0,nan,0.10799856930510385,inf,1,101.99967223118607,2.9304571837450797,2.9293771980520287,cmnist|declared_source_target_coupled_correlation|IRMV1|0.01|1,False,False,False,False,0.003471263104937664
16724.124768830065,9.586271851641234,9.585924829375543,908.5515414262735,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.680313129778149,0.01,IRMV1,unavailable_frozen_artifact:rank_O_S,0.03688956770424728,2.431529378581433,12549.754830667043,True,0,nan,0.1562321024749393,inf,2,91.88995483443858,2.961936461713019,2.9603741406882698,cmnist|declared_source_target_coupled_correlation|IRMV1|0.01|2,False,False,False,False,0.0037063576056520623
11906.251743140276,9.01112469576757,9.010719007291044,1064.3992804771062,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.837707184766049,0.01,IRMV1,unavailable_frozen_artifact:rank_O_S,0.034424424609313796,2.8751288739333485,7753.910812354485,True,0,nan,0.14217522172768537,inf,3,81.19305702835604,3.374765214095223,3.373343461877946,cmnist|declared_source_target_coupled_correlation|IRMV1|0.01|3,False,False,False,False,0.0038792906422990287
8980.764793422812,11.62017824743285,11.620071045656054,1228.3368821577355,0.0,cmnist,0.0,declared_source_target_coupled_correlation,False,repair_evidence_gate_task1_task2,0.5252526907966022,0.01,IRMV1,unavailable_frozen_artifact:rank_O_S,0.018999375221748202,3.6814143389336906,3803.1840540704593,True,0,nan,0.11543070348992007,inf,4,135.02605110609414,3.825313477185884,3.8241591701509847,cmnist|declared_source_target_coupled_correlation|IRMV1|0.01|4,False,False,False,False,0.002440657109355729
