benchmark,metric,observed_B3,permuted_B3,random_B3,test
cmnist,kendall_tau,0.4997979797979798,0.41898989898989897,0.40686868686868694,ranking
gaussian,kendall_tau,0.000925925925925918,0.000925925925925918,0.12037037037037035,ranking
cmnist,cv_r2,0.7630624715578259,0.6265369202565758,0.6516259733197882,finite_risk_prediction
cmnist,auc,1.0,1.0,1.0,win_loss_discrimination
gaussian,cv_r2,-3808584160690041.0,-3808584160690041.0,-0.35993732915868604,finite_risk_prediction
gaussian,auc,0.5228860294117647,0.5228860294117647,0.5454963235294118,win_loss_discrimination
