B1,B2,B2_minus_B1,B3,B3_minus_B1,benchmark,metric,radius_regime,test
0.91137267784052,0.6342871223153356,-0.27708555552518443,0.763584586154689,-0.14778809168583096,cmnist,cv_r2,moderate,finite_risk_prediction
0.5377777777777779,0.4577777777777779,-0.08000000000000002,0.49979797979798013,-0.03797979797979778,cmnist,kendall_tau,moderate,ranking
1.0,1.0,0.0,1.0,0.0,cmnist,auc,moderate,win_loss_discrimination
0.9135516935084171,0.6358036496494031,-0.2777480438590141,0.7654102528851522,-0.14814144062326495,cmnist,cv_r2,near_source,finite_risk_prediction
0.5377777777777779,0.4577777777777779,-0.08000000000000002,0.49979797979798013,-0.03797979797979778,cmnist,kendall_tau,near_source,ranking
1.0,1.0,0.0,1.0,0.0,cmnist,auc,near_source,win_loss_discrimination
0.9073533909657425,0.6314898232876681,-0.2758635676780744,0.7602170663907791,-0.1471363245749634,cmnist,cv_r2,stronger_legal_shift,finite_risk_prediction
0.5377777777777779,0.4577777777777779,-0.08000000000000002,0.49979797979798013,-0.03797979797979778,cmnist,kendall_tau,stronger_legal_shift,ranking
1.0,1.0,0.0,1.0,0.0,cmnist,auc,stronger_legal_shift,win_loss_discrimination
0.007608760670846815,-2.048222677636853,-2.0558314383077,-518.9589849182026,-518.9665936788734,gaussian,cv_r2,larger_but_legal,finite_risk_prediction
-0.049999999999999996,-0.04444444444444445,0.005555555555555543,-0.06944444444444443,-0.019444444444444438,gaussian,kendall_tau,larger_but_legal,ranking
0.5893320039880359,0.5893320039880359,0.0,0.522333000997009,-0.0669990029910269,gaussian,auc,larger_but_legal,win_loss_discrimination
0.5368961968091838,0.5362133906529087,-0.0006828061562750287,-4285.248879237968,-4285.785775434777,gaussian,cv_r2,local,finite_risk_prediction
0.3833333333333333,0.3833333333333333,0.0,0.34722222222222227,-0.03611111111111104,gaussian,kendall_tau,local,ranking
0.5922803904170364,0.5789707187222716,-0.013309671694764824,0.523070097604259,-0.06921029281277735,gaussian,auc,local,win_loss_discrimination
0.17602218708483952,-0.12242213495321375,-0.29844432203805327,-1866.3910851628448,-1866.5671073499295,gaussian,cv_r2,medium,finite_risk_prediction
0.055555555555555546,0.06666666666666667,0.01111111111111112,0.002777777777777775,-0.05277777777777777,gaussian,kendall_tau,medium,ranking
0.6045965270684371,0.6045965270684371,0.0,0.5261491317671093,-0.07844739530132783,gaussian,auc,medium,win_loss_discrimination
