analysis_label,benchmark,best_method_agreement,feature_set,grouped_interval_high,grouped_interval_low,kendall_tau,kendall_tau_q10,kendall_tau_q90,metric_primary,pairwise_ordering_accuracy,spearman_rho,target_count,test
observed,cmnist,0.0,B0,0.4958922558922559,0.49050505050505055,0.49333333333333335,0.4666666666666667,0.5555555555555556,kendall_tau,0.7466666666666667,0.6339393939393939,330,ranking
observed,cmnist,0.2,B1,0.5512457912457912,0.5248215488215487,0.5377777777777777,0.28888888888888886,0.8222222222222222,kendall_tau,0.768888888888889,0.6193939393939393,330,ranking
observed,cmnist,0.0,B2,0.4754208754208754,0.4395959595959596,0.4577777777777778,0.2,0.7777777777777778,kendall_tau,0.7288888888888889,0.5030303030303029,330,ranking
observed,cmnist,0.0,B3,0.5170505050505051,0.48335353535353537,0.4997979797979798,0.2,0.8666666666666667,kendall_tau,0.74989898989899,0.5847933884297519,330,ranking
observed,gaussian,0.0,B0,0.21462962962962964,0.12773148148148147,0.17962962962962967,-0.37777777777777777,0.4666666666666667,kendall_tau,0.5898148148148148,0.24419191919191918,96,ranking
observed,gaussian,0.20833333333333334,B1,0.04125000000000001,-0.09027777777777779,-0.03888888888888889,-0.6,0.6444444444444445,kendall_tau,0.48055555555555557,0.024242424242424246,96,ranking
observed,gaussian,0.20833333333333334,B2,0.0811574074074074,-0.04583333333333333,0.008333333333333312,-0.6,0.6888888888888889,kendall_tau,0.5041666666666667,0.05340909090909093,96,ranking
observed,gaussian,0.3020833333333333,B3,0.06402777777777777,-0.045925925925925926,0.000925925925925918,-0.6,0.6,kendall_tau,0.5004629629629629,0.07285353535353538,96,ranking
