backward_pass_equivalents_per_step,forward_pass_equivalents_per_step,method,notes,outer_steps,projection_or_svd_operations_per_step,seed,unique_source_examples_per_step,variant,wall_clock_seconds
1.0,1.0,STABLE_RANK_NORM,same outer source schedule; extra passes are method-intrinsic,501,3.0,12,1024,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,0.9506468772888184
2.0,2.0,SAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,12,1024,SAM_RHO0P05_COMMON_ADAM,0.826768159866333
2.0,2.0,ASAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,12,1024,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,0.851815938949585
1.0,1.0,ERM,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,ERM_CANONICAL,0.5065851211547852
1.0,1.0,IRMv1,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,IRMv1_CANONICAL,0.5858120918273926
1.0,1.0,VREX,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,VREX_LAMBDA10000_ANNEAL100_RESCALE,0.5199410915374756
1.0,1.0,CORAL,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,CORAL_GAMMA1_SOURCE_ONLY,0.6293158531188965
1.0,1.0,FISHR,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100,1.0068387985229492
1.0,1.0,MLDG,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,MLDG_BETA1_INNERLR0P001_ONE_STEP,0.6810228824615479
1.0,1.0,SPECTRAL_NORM_REG,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS,1.0102508068084717
1.0,1.0,SPECTRAL_REG_2024,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,SR2024_LAMBDA0P001_K2_ALL_LINEAR,1.0190441608428955
1.0,1.0,SVB_ORTHDNN,same outer source schedule; extra passes are method-intrinsic,501,3.0,13,1024,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP,0.9468879699707031
1.0,1.0,STABLE_RANK_NORM,same outer source schedule; extra passes are method-intrinsic,501,3.0,13,1024,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,0.9529058933258057
2.0,2.0,SAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,SAM_RHO0P05_COMMON_ADAM,0.856032133102417
2.0,2.0,ASAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,13,1024,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,0.8577868938446045
1.0,1.0,ERM,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,ERM_CANONICAL,0.4751889705657959
1.0,1.0,IRMv1,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,IRMv1_CANONICAL,0.5530331134796143
1.0,1.0,VREX,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,VREX_LAMBDA10000_ANNEAL100_RESCALE,0.48926687240600586
1.0,1.0,CORAL,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,CORAL_GAMMA1_SOURCE_ONLY,0.6113200187683105
1.0,1.0,FISHR,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100,0.9880831241607666
1.0,1.0,MLDG,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,MLDG_BETA1_INNERLR0P001_ONE_STEP,0.6356606483459473
1.0,1.0,SPECTRAL_NORM_REG,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS,0.9627940654754639
1.0,1.0,SPECTRAL_REG_2024,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,SR2024_LAMBDA0P001_K2_ALL_LINEAR,0.999439001083374
1.0,1.0,SVB_ORTHDNN,same outer source schedule; extra passes are method-intrinsic,501,3.0,14,1024,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP,0.942673921585083
1.0,1.0,STABLE_RANK_NORM,same outer source schedule; extra passes are method-intrinsic,501,3.0,14,1024,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,0.9418721199035645
2.0,2.0,SAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,SAM_RHO0P05_COMMON_ADAM,0.8216149806976318
2.0,2.0,ASAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,14,1024,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,0.8352890014648438
