finite,method,prediction_color_agreement,seed,source_env0_acc,source_env1_acc,source_mean_acc,target_acc,target_loss
True,ERM,0.9955999851226807,10,0.8026000261306763,0.8975600004196167,0.8500800132751465,0.10639999806880951,1.5306936502456665
True,IRMv1,0.37279999256134033,10,0.6144000291824341,0.6080800294876099,0.611240029335022,0.6539999842643738,0.6635690331459045
True,VREX,0.392300009727478,10,0.5286399722099304,0.5220000147819519,0.5253199934959412,0.6111000180244446,0.6778928637504578
True,CORAL,0.9961000084877014,10,0.8023999929428101,0.8976399898529053,0.8500199913978577,0.10589999705553055,1.5283514261245728
True,FISHR,0.4796000123023987,10,0.6923999786376953,0.6928399801254272,0.6926199793815613,0.5640000104904175,0.6941744685173035
True,MLDG,0.9912999868392944,10,0.8032400012016296,0.8969600200653076,0.8501000106334686,0.11050000041723251,1.4980930089950562
True,WEIGHT_NUCLEAR,0.9962999820709229,10,0.801800012588501,0.8977199792861938,0.8497599959373474,0.10570000112056732,1.4949548244476318
True,FEATURE_NUCLEAR,0.9927999973297119,10,0.8026400208473206,0.8974400162696838,0.8500400185585022,0.10920000076293945,1.474586844444275
True,ERM,0.9912999868392944,11,0.7982800006866455,0.9003599882125854,0.8493199944496155,0.10899999737739563,1.4859331846237183
True,IRMv1,0.36340001225471497,11,0.6255599856376648,0.6194400191307068,0.6225000023841858,0.663100004196167,0.651270866394043
True,VREX,0.5662000179290771,11,0.6810399889945984,0.7066799998283386,0.6938599944114685,0.4814999997615814,0.6960896253585815
True,CORAL,0.9927999973297119,11,0.7983599901199341,0.9004799723625183,0.8494199812412262,0.10769999772310257,1.4833238124847412
True,FISHR,0.47200000286102295,11,0.6959199905395508,0.7006400227546692,0.69828000664711,0.5764999985694885,0.6942742466926575
True,MLDG,0.9861000180244446,11,0.7997999787330627,0.9002000093460083,0.8499999940395355,0.11379999667406082,1.4898144006729126
True,WEIGHT_NUCLEAR,0.9962000250816345,11,0.7978000044822693,0.9006400108337402,0.8492200076580048,0.1046999990940094,1.4963740110397339
True,FEATURE_NUCLEAR,0.9911999702453613,11,0.7988799810409546,0.9007599949836731,0.8498199880123138,0.10909999907016754,1.4643363952636719
True,ERM,0.991599977016449,12,0.7993999719619751,0.9010000228881836,0.8501999974250793,0.10429999977350235,1.5849761962890625
True,IRMv1,0.34060001373291016,12,0.5912799835205078,0.5825200080871582,0.586899995803833,0.6725000143051147,0.6476389765739441
True,VREX,0.4056999981403351,12,0.6199600100517273,0.6154400110244751,0.6177000105381012,0.6177999973297119,0.6851392984390259
True,CORAL,0.991100013256073,12,0.7993599772453308,0.9006800055503845,0.8500199913978577,0.10459999740123749,1.584349513053894
True,FISHR,0.48330000042915344,12,0.6898800134658813,0.6942800283432007,0.692080020904541,0.5576000213623047,0.6911619901657104
True,MLDG,0.9911999702453613,12,0.799839973449707,0.9014800190925598,0.8506599962711334,0.10450000315904617,1.6029646396636963
True,WEIGHT_NUCLEAR,0.9950000047683716,12,0.798520028591156,0.9011600017547607,0.8498400151729584,0.1006999984383583,1.5835269689559937
True,FEATURE_NUCLEAR,0.9943000078201294,12,0.799560010433197,0.9016799926757812,0.8506200015544891,0.10180000215768814,1.5510082244873047
True,ERM,0.9876999855041504,13,0.7990400195121765,0.9005200266838074,0.8497800230979919,0.11620000004768372,1.4766664505004883
True,IRMv1,0.3149000108242035,13,0.5793600082397461,0.5669599771499634,0.5731599926948547,0.6894000172615051,0.6391791105270386
True,VREX,0.5569999814033508,13,0.6854400038719177,0.709559977054596,0.6974999904632568,0.4846999943256378,0.6961696147918701
True,CORAL,0.9871000051498413,13,0.7994800209999084,0.9007200002670288,0.8501000106334686,0.11659999936819077,1.4788191318511963
True,FISHR,0.5228000283241272,13,0.6815599799156189,0.6934400200843811,0.6875,0.5199000239372253,0.6904444098472595
True,MLDG,0.9846000075340271,13,0.7997999787330627,0.9007200002670288,0.8502599895000458,0.1185000017285347,1.4798543453216553
True,WEIGHT_NUCLEAR,0.9896000027656555,13,0.7993599772453308,0.9007599949836731,0.850059986114502,0.11389999836683273,1.4796110391616821
True,FEATURE_NUCLEAR,0.9865000247955322,13,0.7996399998664856,0.9011200070381165,0.850380003452301,0.11720000207424164,1.4556552171707153
True,ERM,0.9904000163078308,14,0.7990400195121765,0.8997200131416321,0.8493800163269043,0.11309999972581863,1.4606915712356567
True,IRMv1,0.35179999470710754,14,0.6093599796295166,0.5990399718284607,0.6041999757289886,0.666700005531311,0.6695893406867981
True,VREX,0.45579999685287476,14,0.6194800138473511,0.6176400184631348,0.6185600161552429,0.5702999830245972,0.6917073726654053
True,CORAL,0.9916999936103821,14,0.7990800142288208,0.8997600078582764,0.8494200110435486,0.11180000007152557,1.4624381065368652
True,FISHR,0.4641999900341034,14,0.6777999997138977,0.6775199770927429,0.6776599884033203,0.5759000182151794,0.6914043426513672
True,MLDG,0.989799976348877,14,0.7997199892997742,0.9000800251960754,0.8499000072479248,0.1137000024318695,1.4794728755950928
True,WEIGHT_NUCLEAR,0.9908000230789185,14,0.7984799742698669,0.899399995803833,0.84893998503685,0.11270000040531158,1.441430687904358
True,FEATURE_NUCLEAR,0.9902999997138977,14,0.7988399863243103,0.8992400169372559,0.8490400016307831,0.11320000141859055,1.4381656646728516
