checkpoint,encoder_spectral_norm_mean,encoder_stable_rank_mean,finite,hessian_top_eigenvalue,method,method_geometry_score,seed,selected_by_source_only,selection_rule,source_accuracy_floor,source_mean_accuracy,source_mean_loss,source_viable,spectral_target_error,target_acc,target_color_agreement,target_used_for_selection,variant,variant_index
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SVB_ORTHDNN_3.pt,1.111396868300687,43.407198767121656,True,,SVB_ORTHDNN,0.00205330442252887,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8495799899101257,0.45315779745578766,True,0.11139686830068707,0.10679999738931656,0.9947999715805054,False,"SVB_ORTHDNN[factor=0.1,frequency=100]",3
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SVB_ORTHDNN_4.pt,1.2107795713130856,31.369018462867736,True,,SVB_ORTHDNN,0.0019063149880515357,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8496000170707703,0.43362681567668915,True,0.21077957131308556,0.10580000281333923,0.9955999851226807,False,"SVB_ORTHDNN[factor=0.2,frequency=100]",4
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/STABLE_RANK_NORM_0.pt,0.9999999611830159,1.250530383503736,True,,STABLE_RANK_NORM,6.749469616496264,10,True,best_method_specific_source_geometry_then_source_loss,0.55,0.8497800230979919,0.39570456743240356,True,1.1528923038461869e-07,0.10249999910593033,0.9994999766349792,False,STABLE_RANK_NORM[target_rank=8],0
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/STABLE_RANK_NORM_1.pt,0.9999999455410333,1.2667899656993815,True,,STABLE_RANK_NORM,14.733210034300619,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8497599959373474,0.39570122957229614,True,5.4458966669557185e-08,0.10239999741315842,0.9995999932289124,False,STABLE_RANK_NORM[target_rank=16],1
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/STABLE_RANK_NORM_2.pt,0.9999999343918919,1.2572630811301424,True,,STABLE_RANK_NORM,30.74273691886986,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8498000204563141,0.39621615409851074,True,6.560810811295781e-08,0.10239999741315842,0.9995999932289124,False,STABLE_RANK_NORM[target_rank=32],2
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/STABLE_RANK_NORM_3.pt,0.9999999509522612,1.255746257366026,True,,STABLE_RANK_NORM,46.74425374263397,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8497800230979919,0.39626915752887726,True,8.923889516232464e-08,0.10239999741315842,0.9995999932289124,False,STABLE_RANK_NORM[target_rank=48],3
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/STABLE_RANK_NORM_4.pt,0.9999999509522612,1.255746257366026,True,,STABLE_RANK_NORM,62.74425374263397,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8497800230979919,0.39626915752887726,True,8.923889516232464e-08,0.10239999741315842,0.9995999932289124,False,STABLE_RANK_NORM[target_rank=64],4
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SAM_0.pt,1.7078491988917013,5.394630631339873,True,3.0700607242357583,SAM,0.019198596477508545,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8500800132751465,0.36935092508792877,True,0.7078491988917013,0.10639999806880951,0.9955999851226807,False,SAM[rho=0],0
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SAM_1.pt,1.6888216994783,5.1747475403638585,True,2.6312443838554627,SAM,0.018725842237472534,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8499799966812134,0.3710530996322632,True,0.6888216994783,0.10580000281333923,0.9962000250816345,False,SAM[rho=0.01],1
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SAM_2.pt,1.6305153035960398,4.796663356880231,True,1.6553866217402056,SAM,0.014283418655395508,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8499400019645691,0.3764585554599762,True,0.6305153035960399,0.10450000315904617,0.9975000023841858,False,SAM[rho=0.05],2
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SAM_3.pt,1.554825278550466,4.8049655939043,True,1.030132084767783,SAM,0.011000007390975952,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8499000072479248,0.38260044157505035,True,0.554825278550466,0.10220000147819519,0.9998000264167786,False,SAM[rho=0.1],3
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/SAM_4.pt,1.5296459546395718,5.14943196860837,True,0.7231124907447826,SAM,0.008905082941055298,10,True,best_method_specific_source_geometry_then_source_loss,0.55,0.8498400151729584,0.38933493196964264,True,0.5296459546395718,0.10199999809265137,1.0,False,SAM[rho=0.2],4
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/ASAM_0.pt,1.7078491988917013,5.394630631339873,True,3.0700607242357583,ASAM,0.019198596477508545,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8500800132751465,0.36935092508792877,True,0.7078491988917013,0.10639999806880951,0.9955999851226807,False,ASAM[rho=0],0
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/ASAM_1.pt,1.6945139881784343,5.212400800248491,True,2.7201057851682693,ASAM,0.01905962824821472,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8500400185585022,0.3707568198442459,True,0.6945139881784342,0.10670000314712524,0.9952999949455261,False,ASAM[rho=0.1],1
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/ASAM_2.pt,1.6469599924583842,5.019493476073879,True,1.846671023512279,ASAM,0.01548108458518982,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8497999906539917,0.37531620264053345,True,0.6469599924583842,0.10580000281333923,0.9959999918937683,False,ASAM[rho=0.5],2
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/ASAM_3.pt,1.6118495301078868,5.23843220485963,True,1.422704856012302,ASAM,0.012543708086013794,10,False,best_method_specific_source_geometry_then_source_loss,0.55,0.8499599993228912,0.37809644639492035,True,0.6118495301078868,0.10339999943971634,0.9986000061035156,False,ASAM[rho=1],3
round3_redesign/task3_aopi_multimethod_mechanism_survey/results/sweep_checkpoints/ASAM_4.pt,1.6103319007957209,5.689336390233163,True,1.1684828304374104,ASAM,0.011821389198303223,10,True,best_method_specific_source_geometry_then_source_loss,0.55,0.8498600125312805,0.38170868158340454,True,0.6103319007957209,0.10329999774694443,0.9987000226974487,False,ASAM[rho=2],4
