A_norm,A_normalized_norm,A_rank_primary,basis_index,finite,method,opaque_direction_id,seed
1.3862399333834825,0.6071696402898825,5,0,True,ERM,u000,10
1.393852581236645,0.6105039611006937,5,1,True,ERM,u001,10
2.814521325438056,1.2327533348310264,5,2,True,ERM,u002,10
1.4437798361917369,0.6323719744955715,5,3,True,ERM,u003,10
4.37719631209046,1.917201089282826,5,4,True,ERM,u004,10
1.9510767455177593,0.8545667580521655,5,-1,True,ERM,u005,10
0.240386572476353,0.10528872039109599,5,-1,True,ERM,u006,10
0.7160385608086585,0.31362310732077964,5,-1,True,ERM,u007,10
3.348957977891157,1.4668352583229185,5,-1,True,ERM,u008,10
2.249302764802904,0.9851890121755816,5,-1,True,ERM,u009,10
4.023056654115397,1.7620888005895683,5,-1,True,ERM,u010,10
0.9625785397982008,0.691444233607088,5,0,True,IRMv1,u000,10
0.9668683595909124,0.694525718427543,5,1,True,IRMv1,u001,10
1.9381096801281923,1.392192644045087,5,2,True,IRMv1,u002,10
1.493602619141471,1.0728921076116267,5,3,True,IRMv1,u003,10
1.5994783554117413,1.1489452963086555,5,4,True,IRMv1,u004,10
1.355296186912127,0.9735431391048094,5,-1,True,IRMv1,u005,10
0.1567294350130452,0.11258267205810138,5,-1,True,IRMv1,u006,10
0.4825349297399182,0.3466169054138842,5,-1,True,IRMv1,u007,10
2.3152228678997724,1.6630824762207672,5,-1,True,IRMv1,u008,10
0.5707432567437162,0.4099791522760373,5,-1,True,IRMv1,u009,10
2.1126835845006435,1.5175934446300579,5,-1,True,IRMv1,u010,10
1.155831872797518,0.6077991274058142,5,0,True,VREX,u000,10
1.1527766019138892,0.6061925001611757,5,1,True,VREX,u001,10
2.336587716005855,1.2287046311140213,5,2,True,VREX,u002,10
1.5020321855168115,0.789850040631728,5,3,True,VREX,u003,10
3.361109335032452,1.7674537006872608,5,4,True,VREX,u004,10
1.6238510069890348,0.853908988247713,5,-1,True,VREX,u005,10
0.1671799006921886,0.08791226488206001,5,-1,True,VREX,u006,10
0.5740386181243027,0.3018606593264554,5,-1,True,VREX,u007,10
2.7869362950004257,1.4655223550264505,5,-1,True,VREX,u008,10
1.5810383602379339,0.83139577508093,5,-1,True,VREX,u009,10
3.324676578530135,1.748295380059278,5,-1,True,VREX,u010,10
1.3753264215278698,0.6112702781211447,5,0,True,CORAL,u000,10
1.3806478905755866,0.6136354299962881,5,1,True,CORAL,u001,10
2.78270992526963,1.236788476775124,5,2,True,CORAL,u002,10
1.4343646296723305,0.6375100866112248,5,3,True,CORAL,u003,10
4.276691802132847,1.9007957284962187,5,4,True,CORAL,u004,10
1.9364875018458463,0.8606809520291355,5,-1,True,CORAL,u005,10
0.21846628732669116,0.09709836597622166,5,-1,True,CORAL,u006,10
0.6996477530761104,0.3109617250969111,5,-1,True,CORAL,u007,10
3.3172204320205823,1.4743541782740883,5,-1,True,CORAL,u008,10
2.184839252704133,0.9710620524302825,5,-1,True,CORAL,u009,10
3.9463872213872504,1.7539903085052688,5,-1,True,CORAL,u010,10
1.3646294983711618,0.6146164599263143,5,0,True,ERM,u000,11
1.372917565250637,0.6183493283211245,5,1,True,ERM,u001,11
