cluster,grouping_status,opaque_direction_id,semantic_name_posthoc
3,STAGE4-PASS,u000,source_env0_color
3,STAGE4-PASS,u001,source_env1_color
1,STAGE4-PASS,u002,evaluation_color
2,STAGE4-PASS,u003,source_label_noise
1,STAGE4-PASS,u004,evaluation_label_noise
3,STAGE4-PASS,u005,source_color_common
4,STAGE4-PASS,u006,source_color_contrast
3,STAGE4-PASS,u007,color_global
3,STAGE4-PASS,u008,color_shift
2,STAGE4-PASS,u009,noise_global
2,STAGE4-PASS,u010,noise_shift
