functional_counterfactual_response_K20_mean,functional_source_response_K20_mean,method,seed,source_mean_acc,target_acc,target_color_agreement
105.33766334707087,71.32626672224565,CORAL,10,0.8500199913978577,0.10589999705553055,0.9961000084877014
107.7241346619346,72.0722525770014,ERM,10,0.8500800132751465,0.10639999806880951,0.9955999851226807
11.409874311902307,9.418033559213985,IRMv1,10,0.611240029335022,0.6539999842643738,0.37279999256134033
4.420244856314226,3.5915259339592676,VREX,10,0.5253199934959412,0.6111000180244446,0.392300009727478
90.69303850694136,67.54496479034424,CORAL,11,0.8494199812412262,0.10769999772310257,0.9927999973297119
89.2456782947887,66.68435114080256,ERM,11,0.8493199944496155,0.10899999737739563,0.9912999868392944
14.835368904200466,11.804268056696111,IRMv1,11,0.6225000023841858,0.663100004196167,0.36340001225471497
2.8784112957390873,2.2162304412234914,VREX,11,0.6938599944114685,0.4814999997615814,0.5662000179290771
97.61560955914584,68.35971223224293,CORAL,12,0.8500199913978577,0.10459999740123749,0.991100013256073
99.69571963223544,69.58899153362621,ERM,12,0.8501999974250793,0.10429999977350235,0.991599977016449
11.467393279075623,9.091661111875014,IRMv1,12,0.586899995803833,0.6725000143051147,0.34060001373291016
1.7172501303932883,1.3401756205342032,VREX,12,0.6177000105381012,0.6177999973297119,0.4056999981403351
99.0467016913674,70.41705944321372,CORAL,13,0.8501000106334686,0.11659999936819077,0.9871000051498413
99.95195757259022,70.68801793185148,ERM,13,0.8497800230979919,0.11620000004768372,0.9876999855041504
9.43777375871485,7.570176476782018,IRMv1,13,0.5731599926948547,0.6894000172615051,0.3149000108242035
1.6450698429887944,1.3794436238028787,VREX,13,0.6974999904632568,0.4846999943256378,0.5569999814033508
82.17545960166238,59.78350136496804,CORAL,14,0.8494200110435486,0.11180000007152557,0.9916999936103821
83.38265020197088,61.219139012423426,ERM,14,0.8493800163269043,0.11309999972581863,0.9904000163078308
15.712319417433305,13.03343152999878,IRMv1,14,0.6041999757289886,0.666700005531311,0.35179999470710754
1.720008068464019,1.3860291974111036,VREX,14,0.6185600161552429,0.5702999830245972,0.45579999685287476
