a_m000,a_m001,a_m002,a_m003,a_m004,a_m005,a_m006,a_m007,o_m000,o_m001,o_m002,o_m003,o_m004,o_m005,o_m006,o_m007,opaque_direction_id,r_m000_K1,r_m000_K20,r_m000_K5,r_m001_K1,r_m001_K20,r_m001_K5,r_m002_K1,r_m002_K20,r_m002_K5,r_m003_K1,r_m003_K20,r_m003_K5,r_m004_K1,r_m004_K20,r_m004_K5,r_m005_K1,r_m005_K20,r_m005_K5,r_m006_K1,r_m006_K20,r_m006_K5,r_m007_K1,r_m007_K20,r_m007_K5
0.609219677360896,0.6882833474751918,0.7384195873638667,0.61050455648228,0.7286608100478074,0.6006951967163244,0.625103671026039,0.637877173123235,2.2445624241505513,1.94909015505035,2.1545911742025377,2.24494819984495,1.7779342477097184,2.2220918924685567,2.2637491294995864,2.247684893635276,u000,1.202387687084576,1.0256459358346806,1.2091032588362824,0.09128800976176471,0.2745841423444978,0.09265250379366827,1.2046555048173737,1.1342561872530466,1.2141846796044016,1.2029664946372938,1.0277411908220948,1.2099450327431225,1.2710101273925152,1.297560959561178,1.2977767202762742,1.2095577483079047,1.028845544199721,1.2129426028678052,1.2032432928126433,1.052458379637018,1.2099732390438862,1.2076259416052424,0.9812595237014214,1.212147094431298
0.6131772545205141,0.685427982975322,0.7356665296240386,0.6138537460568452,0.7306186737291958,0.6043896132052028,0.6262211330321377,0.6388892176368695,2.263982039928262,1.952419127944307,2.1589673018012743,2.2626954661918317,1.7673961561724425,2.2428372007672674,2.2818484154940797,2.2629027561439328,u001,1.2077869397452823,1.036027092019622,1.2126544860187771,0.16237297523605765,0.20141042479139495,0.12024509965427155,1.2254578982775342,1.1683975348370192,1.2280837992040072,1.208249234390919,1.0359985105916045,1.2126944055071187,1.1397709723291787,1.1425179613450642,1.1369396480319978,1.2074585637395034,1.036448960526337,1.213357361389707,1.207625602074772,1.060942742339577,1.2106660830501985,1.2118038716289847,0.9958051546524842,1.2143631397575767
1.2404322619610788,1.3837306017489226,1.4776244714281368,1.2410744959051256,1.47113443436118,1.2247676294224241,1.2531987121792416,1.2773460562527201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6422515167869747,1.1186096236976304,1.0058459980025516,0.6423501813405563,1.0072118708192683,0.6445947413529044,0.6375348070541154,0.6476821644672957,0.49145553592118707,1.0984907170053426,0.6864415239961883,0.492356333963218,1.4546695961178386,0.5350709067641757,0.454402455006334,0.4894123502207905,u003,0.3080621676325132,0.9202872256697935,0.25950821002349456,1.7192739303188262,1.675224950845601,1.7234199664255077,0.16578034357212834,0.3968806945947809,0.10471979685296293,0.30405281473268364,0.9198391241967938,0.25541984222964764,0.17420903494165887,0.07957632672302603,0.12024559732169024,0.2794532917484361,0.9269739473988887,0.23676757656314554,0.30474276013079754,0.8663765371156582,0.26451930501091286,0.2680154992422873,1.0171694042528165,0.23372888930899757
1.8949192893705358,1.123948444102933,1.0424434135814065,1.8922170202151924,1.0623742110425485,1.9255528193031446,1.857941676708466,1.79820538851988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8565406210997193,0.9640641411717306,1.0345693983551736,0.8581974000422861,1.0250650515775068,0.8443872704441512,0.8795627665806774,0.8972426016514161,2.254307283498881,1.9507926252031003,2.15679509171635,2.253851790822203,1.7726837434228995,2.2324979089504873,2.2728376835690294,2.2553251993471513,u005,1.7039844366757486,1.4571001679542883,1.7123605296601017,0.17899560644571505,0.2651464242383902,0.15020195884917245,0.04481672894362724,0.07721978329147411,0.0443071067030207,1.7047236558084762,1.4586237046559583,1.7129855876872793,0.09855537319195325,0.11276129897294822,0.1153600844835216,1.708840101748616,1.4595617927341726,1.7155733324239162,1.7044587958480801,1.4937831763636455,1.7115810353374983,1.7104656427745648,1.3972318648540976,1.7157071590583761
0.11586687196716987,0.11727189065757984,0.1262372508301096,0.11389297926358784,0.11818374041963038,0.11423330965485819,0.09529221266409335,0.09979642328715106,2.254307283498881,1.9507926252031003,2.15679509171635,2.253851790822203,1.7726837434228995,2.2324979089504873,2.2728376835690294,2.2553251993471513,u006,0.03403574576220694,0.0463143156578961,0.017731144004456762,0.05139751644128996,0.17825461826450595,0.03898851431734846,1.7182828504902488,1.6262507490539115,1.7268938033127448,0.03376035840315473,0.04414929190664684,0.01728334223535881,1.7044900367218425,1.7252040800052466,1.7215196624334073,0.0351763367339465,0.04883038815420991,0.018555186348335643,0.03303682825586268,0.043011352114670616,0.016305563044113187,0.03726222143231107,0.04727116670457775,0.01867096161169162
0.3238409265842533,0.3513283928600725,0.3718279371153125,0.323230757766772,0.376291139014449,0.3186447374470924,0.3021782942212157,0.3006764335513816,1.5940359670402842,1.3794186939698192,1.525084434982493,1.5937138850798234,1.253476695873486,1.578614410403677,1.607138938587985,1.5947557422392726,u007,1.204898969119777,1.0303254096858843,1.2108217493162994,0.12656900966343387,0.18748684243872943,0.10620882459725031,0.03169021491507993,0.05460263388748523,0.03132985420930393,1.205421654057269,1.0314027240772203,1.2112637415856646,0.06968917450266134,0.07973428183217388,0.08157189545275391,1.2083324513473284,1.032066059548694,1.2130935495870716,1.205234378180988,1.0562642188787401,1.2102706139815034,1.2094818873777204,0.9879921569046035,1.2131881551808115
1.4721814248031717,1.6494314666918286,1.7650575247768985,1.4738042222477992,1.753085604166189,1.453068661131092,1.5009348066190296,1.5317435471316876,1.5940359670402842,1.3794186939698192,1.525084434982493,1.5937138850798234,1.253476695873486,1.578614410403677,1.607138938587985,1.5947557422392726,u008,1.204898969119777,1.0303254096858843,1.2108217493162994,0.12656900966343387,0.18748684243872943,0.10620882459725031,0.03169021491507993,0.05460263388748523,0.03132985420930393,1.205421654057269,1.0314027240772203,1.2112637415856646,0.06968917450266134,0.07973428183217388,0.08157189545275391,1.2083324513473284,1.032066059548694,1.2130935495870716,1.205234378180988,1.0562642188787401,1.2102706139815034,1.2094818873777204,0.9879921569046035,1.2131881551808115
0.9601466036940997,0.4357639747145884,0.2046342234286004,0.957340260290455,0.211936023304019,0.9815335644382703,0.936337025120886,0.8877821301476768,0.34751154210154034,0.7767502350649503,0.4853874565057329,0.3481485025055399,1.0286067358008197,0.3783522665885835,0.32131105732279386,0.3460667916375665,u009,0.21783283643412962,0.6507413312717276,0.18350001256205334,1.2157102111504647,1.1845629475437758,1.2186419212643127,0.11722440133966527,0.28063702254496803,0.07404807669533804,0.2149978056420779,0.65042448601345,0.18060909901784938,0.123184386078575,0.05626896105960559,0.08502647632336072,0.19760330961510242,0.6554695586168254,0.16741996024306036,0.2154856692830205,0.6126207063863709,0.18704339604481932,0.1895155813504109,0.7192473690933565,0.1652712831380066
