method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
VREX,0.1,irrelevant_source_diversity,True,0.0021107089276561123,3.2888729035821243,10.105851856220884,14.29183275440089,14.851038938889854,0.0,160.5681493390065,51.06412086994154,109.50402846906496,0.0021337525849621985,7878.634616301415,7.65084132047219e-05,"[2.3331271428331545e-06, 2.3342411465926745e-05, 7.65084132047219e-05]",0.0,-218.9917199383052,0,PASS
ERM,0.0,declared_source_target_coupled_correlation,True,0.0,2.2424699733242814,0.0,9.528094880376322,10.102457152871182,0.0,51.02982026279907,0.0,51.02982026279907,0.002260710454978657,12498.57458843543,4.396485725527243e-06,"[4.396485725527243e-06, 1.0991200142420612e-06, 2.7478187021712296e-07]",0.0,-102.05964052559807,1,PASS
L2,0.001,declared_source_target_coupled_correlation,True,0.1701130944338808,2.3039903497579317,0.0,9.528094880376322,10.13951621296842,0.0,51.57525695137338,0.0,51.57525695137338,0.0032607104549786598,8665.798032224087,3.9795730965792645e-06,"[3.9795730965792645e-06, 9.94891271760736e-07, 2.4872539252679906e-07]",0.0,-102.80978903304946,1,PASS
L2,0.01,declared_source_target_coupled_correlation,True,0.7116707603324699,2.5327445022644888,0.0,9.528094880376322,10.291942292322481,0.0,53.881455464449644,0.0,53.881455464449644,0.012260710454978663,2305.385022197374,2.5676146024336263e-06,"[2.5676146024336263e-06, 6.419031234729265e-07, 1.6047713154052167e-07]",0.0,-105.92407614849611,1,PASS
L2,0.1,declared_source_target_coupled_correlation,True,1.333009089021607,2.687453818561429,0.0,9.528094880376322,10.377943816087077,0.0,56.24309948934395,0.0,56.24309948934395,0.1022607104549787,277.2879057679775,1.0871448342495564e-06,"[1.0871448342495564e-06, 2.717856539495176e-07, 6.794570119964025e-08]",0.0,-107.70171784985996,1,PASS
IRMV1,0.001,declared_source_target_coupled_correlation,True,0.00035705448082928816,2.2417210990789607,0.0,9.528094880376322,10.101982479448562,0.0,51.027529627320106,0.0,51.027529627320106,0.0022608491764281227,13026.236757631905,4.362923499630787e-06,"[4.362923499630787e-06, 1.0907288822873893e-06, 2.726840307009623e-07]",0.0,-102.05005001508582,1,PASS
IRMV1,0.01,declared_source_target_coupled_correlation,True,0.003471263104937664,2.2354640475209195,0.0,9.528094880376322,10.099488711383355,0.0,51.02171759609832,0.0,51.02171759609832,0.0022609800113280033,17911.803876969025,4.0252578365908785e-06,"[4.0252578365908785e-06, 1.0063114466696376e-06, 2.5157819638890597e-07]",0.0,-101.99967223135981,1,PASS
IRMV1,0.1,declared_source_target_coupled_correlation,True,0.03337114056074869,2.270030241954017,0.0,9.528094880376322,10.09621296883714,0.0,51.149502308172536,0.0,51.149502308172536,0.0022530710720270537,69002.948817527,2.9029333796960737e-06,"[2.9029333796960737e-06, 7.257347578610611e-07, 1.8143453665685716e-07]",0.0,-101.93351631211513,1,PASS
VREX,0.001,declared_source_target_coupled_correlation,True,1.9557107614850654e-05,2.2422524842006584,0.0,9.528094880376322,10.102392656936765,0.0,51.02923978829587,0.0,51.02923978829587,0.0022607147306241446,12498.546000238473,4.385154818656867e-06,"[4.385154818656867e-06, 1.0962865154092866e-06, 2.7407491915736096e-07]",0.0,-102.0583373949298,1,PASS
VREX,0.01,declared_source_target_coupled_correlation,True,0.0001954415592165293,2.2403037856273764,0.0,9.528094880376322,10.1018133181203,0.0,51.02402628438872,0.0,51.02402628438872,0.0022607531725969496,12498.289012405401,4.284898123241233e-06,"[4.284898123241233e-06, 1.071222965000371e-06, 2.678077474543951e-07]",0.0,-102.04663231415272,1,PASS
