seed,source_design,method,lambda,step,direction,fd_norm,ift_norm,cosine,relative_error,valid
0,declared_source_target_coupled_correlation,ERM,0.0,0.001,rho_source_1,1.5886313283006501,1.5886244606194047,0.9999999999972959,4.908838272734884e-06,True
0,declared_source_target_coupled_correlation,ERM,0.0,0.001,rho_source_2,1.5886313283009708,1.5886244606197386,0.9999999999972957,4.908838198925683e-06,True
0,declared_source_target_coupled_correlation,ERM,0.0,0.0005,rho_source_1,1.5886261775344184,1.5886244606194047,0.9999999999998309,1.22720880733289e-06,True
0,declared_source_target_coupled_correlation,ERM,0.0,0.0005,rho_source_2,1.588626177534859,1.5886244606197386,0.9999999999998309,1.2272084922860267e-06,True
0,declared_source_target_coupled_correlation,ERM,0.0,0.00025,rho_source_1,1.588624889850161,1.5886244606194047,0.9999999999999892,3.068030661410775e-07,True
0,declared_source_target_coupled_correlation,ERM,0.0,0.00025,rho_source_2,1.5886248898407114,1.5886244606197386,0.9999999999999895,3.0679842281781514e-07,True
0,declared_source_target_coupled_correlation,L2,0.001,0.001,rho_source_1,1.685874465988259,1.6858675660569167,0.9999999999975028,4.6631935563875265e-06,True
0,declared_source_target_coupled_correlation,L2,0.001,0.001,rho_source_2,1.6858744659880363,1.6858675660572993,0.999999999997503,4.663193000548385e-06,True
0,declared_source_target_coupled_correlation,L2,0.001,0.0005,rho_source_1,1.6858692910365018,1.6858675660569167,0.9999999999998439,1.1657983552115795e-06,True
0,declared_source_target_coupled_correlation,L2,0.001,0.0005,rho_source_2,1.6858692910348732,1.6858675660572993,0.9999999999998442,1.1657970196045052e-06,True
0,declared_source_target_coupled_correlation,L2,0.001,0.00025,rho_source_1,1.6858679973053035,1.6858675660569167,0.9999999999999901,2.9145056048580585e-07,True
0,declared_source_target_coupled_correlation,L2,0.001,0.00025,rho_source_2,1.6858679972940585,1.6858675660572993,0.9999999999999901,2.9144510063279004e-07,True
0,declared_source_target_coupled_correlation,L2,0.01,0.001,rho_source_1,2.00760896112588,2.0076024488912294,0.9999999999979627,3.820488662242277e-06,True
0,declared_source_target_coupled_correlation,L2,0.01,0.001,rho_source_2,2.007608961126778,2.007602448891742,0.9999999999979627,3.8204887129940955e-06,True
0,declared_source_target_coupled_correlation,L2,0.01,0.0005,rho_source_1,2.0076040769472168,2.0076024488912294,0.9999999999998724,9.551216761677318e-07,True
0,declared_source_target_coupled_correlation,L2,0.01,0.0005,rho_source_2,2.007604076946578,2.007602448891742,0.9999999999998727,9.551208091658566e-07,True
0,declared_source_target_coupled_correlation,L2,0.01,0.00025,rho_source_1,2.007602855910792,2.0076024488912294,0.9999999999999919,2.387823747868929e-07,True
0,declared_source_target_coupled_correlation,L2,0.01,0.00025,rho_source_2,2.0076028558990995,2.007602448891742,0.9999999999999921,2.3877735213565127e-07,True
0,declared_source_target_coupled_correlation,L2,0.1,0.001,rho_source_1,2.4375921683320874,2.4375869680931905,0.99999999999952,2.3476194622430356e-06,True
0,declared_source_target_coupled_correlation,L2,0.1,0.001,rho_source_2,2.437592168332514,2.4375869680937816,0.99999999999952,2.3476193687601817e-06,True
0,declared_source_target_coupled_correlation,L2,0.1,0.0005,rho_source_1,2.437588268152984,2.4375869680931905,0.9999999999999701,5.869049777621488e-07,True
0,declared_source_target_coupled_correlation,L2,0.1,0.0005,rho_source_2,2.4375882681523096,2.4375869680937816,0.9999999999999699,5.869046802834578e-07,True
0,declared_source_target_coupled_correlation,L2,0.1,0.00025,rho_source_1,2.437587293110906,2.4375869680931905,0.999999999999998,1.467266136103992e-07,True
0,declared_source_target_coupled_correlation,L2,0.1,0.00025,rho_source_2,2.4375872931017604,2.4375869680937816,0.999999999999998,1.4672371692188677e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.001,rho_source_1,1.5838205367671174,1.5838137645028771,0.9999999999974373,4.838272358630617e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.001,rho_source_2,1.59216082992185,1.5921540002386956,0.9999999999973899,4.8600684545341995e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.0005,rho_source_1,1.5838154575664911,1.5838137645028771,0.9999999999998398,1.2095688777805062e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.0005,rho_source_2,1.592155707654332,1.5921540002386956,0.9999999999998369,1.2150158957464168e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.00025,rho_source_1,1.5838141877711591,1.5838137645028771,0.9999999999999901,3.023932316323917e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.001,0.00025,rho_source_2,1.5921544270889958,1.5921540002386956,0.9999999999999898,3.037524448388651e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.001,rho_source_1,1.5403846946318989,1.5403787428673785,0.9999999999985469,4.2231589184201105e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.001,rho_source_2,1.6251755893464774,1.625169165054976,0.9999999999981711,4.391302911792221e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.0005,rho_source_1,1.5403802308048653,1.5403787428673785,0.9999999999999091,1.0557893584874618e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.0005,rho_source_2,1.6251707711239753,1.625169165054976,0.9999999999998856,1.0978250723194943e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.00025,rho_source_1,1.5403791148555905,1.5403787428673785,0.9999999999999942,2.6394942716607597e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.01,0.00025,rho_source_2,1.6251695665624502,1.625169165054976,0.9999999999999928,2.744506264115441e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.001,rho_source_1,1.2494726211683727,1.2494682262784715,0.999999999989981,5.692985257614998e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.001,rho_source_2,1.952887284270273,1.9528891202562773,0.999999999996475,2.8166900754826954e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.0005,rho_source_1,1.2494693249968056,1.2494682262784715,0.9999999999993737,1.4232499325548265e-06,True
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.0005,rho_source_2,1.9528886612449752,1.9528891202562773,0.9999999999997798,7.041784749351911e-07,True
