E_operator_norm,PiO_operator_norm,R_operator_norm,adaptive_regret,coordinate_audit_passes,decomposition_residual,dim_world,full_minimax_condition,full_observation_recoverable_residual,information_floor,kernel_dimension,kind,lambda,method,seed,setting,slack_ratio,snapshot_passes,spectral_gap_min,static_tax_holds,static_tax_lower_bound,support_compatible,total_excess,total_regret,z0_norm,zero_observation_E_norm
1.3973015356361831e-12,0.226076287659484,0.319942029393104,0.05118145108608892,True,0.0,8,True,0.0,0.05118145108608892,1,gaussian,0.0,L2,,hidden_u_hurts,1.9073820105326317e-23,True,0.0,True,0.05118145108608892,True,0.0,0.05118145108608892,1.96261557335472e-17,0.0
0.00027825313664476555,0.22587757116481577,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.001,L2,,hidden_u_hurts,7.563756635428283e-07,True,0.0,True,0.05118149419477638,True,4.3108702316163594e-08,0.05118149419479123,0.00029362795323237576,0.0
0.0027539553934237547,0.2241093634716791,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,L2,,hidden_u_hurts,7.409198203672258e-05,True,0.0,True,0.051185727785392134,True,4.2768432684248125e-06,0.05118572792935734,0.0029246193951398196,0.0
0.024964178251738987,0.2080135904951225,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.1,L2,,hidden_u_hurts,0.006088242737943651,True,0.0,True,0.05157808783571244,True,0.00039770517970303537,0.05157915626579195,0.028165111383536858,0.0
3.5507656628665877e-06,0.22607520593607572,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.001,IRMV1,,hidden_u_hurts,1.231690048352228e-10,True,0.0,True,0.051181451092799465,True,6.710548783317449e-12,0.051181451092799465,3.663482231671869e-06,0.0
3.475625620153372e-05,0.22606563474252755,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,IRMV1,,hidden_u_hurts,1.1801124426061701e-08,True,0.0,True,0.05118145172777137,True,6.416824363530971e-10,0.05118145172777135,3.582408275963566e-05,0.0
0.00029243277737085944,0.2259824345945044,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.1,IRMV1,,hidden_u_hurts,8.354289246019261e-07,True,0.0,True,0.05118149520677805,True,4.412072155540736e-08,0.05118149520681047,0.0002970545038632187,0.0
3.081193234694662e-07,0.22607624297412068,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.001,VREX,,hidden_u_hurts,9.274601977930782e-13,True,0.0,True,0.05118145108626243,True,1.7351398096110415e-13,0.05118145108626243,5.890908020261254e-07,0.0
3.081136761313994e-06,0.22607584082480647,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,VREX,,hidden_u_hurts,9.274262003584337e-11,True,0.0,True,0.05118145110343982,True,1.7350905434643238e-11,0.05118145110343982,5.890824092330206e-06,0.0
3.080578719771964e-05,0.22607182120792849,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.1,VREX,,hidden_u_hurts,9.270902883106455e-09,True,0.0,True,0.0511814528206851,True,1.734596175029246e-09,0.05118145282068509,5.88998502331875e-05,0.0
