method,seed,window,target_acc,path_length,net_displacement,cancellation_efficiency,mean_adjacent_cosine,negative_cosine_fraction,clean_to_source,cf_source_ratio,entropy
VREX,11,early,0.4815,184.9383629222892,68.2609884578354,0.3691012907176981,0.9136109480110312,0.010101010101010102,0.3082829082684177,1.3572367968676453,0.8872042200327306
VREX,11,middle,0.4815,115.65177986709928,62.1532070719019,0.5374167794332646,0.8800853157177737,0.020100502512562814,0.29264397065219566,1.2621305315341025,0.9156474329638251
VREX,11,late,0.4815,34.690204800972054,4.7267653765419775,0.13625648518539135,0.888178958516032,0.02512562814070352,0.39700106403334195,1.274086008790624,0.9052656174879615
VREX,12,early,0.6178,159.62853535488486,56.74940009573266,0.3555091197796654,0.9003921976676468,0.010101010101010102,0.29551857758129707,1.333189112588666,0.9002268870204343
VREX,12,middle,0.6178,112.65474811000715,50.176684836898545,0.4454023081912239,0.9062725456187904,0.03015075376884422,0.1950552202968756,1.2676524387175796,0.8764249561589823
VREX,12,late,0.6178,22.86278060104541,4.382083755265744,0.1916688889130651,0.8179639910449263,0.05025125628140704,0.34715850270882675,1.2833770583619728,0.8973986437884388
VREX,13,early,0.4847,180.02300837632367,59.981642067749355,0.3331887551971257,0.914508327073913,0.020202020202020204,0.39189753052926274,1.2862922422885958,0.9162610835440891
VREX,13,middle,0.4847,120.09827876744333,57.489820576395395,0.4786897961103791,0.9166564796628968,0.02512562814070352,0.2815488140375324,1.267004046432847,0.8955469768802519
VREX,13,late,0.4847,19.68134086849833,2.8806425445977433,0.14636414072825252,0.8341718302773296,0.06030150753768844,0.3798251279519059,1.2638235764577572,0.90949896635891
IRMv1,11,early,0.6631,171.38896323832753,81.71554727672631,0.4767841857068418,0.9089509340530001,0.0,0.27346325693774015,1.362945481305318,0.8844586241437439
IRMv1,11,middle,0.6631,167.5708777144665,64.84878244440517,0.3869931537561336,0.8642867779425267,0.035175879396984924,0.4271555760884759,1.3193196016201705,0.8946841748875676
IRMv1,11,late,0.6631,85.18342828429954,5.734296070734869,0.06731703790550199,0.6294618572758651,0.17587939698492464,0.2396811522026712,1.2786460333633167,0.8617570869264309
IRMv1,12,early,0.6725,170.07199449297286,71.775661519349,0.42203104475448633,0.9205939291018788,0.0,0.28694211930109137,1.3308294561396448,0.8988331672535818
IRMv1,12,middle,0.6725,176.6910487991987,52.779084030288615,0.29870830689487465,0.8220092117466592,0.06030150753768844,0.4447164224332665,1.3647261643363624,0.898134407005731
IRMv1,12,late,0.6725,117.87655715631415,12.142930151949725,0.10301395328205153,0.6865235247402762,0.1507537688442211,0.23271968939361518,1.2805860926059884,0.8622112730625787
IRMv1,13,early,0.6894,182.8112408503028,72.47654746991846,0.3964556398874091,0.919299207513242,0.0,0.35811324284151785,1.2901595705099254,0.9088297486063701
IRMv1,13,middle,0.6894,198.370302815403,61.77157924756594,0.31139529642724934,0.7933767941556632,0.07035175879396985,0.5729847444519496,1.2961612400452247,0.9173892470280249
IRMv1,13,late,0.6894,108.88488888354249,12.412512292585825,0.11399664746741375,0.6614884370336429,0.15577889447236182,0.1843700995040826,1.2499703557093271,0.8434337387589494
FISHR,11,early,0.5765,170.55980087656994,70.9088013865666,0.41574158167481207,0.9107905709964961,0.010101010101010102,0.26912957325859227,1.3314122685659213,0.8852013204792232
FISHR,11,middle,0.5765,84.93565963984491,64.23415731491757,0.756268422324507,0.8710504510423555,0.010050251256281407,0.19240565932639786,1.2903116666666972,0.8824591593847182
FISHR,11,late,0.5765,11.7026261167228,2.6054747218991845,0.22264017459942556,0.8464014103537533,0.02512562814070352,0.29362440531070655,1.2930372682615106,0.8854932369756172
FISHR,12,early,0.5576,161.1252932966355,64.32380364788999,0.3992160531212684,0.9053888141488119,0.010101010101010102,0.2963114726393894,1.3385025486726687,0.905461206996167
FISHR,12,middle,0.5576,93.98217606637891,58.879386662931196,0.6264952475812489,0.8910259600145981,0.01507537688442211,0.197624443513373,1.3147015203852543,0.8989577949317913
FISHR,12,late,0.5576,12.437426260290604,3.3616104412357366,0.27028183893384716,0.8319976635444013,0.04020100502512563,0.40412734047430776,1.4119209019917285,0.9026806370135106
FISHR,13,early,0.5199,181.4883001052891,65.70650901687512,0.3620426715041995,0.9275431544368204,0.0,0.3683026518023883,1.2874607545100278,0.908735609981392
FISHR,13,middle,0.5199,94.6348795040269,62.288934717265434,0.6582027159934648,0.9131798040611303,0.005025125628140704,0.2337742082464369,1.221456645551667,0.899070056251836
FISHR,13,late,0.5199,11.557033462213585,2.5548953274247155,0.22106843730944262,0.8783828166540633,0.02512562814070352,0.2892105163072029,1.2454977843870052,0.8878822850793935
