method,heldout_seed,heldout_vector_r2,train_rows,test_rows
VREX,10,0.2884677744282128,2000,500
VREX,11,0.23099458383953486,2000,500
VREX,12,0.2534703130731464,2000,500
VREX,13,0.07977038041474538,2000,500
VREX,14,0.2060861448339758,2000,500
IRMv1,10,0.32127671786731904,2000,500
IRMv1,11,0.4140554686442144,2000,500
IRMv1,12,0.32444169461563066,2000,500
IRMv1,13,0.1834840439764268,2000,500
IRMv1,14,0.23467858720698076,2000,500
FISHR,10,0.31812102559656763,2000,500
FISHR,11,0.2776556182464369,2000,500
FISHR,12,0.2565911778810054,2000,500
FISHR,13,-0.01054965838550781,2000,500
FISHR,14,0.24067319045936086,2000,500
