B_R_norm,C_O_operator_norm,C_operator_norm,E_norm,H_R_norm,K_operator_norm,PiO_norm,g_norm,information_floor,lambda,method,pi_operator_norm,pi_reconstruction_relative_error,rank_C_O,rank_K,reconstructed_pi_operator_norm,setting,source_factorization_residual,total_B_relative_error,total_H_relative_error,total_regret
2.9095860763899966,0.0,0.0,1.552583696766526e-12,7.241793195393745,1.000000000001,0.35156319937852626,0.5625146966797461,0.05118145108608892,0.0,L2,0.9028474273760373,2.301862981896452e-12,0,9,0.9028474273757386,hidden_u_hurts,1.5839106164423117e-12,1.9204601578950005e-12,9.519371988944532e-13,0.05118145108608892
2.909467518902201,0.0,0.0,0.00036374794722260334,7.241793195394676,1.000000000001,0.35122559502732076,0.5623613703724031,0.05118145108608892,0.001,L2,0.9019643039180831,2.3099388523409824e-12,0,9,0.9019643039172396,hidden_u_hurts,1.5728783081910357e-12,1.7821340883029898e-12,9.899585163519294e-13,0.05118149419479123
2.9084073419777052,0.0,0.0,0.003605174101184369,7.241793195392767,1.000000000001,0.3482171243446905,0.5609886957128281,0.05118145108608892,0.01,L2,0.8940925462202045,2.5276928476702375e-12,0,9,0.894092546220933,hidden_u_hurts,1.673263843352956e-12,1.857265066622535e-12,9.015639593415024e-13,0.05118572792935734
2.8984273235971982,0.0,0.0,0.03311833046138469,7.241793195394197,1.000000000001,0.3208228977761979,0.5479235690716313,0.05118145108608892,0.1,L2,0.8222649392120831,2.739962542396492e-12,0,9,0.8222649392101038,hidden_u_hurts,2.0465808778624384e-12,1.9345727505219727e-12,9.66677291277757e-13,0.05157915626579195
2.909584639597395,0.7277967305586303,3.181441013397286,3.912496021780849e-06,7.241793195391831,15.167776462080786,0.3515603267003064,0.007412601323310442,0.05118145108608892,0.001,IRMV1,0.9028420330902764,4.0241904211622906e-12,4,9,0.9028420330886906,hidden_u_hurts,1.9864095532624237e-12,2.023475997520803e-12,4.674910719095357e-12,0.051181451092799465
2.90957202368983,0.7276443893461165,3.1810923765219217,3.8357107578216814e-05,7.241793195394564,15.165639203969619,0.3515348360445625,0.007218959560722514,0.05118145108608892,0.01,IRMV1,0.9027947182829654,3.50366912156573e-11,4,9,0.9027947182489581,hidden_u_hurts,1.0983911542579716e-11,2.1516338493356552e-12,4.2050564372256494e-11,0.05118145172777135
2.9094698717203418,0.7264243239780486,3.178374882835361,0.00032702302326044193,7.241793195394808,15.14930208784411,0.35130754097542094,0.005736147975923125,0.05118145108608892,0.1,IRMV1,0.9024206448776472,3.396285345773631e-10,4,9,0.9024206445523517,hidden_u_hurts,1.0201654203074172e-10,2.608671717995034e-12,3.631892228472368e-10,0.05118149520681047
2.909586167634528,0.00048821717511047386,0.058608118762231015,4.002959935577232e-07,7.241793195393952,0.004403918451794016,0.3515631408355701,0.0011728956051170294,0.05118145108608892,0.001,VREX,0.902846765167725,2.5855803588876665e-12,2,3,0.9028467651685552,hidden_u_hurts,1.8967047684992943e-12,2.2408622786982933e-12,8.713706032330609e-13,0.05118145108626243
2.909586988847324,0.00048821154264870435,0.05860804584251359,4.002881553979933e-06,7.241793195388746,0.004403894652720061,0.3515626140266106,0.0011728820062953174,0.05118145108608892,0.01,VREX,0.9028408746371815,2.379807714301025e-12,2,3,0.902840874636578,hidden_u_hurts,1.601647540399546e-12,1.9503075212153225e-12,7.881354988239592e-13,0.05118145110343982
2.9095952017304643,0.00048815523441977563,0.058607317808744584,4.002119860590421e-05,7.241793195394935,0.004403656759251279,0.3515573536220099,0.0011727460521344427,0.05118145108608892,0.1,VREX,0.9027888309807609,3.0644220883788333e-12,2,3,0.9027888309793939,hidden_u_hurts,2.083720835970187e-12,2.3550892737898164e-12,1.392320184725956e-12,0.05118145282068509
2.9095860763899966,0.0,0.0,1.5525837007360229e-12,7.241793195393745,1.000000000001,0.4753520646104771,0.5625146966797461,0.0,0.0,L2,0.9028474273760373,2.301862981896452e-12,0,9,0.9028474273757386,u_exposed_complete_information,1.5839106174150585e-12,1.9204601578950005e-12,9.519371988944532e-13,1.9259299443871679e-34
2.909467518902201,0.0,0.0,0.00036456905947643915,7.241793195394676,1.000000000001,0.4750859640426525,0.5623613703724031,0.0,0.001,L2,0.9019643039180831,2.3099388523409824e-12,0,9,0.9019643039172396,u_exposed_complete_information,1.5728783091706054e-12,1.7821340883029898e-12,9.899585163519294e-13,1.3460763307509215e-07
2.9084073419777052,0.0,0.0,0.003613682044446811,7.241793195392767,1.000000000001,0.4727150828025892,0.5609886957128281,0.0,0.01,L2,0.8940925462202045,2.5276928476702375e-12,0,9,0.894092546220933,u_exposed_complete_information,1.673263866372995e-12,1.857265066622535e-12,9.015639593415024e-13,1.3261143472545034e-05
2.8984273235971982,0.0,0.0,0.03323367909362254,7.241793195394197,1.000000000001,0.4511403747350751,0.5479235690716313,0.0,0.1,L2,0.8222649392120831,2.739962542396492e-12,0,9,0.8222649392101038,u_exposed_complete_information,2.0465808786152765e-12,1.9345727505219727e-12,9.66677291277757e-13,0.0011522714041840797
2.909584639597395,0.7277967305586303,3.181441013397286,3.9125888704734636e-06,7.241793195391831,15.167776462080786,0.4753499218828214,0.007412601323310442,0.0,0.001,IRMV1,0.9028420330902764,4.0241904211622906e-12,5,9,0.9028420330886906,u_exposed_complete_information,2.079157989493764e-12,2.023475997520803e-12,4.674910719095357e-12,2.5343783427374973e-11
2.90957202368983,0.7276443893461165,3.1810923765219217,3.835712826601966e-05,7.241793195394564,15.165639203969619,0.4753310610863699,0.007218959560722514,0.0,0.01,IRMV1,0.9027947182829654,3.50366912156573e-11,5,9,0.9027947182489581,u_exposed_complete_information,1.2584900748988206e-11,2.1516338493356552e-12,4.2050564372256494e-11,2.4262662833678867e-09
2.9094698717203418,0.7264243239780486,3.178374882835361,0.00032748203496524807,7.241793195394808,15.14930208784411,0.47517468555519526,0.005736147975923125,0.0,0.1,IRMV1,0.9024206448776472,3.396285345773631e-10,5,9,0.9024206445523517,u_exposed_complete_information,1.1908925591076165e-10,2.608671717995034e-12,3.631892228472368e-10,1.680060317309438e-07
2.909586167634528,0.00082015477129834,0.058608118762231015,5.318834078233081e-07,7.241793195393952,0.004403918451794016,0.4753522570419903,0.0011728956051170294,0.0,0.001,VREX,0.902846765167725,2.5855803588876665e-12,3,3,0.9028467651685552,u_exposed_complete_information,1.8967047693116212e-12,2.2408622786982933e-12,8.713706032330609e-13,1.7351398651589187e-13
2.909586988847324,0.0008201441656318297,0.05860804584251359,5.318736528906195e-06,7.241793195388746,0.004403894652720061,0.4753539889520513,0.0011728820062953174,0.0,0.01,VREX,0.9028408746371815,2.379807714301025e-12,3,3,0.902840874636578,u_exposed_complete_information,1.6016475413615204e-12,1.9503075212153225e-12,7.881354988239592e-13,3.403170707126695e-11
2.9095952017304643,0.0008200381334382311,0.058607317808744584,5.317777756103539e-05,7.241793195394935,0.004403656759251279,0.4753713106691445,0.0011727460521344427,0.0,0.1,VREX,0.9027888309807609,3.0644220883788333e-12,3,3,0.9027888309793939,u_exposed_complete_information,2.0837208367096063e-12,2.3550892737898164e-12,1.392320184725956e-12,3.401924508630745e-09
