C_operator_norm,K_operator_norm,Pi_operator_norm,g_norm,l2_C_is_zero,l2_K_equals_identity,l2_g_equals_weights,lambda,method,setting
0.0,1.000000000001,0.9028474273760373,0.5625146966797461,True,True,True,0.0,L2,hidden_u_hurts
0.0,1.000000000001,0.9019643039180831,0.5623613703724031,True,True,True,0.001,L2,hidden_u_hurts
0.0,1.000000000001,0.8940925462202045,0.5609886957128281,True,True,True,0.01,L2,hidden_u_hurts
0.0,1.000000000001,0.8222649392120831,0.5479235690716313,True,True,True,0.1,L2,hidden_u_hurts
3.181441013397286,15.167776462080786,0.9028420330902764,0.007412601323310442,,,,0.001,IRMV1,hidden_u_hurts
3.1810923765219217,15.165639203969619,0.9027947182829654,0.007218959560722514,,,,0.01,IRMV1,hidden_u_hurts
3.178374882835361,15.14930208784411,0.9024206448776472,0.005736147975923125,,,,0.1,IRMV1,hidden_u_hurts
0.058608118762231015,0.004403918451794016,0.902846765167725,0.0011728956051170294,,,,0.001,VREX,hidden_u_hurts
0.05860804584251359,0.004403894652720061,0.9028408746371815,0.0011728820062953174,,,,0.01,VREX,hidden_u_hurts
0.058607317808744584,0.004403656759251279,0.9027888309807609,0.0011727460521344427,,,,0.1,VREX,hidden_u_hurts
0.0,1.000000000001,0.9028474273760373,0.5625146966797461,True,True,True,0.0,L2,u_exposed_complete_information
0.0,1.000000000001,0.9019643039180831,0.5623613703724031,True,True,True,0.001,L2,u_exposed_complete_information
0.0,1.000000000001,0.8940925462202045,0.5609886957128281,True,True,True,0.01,L2,u_exposed_complete_information
0.0,1.000000000001,0.8222649392120831,0.5479235690716313,True,True,True,0.1,L2,u_exposed_complete_information
3.181441013397286,15.167776462080786,0.9028420330902764,0.007412601323310442,,,,0.001,IRMV1,u_exposed_complete_information
3.1810923765219217,15.165639203969619,0.9027947182829654,0.007218959560722514,,,,0.01,IRMV1,u_exposed_complete_information
3.178374882835361,15.14930208784411,0.9024206448776472,0.005736147975923125,,,,0.1,IRMV1,u_exposed_complete_information
0.058608118762231015,0.004403918451794016,0.902846765167725,0.0011728956051170294,,,,0.001,VREX,u_exposed_complete_information
0.05860804584251359,0.004403894652720061,0.9028408746371815,0.0011728820062953174,,,,0.01,VREX,u_exposed_complete_information
0.058607317808744584,0.004403656759251279,0.9027888309807609,0.0011727460521344427,,,,0.1,VREX,u_exposed_complete_information
