pair_type,method_a,seed_a,target_a,method_b,seed_b,target_b,feature_distance,target_gap
same_method_close_geometry_target_gap,ERM,12,0.1042999997735023,ERM,13,0.1162000000476837,0.5000216410984296,0.011900000274181408
same_method_close_geometry_target_gap,FISHR,10,0.5640000104904175,FISHR,11,0.5764999985694885,1.410506770791583,0.012499988079071045
same_method_close_geometry_target_gap,FISHR,10,0.5640000104904175,FISHR,13,0.5199000239372253,0.8592141215133072,0.04409998655319214
same_method_close_geometry_target_gap,FISHR,10,0.5640000104904175,FISHR,14,0.5759000182151794,1.1249741118089598,0.011900007724761963
same_method_close_geometry_target_gap,FISHR,11,0.5764999985694885,FISHR,12,0.5576000213623047,2.2656896516511327,0.018899977207183838
same_method_close_geometry_target_gap,FISHR,11,0.5764999985694885,FISHR,13,0.5199000239372253,1.9530232287964489,0.056599974632263184
same_method_close_geometry_target_gap,FISHR,13,0.5199000239372253,FISHR,14,0.5759000182151794,0.5854194328168405,0.0559999942779541
same_method_close_geometry_target_gap,IRMv1,10,0.6539999842643738,IRMv1,12,0.6725000143051147,1.6092333356113167,0.018500030040740967
same_method_close_geometry_target_gap,IRMv1,10,0.6539999842643738,IRMv1,13,0.6894000172615051,2.1307358125704483,0.03540003299713135
same_method_close_geometry_target_gap,IRMv1,11,0.663100004196167,IRMv1,13,0.6894000172615051,1.7033359196169697,0.026300013065338135
same_method_close_geometry_target_gap,IRMv1,12,0.6725000143051147,IRMv1,13,0.6894000172615051,0.9875568980311668,0.01690000295639038
same_method_close_geometry_target_gap,VREX,11,0.4814999997615814,VREX,12,0.6177999973297119,2.55707716024067,0.1362999975681305
same_method_close_geometry_target_gap,VREX,11,0.4814999997615814,VREX,14,0.5702999830245972,1.4877879071120879,0.08879998326301575
same_method_close_geometry_target_gap,VREX,12,0.6177999973297119,VREX,13,0.4846999943256378,2.483143216115246,0.1331000030040741
same_method_close_geometry_target_gap,VREX,12,0.6177999973297119,VREX,14,0.5702999830245972,1.6778395795739964,0.047500014305114746
same_method_close_geometry_target_gap,VREX,13,0.4846999943256378,VREX,14,0.5702999830245972,1.9590597295468497,0.08559998869895935
