method,status,returncode,native_script,cpu_cuda_shim,home_redirected,n_restarts,steps,stdout_tail,target_accuracy_mean,target_accuracy_std,train_accuracy_mean,train_accuracy_std
ERM,completed,0,/Users/sunlay/Desktop/ood-representation-regularization/artifacts/baseline_fidelity/upstreams/InvariantRiskMinimization/code/colored_mnist/main.py,True,/Users/sunlay/Desktop/ood-representation-regularization/artifacts/baseline_fidelity/home,3,501,Flags:\n	grayscale_model: False\n	hidden_dim: 256\n	l2_regularizer_weight: 0.001\n	lr: 0.001\n	n_restarts: 3\n	penalty_anneal_iters: 0\n	penalty_weight: 0.0\n	steps: 501\nRestart 0\nstep            train nll       train acc       train penalty   test acc     \n0               0.73590         0.42296         0.00251         0.62330      \n100             0.37950         0.84686         0.00409         0.10490      \n200             0.34993         0.85000         0.00341         0.11480      \n300             0.33311         0.85590         0.00322         0.12950      \n400             0.32055         0.86236         0.00293         0.15800      \n500             0.30485         0.86938         0.00301         0.16610      \nFinal train acc (mean/std across restarts so far):\n0.86938 0.0\nFinal test acc (mean/std across restarts so far):\n0.1661 0.0\nRestart 1\nstep            train nll       train acc       train penalty   test acc     \n0               0.70170         0.44602         0.00012         0.63770      \n100             0.37642         0.85084         0.00438         0.10030      \n200             0.34887         0.85330         0.00375         0.11240      \n300             0.33144         0.85876         0.00346         0.12250      \n400             0.31522         0.86710         0.00372         0.14170      \n500             0.30361         0.87328         0.00342         0.16830      \nFinal train acc (mean/std across restarts so far):\n0.87133 0.0019500256\nFinal test acc (mean/std across restarts so far):\n0.1672 0.0011000037\nRestart 2\nstep            train nll       train acc       train penalty   test acc     \n0               0.69184         0.52156         8.18825e-07     0.49790      \n100             0.37295         0.85202         0.00444         0.10280      \n200             0.34379         0.85450         0.00366         0.11270      \n300             0.32669         0.86110         0.00383         0.13610      \n400             0.31135         0.86838         0.00379         0.15610      \n500             0.29913         0.87394         0.00359         0.16920      \nFinal train acc (mean/std across restarts so far):\n0.8722 0.0020121704\nFinal test acc (mean/std across restarts so far):\n0.16786666 0.0013021384\n,0.16786666,0.0013021384,0.8722,0.0020121704
IRMv1,completed,0,/Users/sunlay/Desktop/ood-representation-regularization/artifacts/baseline_fidelity/upstreams/InvariantRiskMinimization/code/colored_mnist/main.py,True,/Users/sunlay/Desktop/ood-representation-regularization/artifacts/baseline_fidelity/home,3,501,Flags:\n	grayscale_model: False\n	hidden_dim: 256\n	l2_regularizer_weight: 0.001\n	lr: 0.001\n	n_restarts: 3\n	penalty_anneal_iters: 100\n	penalty_weight: 10000.0\n	steps: 501\nRestart 0\nstep            train nll       train acc       train penalty   test acc     \n0               0.70957         0.38326         0.00033         0.58240      \n100             0.37546         0.85120         0.00458         0.10200      \n200             0.60132         0.67910         8.67318e-08     0.68830      \n300             0.59778         0.68110         5.86666e-08     0.68430      \n400             0.59567         0.68252         5.92726e-08     0.68480      \n500             0.59324         0.68434         6.02424e-08     0.68510      \nFinal train acc (mean/std across restarts so far):\n0.68434 0.0\nFinal test acc (mean/std across restarts so far):\n0.6851 0.0\nRestart 1\nstep            train nll       train acc       train penalty   test acc     \n0               0.70769         0.39324         0.00026         0.59840      \n100             0.37342         0.85026         0.00414         0.10540      \n200             0.58800         0.67488         3.28933e-07     0.66050      \n300             0.58679         0.67678         6.34365e-08     0.66390      \n400             0.58359         0.67954         6.30468e-08     0.66300      \n500             0.57995         0.68308         6.30855e-08     0.66160      \nFinal train acc (mean/std across restarts so far):\n0.68371 0.0006299913\nFinal test acc (mean/std across restarts so far):\n0.67335 0.011750013\nRestart 2\nstep            train nll       train acc       train penalty   test acc     \n0               0.70104         0.44820         9.65708e-05     0.56270      \n100             0.38123         0.84810         0.00407         0.10580      \n200             0.58264         0.69390         3.35832e-07     0.65080      \n300             0.58178         0.69518         5.15910e-08     0.65290      \n400             0.57919         0.69752         5.19561e-08     0.65230      \n500             0.57429         0.70330         1.76905e-07     0.65420      \nFinal train acc (mean/std across restarts so far):\n0.69023997 0.009249125\nFinal test acc (mean/std across restarts so far):\n0.6669667 0.013173293\n,0.6669667,0.013173293,0.69023997,0.009249125
