seed,method,tangent,epsilon,observation_norm,finite,source_observation_rank,kernel_dimension
14,ERM,shared_label_noise,0.01,0.28388552556116686,True,5,0
14,ERM,common_source_color,0.01,0.997303689885377,True,5,0
14,ERM,antisymmetric_source_color,0.01,0.997303689885377,True,5,0
14,ERM,source_env0_color,0.02,1.0904891540266717,True,5,0
14,ERM,source_env1_color,0.02,0.8823197511482348,True,5,0
14,ERM,shared_label_noise,0.02,0.2547706690415375,True,5,0
14,ERM,common_source_color,0.02,1.0027903051903067,True,5,0
14,ERM,antisymmetric_source_color,0.02,1.0027903051903067,True,5,0
14,IRMv1,source_env0_color,0.01,0.8322805799028666,True,5,0
14,IRMv1,source_env1_color,0.01,0.8625667984661833,True,5,0
14,IRMv1,shared_label_noise,0.01,0.6019542380820821,True,5,0
14,IRMv1,common_source_color,0.01,0.8165644505632591,True,5,0
14,IRMv1,antisymmetric_source_color,0.01,0.8165644505632591,True,5,0
14,IRMv1,source_env0_color,0.02,0.8025807203536667,True,5,0
14,IRMv1,source_env1_color,0.02,0.8161588692719577,True,5,0
14,IRMv1,shared_label_noise,0.02,0.5791793447847736,True,5,0
14,IRMv1,common_source_color,0.02,0.819018171264964,True,5,0
14,IRMv1,antisymmetric_source_color,0.02,0.819018171264964,True,5,0
