seed,method,tangent,epsilon,response_norm,whitened_response_norm,retained_hessian_rank,hessian_min_eig,hessian_max_eig,hessian_condition,hessian_damping,whitening_identity_error,finite,response_rank,response_singular_max,response_singular_min,gram_disagreement_with_epsilon_pair,reparameterization_gram_disagreement
10,ERM,source_env0_color,0.01,6.414177783877154,1.8074947520512128,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,5.472625332400107,0.3553711882135655,0.0728927371911394,9.488713041389006e-12
10,ERM,source_env1_color,0.01,6.414177783877154,1.5436087977040134,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,5.472625332400107,0.3553711882135655,0.0728927371911394,9.488713041389006e-12
10,ERM,shared_label_noise,0.01,6.414177783877154,5.462764686123,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,5.472625332400107,0.3553711882135655,0.0728927371911394,9.488713041389006e-12
10,ERM,common_source_color,0.01,6.414177783877154,2.134005611789796,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,5.472625332400107,0.3553711882135655,0.0728927371911394,9.488713041389006e-12
10,ERM,antisymmetric_source_color,0.01,6.414177783877154,1.04696383750273,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,5.472625332400107,0.3553711882135655,0.0728927371911394,9.488713041389006e-12
10,ERM,source_env0_color,0.02,5.829259582255409,1.4894984685830728,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,4.947155865132338,0.21855202241927724,0.0728927371911394,6.355119034673646e-12
10,ERM,source_env1_color,0.02,5.829259582255409,1.4707279310560648,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,4.947155865132338,0.21855202241927724,0.0728927371911394,6.355119034673646e-12
10,ERM,shared_label_noise,0.02,5.829259582255409,4.9347121915388605,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,4.947155865132338,0.21855202241927724,0.0728927371911394,6.355119034673646e-12
10,ERM,common_source_color,0.02,5.829259582255409,2.1120579959951407,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,4.947155865132338,0.21855202241927724,0.0728927371911394,6.355119034673646e-12
10,ERM,antisymmetric_source_color,0.02,5.829259582255409,0.8868187810637851,64,7.48662315871829e-09,0.36113672274921826,48237598.59325481,7.486623157005174e-09,2.0627517378407903e-13,True,5,4.947155865132338,0.21855202241927724,0.0728927371911394,6.355119034673646e-12
10,IRMv1,source_env0_color,0.01,3.275019185664497,1.1870547516480072,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.3197983974161582,0.2774420527976176,0.09418876470246933,6.173102791272012e-14
10,IRMv1,source_env1_color,0.01,3.275019185664497,1.1312806394776513,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.3197983974161582,0.2774420527976176,0.09418876470246933,6.173102791272012e-14
10,IRMv1,shared_label_noise,0.01,3.275019185664497,2.3192271250492507,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.3197983974161582,0.2774420527976176,0.09418876470246933,6.173102791272012e-14
10,IRMv1,common_source_color,0.01,3.275019185664497,1.4796367896199578,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.3197983974161582,0.2774420527976176,0.09418876470246933,6.173102791272012e-14
10,IRMv1,antisymmetric_source_color,0.01,3.275019185664497,0.6846285935033705,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.3197983974161582,0.2774420527976176,0.09418876470246933,6.173102791272012e-14
10,IRMv1,source_env0_color,0.02,2.9615733372997366,1.014075337870791,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.0693434132057784,0.18202390459181092,0.09418876470246933,5.5281676763725115e-14
10,IRMv1,source_env1_color,0.02,2.9615733372997366,1.0131721335957973,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.0693434132057784,0.18202390459181092,0.09418876470246933,5.5281676763725115e-14
