seed,method,tangent,K,central_source_logit_response_norm,control_source_logit_drift_norm,plus_parameter_hash,minus_parameter_hash,control_parameter_hash,plus_optimizer_hash,minus_optimizer_hash,control_optimizer_hash,replay_match,finite
11,IRMv1,source_env1_color,1,0.05809683057127244,0.057520903403205044,f7a4691a0167d1e9ce93304eee2b8ddfa20f1807fea9ed5dd9f226827e7e25da,4e7bc4d5405c8d1b769f81e61333b62e04a28093ba9c9c4e7627c2877e81c3af,16642b9f45f7f6f4526ec9670fddc1ee757ab212198a05f3d17a6fd4f5547123,b2e4165c61b18cdfd110ba337d66612d22cd3c8a66f3d1cb9a43946f70bcfe70,d7c2675ced476bda889b87034daf22ed5b67190820783364d210821bc9cb3fa4,37314a6f2901ce53d8f8b19eed53b4253579ecb80050c669bd7554186b60bf2c,True,True
11,IRMv1,source_env1_color,5,1.2922186218172438,0.22052082243122217,d5458c8dfecd1e4f5c1fc5284d0eeed48ef65d4e1f03e186b60169dbf8b1797d,eb12b153d87d33f19759e5bbd0622ff83d51f20ae7d907e42a601c877056684b,aa98bd5ef9741f6126fb21e27f940de97209b034214e270b79ac0f718628c08c,4a449f4701c5a364bce32140e4452721e5f84d42f7616ca0fe13d327a84f4f1b,9d29b93c491b359f344bef3b38594a1cf706048775526ae5bf4e3f19819a6bb7,d10c9cf9c2a0afd79a53f523660d07f023212cde9d49e38edcdfdc848943d8c7,True,True
11,IRMv1,source_env1_color,20,2.805291801290265,0.5284679957323362,ea68609a7e90294a890d4f8f9de789208b6f140a363a5765f2bfa9b4d98c9b5f,439a7fc6be809c3eaa42e8f5d428946129d567be6a85db48b991c28a9d9fd5c2,c4d681c721e2df78fed1e065cb7c49838a7499ddf17eab906b53f4179d812a70,a6e03fee35249b1348948ec2cc0bbd173f4c7805ffa5278aed5faaf2e28db68a,0f5a89cd8e135457bfe4669f8c647706bcf60f964d5d46bdf120d9f1444760be,753faf322ccec65ab21ab3010ea56eab16ea2381a1bf5d1f2f7577ec10cddf9a,True,True
11,IRMv1,shared_label_noise,1,4.258449331439313,0.057520903403205044,c63abeb3e82ed784db4dfb94931a13a45d412da6a85d0fb7fabdf19372c0b196,6d80465c8678729f03d4ec19fb8c416d83c95d70e1c0e86b3fb2cce694f34451,16642b9f45f7f6f4526ec9670fddc1ee757ab212198a05f3d17a6fd4f5547123,568cef1310419740a473f2ead8894120affc26a14e915af58c69a198f62b9c72,af9f8a249a9cc0b7f8f6bd7e8eb671e17ce0df9caba0633cd05b7de004277374,37314a6f2901ce53d8f8b19eed53b4253579ecb80050c669bd7554186b60bf2c,True,True
11,IRMv1,shared_label_noise,5,33.788794419326145,0.22052082243122217,35208b0b90dc088888479170375d6d1d45076cba1bc6c3ae6fbbdd550d34ecc5,72ce23be5d7e30fb00d5f37ebfeec355abe3bfc2fa2175fb9ffce7a184760a43,aa98bd5ef9741f6126fb21e27f940de97209b034214e270b79ac0f718628c08c,fb4328ff322b92f9619a5d4d7c44bff1079616835667cb12fdb3ed947e090036,4924e435a608b65012503006d043a4a1f59255261089f4aafa61c51087a6e279,d10c9cf9c2a0afd79a53f523660d07f023212cde9d49e38edcdfdc848943d8c7,True,True
11,IRMv1,shared_label_noise,20,29.95619128091259,0.5284679957323362,ac9ebdfa0dd5edd99c98364c3c37cae4f1562c53fb6124c2b197362671096268,cc88b9ed074063dc925340f2d3f395f728ac8bed90d27722edff73178aa988c3,c4d681c721e2df78fed1e065cb7c49838a7499ddf17eab906b53f4179d812a70,cf77727c4f7af342f37ea03a824ebc3a4e363139f1d44934279d65ce957b8b20,8287c019032fb6295e6df2970abdef0528885e38dd9dde1b601f0b994542366f,753faf322ccec65ab21ab3010ea56eab16ea2381a1bf5d1f2f7577ec10cddf9a,True,True
12,ERM,source_env0_color,1,10.326044835091837,0.6791744987335578,0ca2e2ced2350ec0681fcb47643f4e2aa1a4d3094e986c6ec12e2a098136b2cd,3706a59a7467b1ddbf3ddf9923b1623327d9f865ed20f866ea744a83c3579c38,eff23a70f53f10d91a2e60d45be3217316f6955fb66153d74067a2c1d165cd78,6529b727e9bb18e56a0ba44b0d44b331812fc56b0f7d9c064e619a6cfcc03bfc,03f64ab3416d4e4e6a3d6526a05864e96e0a8b807712cfbcec387a7f10a01b1d,a72d284c6c193e32deff10b500e99838f5b413dcef6d24293f03ab51fd61fa69,True,True
12,ERM,source_env0_color,5,86.18728751480663,6.486082364177963,d5d80443badcca6b29f34ed1216d622f8d46f97adad2bd71eba052baf00e204e,bf75e2ccd6fa5a082d767e43e9e76121c47f259217600118ee4f05f2ac01fb6b,39214e2951fede79e54b11c6ce1eb35fd8b9a93d624685f640f213c343aba2f3,b3501c8987fff6880c124994861f8dd6778373934e06475e7873678344ca927a,4802ecf5a55b0a83e967e20344ff553f7c3f779c5f1cb9d72400783e565c1b7b,f4062c212c253115ee597b3a08516387ea4fb1ae2b9ec9dea56f9afc8fbfa2fe,True,True
12,ERM,source_env0_color,20,73.85624856115327,6.08550679353658,4d20cb3b5d59f08fa8c9763e1f292e3a9fd0b3af56e5f9af03ed0edbb0281207,e7c9c62fdc10678c0d76b0c688d91dbc98048a907e59d747982c7c8694959dec,58c2560f6f2a31e8dd03c6ac31b8cfe9a61aef3dcfa9f0b2ec1f93b78b4b9b2b,6eb179d6a544ca1766dc2aceabaacaf67fa870908fdbd802a4977e592043db60,f14a10a5e7f565e6cee7566fc0e7a51a4baf23537a263c5932add4e8edaf2eec,2b7fd26a64ad4de8d5f46dd18cb9d8b2390ef87b4a69edc9ee895da8a3b7ecc1,True,True
12,ERM,source_env1_color,1,10.360460352847127,0.6791744987335578,fdfdf3cb5e2f1d0f61ffe7233219e174989fbb8d8adfb60c47502f7b62a1ddda,97473c3de5f54be34e0f7910b58baf67b8981032bf3c5cc98fde9b4c56a43439,eff23a70f53f10d91a2e60d45be3217316f6955fb66153d74067a2c1d165cd78,99bf95f98ae3df09a608ae6e0638532d36f9990ab430d6fbfa2a7b5129b1afcb,cafb9097f58f1df27ee10e9e228d7c3f48149504e37992ea9683bbafead10356,a72d284c6c193e32deff10b500e99838f5b413dcef6d24293f03ab51fd61fa69,True,True
