seed,method,checkpoint_sha256,parameter_hash,final_source_env0_acc,final_source_env1_acc,final_source_mean_acc,final_target_acc,final_prediction_color_agreement,latent_color_response,task_signal,task_color_overlap,prediction_color_response,probability_color_response,task_head_margin,balanced_clean_accuracy,counterfactual_prediction_consistency,counterfactual_prediction_flip_rate,n_probe_examples,finite,task_color_overlap_degenerate,whitener_retained_rank,whitener_threshold,reconciliation_status,reconciliation_max_abs_delta
10,ERM,a864f25cf3bbb9d829cf437dc13b469d5e22b16b7b51dd0fdd84a5cc15bc5cfb,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,0.8026000261306763,0.8975600004196167,0.8500800132751465,0.10639999806880951,0.9955999851226807,90.21151568902836,2.7490577294124066,0.002742648840773671,12.864608381329946,0.42280942929347204,1.4331136316435427,0.5029,0.0058,0.9942,10000,True,False,44,1.391946592393444e-05,PASS,0.0
10,IRMv1,d381b6725db4cbd157cccbced992113acf09a6511e408a8184bbb8a4bd7cdf91,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,0.6144000291824341,0.6080800294876099,0.611240029335022,0.6539999842643738,0.37279999256134033,127.2035372510846,1.8465781842196394,0.0023466607402296076,0.3284167911448514,0.016776429051315385,0.6707992470329185,0.7645500000000001,0.7503,0.24970000000000003,10000,True,False,63,8.435251556514082e-06,PASS,0.0
11,ERM,829da338656b54fb127fa5ebb34a3817781603ba5fee8dc228e0a9db66f7b0db,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,0.7982800006866455,0.9003599882125854,0.8493199944496155,0.10899999737739563,0.9912999868392944,92.99348728097284,2.7690829458790156,0.002344622441861018,12.131728568562819,0.40094528302828486,1.4589170208511084,0.5067999999999999,0.0136,0.9864,10000,True,False,46,1.3652152315051386e-05,PASS,0.0
11,IRMv1,bb1609a3d27e7f8610e002a7c66bc3bf59a101b820b30e8f0a0b5319c22f22ed,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,0.6255599856376648,0.6194400191307068,0.6225000023841858,0.663100004196167,0.36340001225471497,126.94771997124701,1.8690865813888826,0.002884848400133549,0.27167126030248184,0.013519389874243544,0.8173525820664378,0.7794,0.8104,0.1896,10000,True,False,63,7.099563348711171e-06,PASS,0.0
12,ERM,ffeb90d82729a47c498f9b553c669ac011ddcc8ae82533e08e5f8839746e6892,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,0.7993999719619751,0.9010000228881836,0.8501999974250793,0.10429999977350235,0.991599977016449,97.72950444360843,2.721886454377538,0.00248825783377611,13.855788558579096,0.43588560349777944,1.4676229651880184,0.5058,0.0118,0.9882,10000,True,False,48,1.409281108511321e-05,PASS,0.0
12,IRMv1,537f0fa8ee12b0c709a5880a35182cd03d240fb9d526ea6be37bf12b15ae4d36,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,0.5912799835205078,0.5825200080871582,0.586899995803833,0.6725000143051147,0.34060001373291016,121.86157926467841,1.8276702464611745,0.002614873257203674,0.2186634530053823,0.010682930560933727,0.7798758361424677,0.7588,0.8312,0.16879999999999995,10000,True,False,61,1.0211885660767987e-05,PASS,0.0
13,ERM,9939fcc894d7e1c20eb5c65f9678941c2cad45332098cf855c137f85f9171c98,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,0.7990400195121765,0.9005200266838074,0.8497800230979919,0.11620000004768372,0.9876999855041504,94.9529617030096,2.7268780317374954,0.0026967405677090603,11.94190103401338,0.3977779298994876,1.4649568512941809,0.50875,0.0177,0.9823,10000,True,False,47,1.3280120193377774e-05,PASS,0.0
13,IRMv1,78ac812ee414e3b78ab6152369d876f56ba32505525e045d10e8d649215ced1b,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,0.5793600082397461,0.5669599771499634,0.5731599926948547,0.6894000172615051,0.3149000108242035,124.38123185287192,1.8577785232926365,0.0031165859094042154,0.2809604237072569,0.014950345721296446,0.6361672966983636,0.7575000000000001,0.7514,0.24860000000000004,10000,True,False,62,1.3158698232633585e-05,PASS,0.0
14,ERM,b612285a0016a6186bceb90f4dd96648684f496b075ab8ea9d97f7636dd42759,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,0.7990400195121765,0.8997200131416321,0.8493800163269043,0.11309999972581863,0.9904000163078308,87.57879984349026,2.751428178869606,0.0021469746179761627,11.654343193669641,0.3936152067536477,1.4287680794800424,0.50665,0.0133,0.9867,10000,True,False,43,1.3125964624844771e-05,PASS,0.0
14,IRMv1,beb03573ac0346175be965e3beb0ed7ae1d3ce66572f2657c535dd377f18013f,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed,0.6093599796295166,0.5990399718284607,0.6041999757289886,0.666700005531311,0.35179999470710754,127.2250890504848,1.8746286382096644,0.002839872868417572,0.2318038836644264,0.01107542687908849,0.7799801188651201,0.76555,0.8585,0.14149999999999996,10000,True,False,63,1.023210557570286e-05,PASS,0.0
