seed,erm_final_target_acc,irmv1_final_target_acc,delta_final_target_acc,ratio_final_target_acc,erm_latent_color_response,irmv1_latent_color_response,delta_latent_color_response,ratio_latent_color_response,erm_task_signal,irmv1_task_signal,delta_task_signal,ratio_task_signal,erm_task_color_overlap,irmv1_task_color_overlap,delta_task_color_overlap,ratio_task_color_overlap,erm_prediction_color_response,irmv1_prediction_color_response,delta_prediction_color_response,ratio_prediction_color_response,erm_probability_color_response,irmv1_probability_color_response,delta_probability_color_response,ratio_probability_color_response,erm_task_head_margin,irmv1_task_head_margin,delta_task_head_margin,ratio_task_head_margin,erm_balanced_clean_accuracy,irmv1_balanced_clean_accuracy,delta_balanced_clean_accuracy,ratio_balanced_clean_accuracy,erm_counterfactual_prediction_consistency,irmv1_counterfactual_prediction_consistency,delta_counterfactual_prediction_consistency,ratio_counterfactual_prediction_consistency,erm_counterfactual_prediction_flip_rate,irmv1_counterfactual_prediction_flip_rate,delta_counterfactual_prediction_flip_rate,ratio_counterfactual_prediction_flip_rate
10,0.10639999806880951,0.6539999842643738,0.5475999861955643,6.146616505025011,90.21151568902836,127.2035372510846,36.99202156205624,1.4100587522503545,2.7490577294124066,1.8465781842196394,-0.9024795451927672,0.6717131344543767,0.002742648840773671,0.0023466607402296076,-0.0003959881005440634,0.8556183735018882,12.864608381329946,0.3284167911448514,-12.536191590185094,0.025528704909624274,0.42280942929347204,0.016776429051315385,-0.40603300024215666,0.039678464785776725,1.4331136316435427,0.6707992470329185,-0.7623143846106242,0.4680712207472505,0.5029,0.7645500000000001,0.26165000000000005,1.5202823622986679,0.0058,0.7503,0.7444999999999999,129.36206896551724,0.9942,0.24970000000000003,-0.7444999999999999,0.25115670891168784
11,0.10899999737739563,0.663100004196167,0.5541000068187714,6.083486423401331,92.99348728097284,126.94771997124701,33.95423269027417,1.3651248456538037,2.7690829458790156,1.8690865813888826,-0.899996364490133,0.6749839632541456,0.002344622441861018,0.002884848400133549,0.0005402259582725309,1.230410640377447,12.131728568562819,0.27167126030248184,-11.860057308260338,0.02239345026284785,0.40094528302828486,0.013519389874243544,-0.3874258931540413,0.033718790185367546,1.4589170208511084,0.8173525820664378,-0.6415644387846706,0.5602461074788254,0.5067999999999999,0.7794,0.27260000000000006,1.5378847671665354,0.0136,0.8104,0.7968000000000001,59.58823529411765,0.9864,0.1896,-0.7968000000000001,0.1922141119221411
12,0.10429999977350235,0.6725000143051147,0.5682000145316124,6.447747035143953,97.72950444360843,121.86157926467841,24.132074821069978,1.2469272197629386,2.721886454377538,1.8276702464611745,-0.8942162079163634,0.6714718916807793,0.00248825783377611,0.002614873257203674,0.0001266154234275639,1.050885170221856,13.855788558579096,0.2186634530053823,-13.637125105573714,0.015781379174553897,0.43588560349777944,0.010682930560933727,-0.4252026729368457,0.024508564805096045,1.4676229651880184,0.7798758361424677,-0.6877471290455507,0.5313870487455592,0.5058,0.7588,0.253,1.5001977066034005,0.0118,0.8312,0.8194,70.4406779661017,0.9882,0.16879999999999995,-0.8194,0.1708156243675369
13,0.11620000004768372,0.6894000172615051,0.5732000172138214,5.932874500676451,94.9529617030096,124.38123185287192,29.428270149862314,1.309924720851857,2.7268780317374954,1.8577785232926365,-0.869099508444859,0.6812840551247202,0.0026967405677090603,0.0031165859094042154,0.0004198453416951551,1.1556862186605599,11.94190103401338,0.2809604237072569,-11.660940610306124,0.02352727785191107,0.3977779298994876,0.014950345721296446,-0.3828275841781912,0.03758465364097543,1.4649568512941809,0.6361672966983636,-0.8287895545958173,0.43425667871129237,0.50875,0.7575000000000001,0.24875000000000003,1.488943488943489,0.0177,0.7514,0.7336999999999999,42.45197740112994,0.9823,0.24860000000000004,-0.7336999999999999,0.25307950727883544
14,0.11309999972581863,0.666700005531311,0.5536000058054924,5.894783440738734,87.57879984349026,127.2250890504848,39.64628920699454,1.452692766718034,2.751428178869606,1.8746286382096644,-0.8767995406599416,0.6813293011267461,0.0021469746179761627,0.002839872868417572,0.0006928982504414093,1.3227323903319208,11.654343193669641,0.2318038836644264,-11.422539310005215,0.019889913984199186,0.3936152067536477,0.01107542687908849,-0.3825397798745592,0.02813770070123403,1.4287680794800424,0.7799801188651201,-0.6487879606149223,0.5459109354885439,0.50665,0.76555,0.2588999999999999,1.5110036514359022,0.0133,0.8585,0.8452000000000001,64.54887218045113,0.9867,0.14149999999999996,-0.8452000000000001,0.14340731732036074
