A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,Pi_operator_norm,audit_mode,baseline_E_operator_norm,baseline_Pi_operator_norm,baseline_total_h_condition,baseline_z0_norm,common_base_attribution_status,lambda,method,observed_total_b_norm,observed_total_h_condition,projection_dimension,representation_method,seed,setting,z0_norm
0.0,2.787726434860306,True,-0.0007267737686067477,3.516059457616913,True,0.9949524593568603,10.967365499526942,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,10.98941695483512,42019.369484687166,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,IRMV1,1.426308668951465,44320.314019413185,62,IRMv1,0,source_only_common_projection_irmv1,0.0004087551790209184
0.0,2.787726434860306,True,-8.572029808640025e-06,3.516777659355711,True,0.9962916066680292,10.989219055859042,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,10.98941695483512,42019.369484687166,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.368356907554945,42019.38185518942,62,IRMv1,0,source_only_common_projection_irmv1,4.115839536334217e-06
0.0,2.787726434860306,True,-8.559596970858507e-05,3.5167006354158112,True,0.9961742455960775,10.987445061462589,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,10.98941695483512,42019.369484687166,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,VREX,1.3683483758254043,42019.49366748892,62,IRMv1,0,source_only_common_projection_irmv1,4.115411897528699e-05
0.0,2.787726434860306,True,-0.0008435770823331801,3.5159426543031866,True,0.9950630844104152,10.970405040703389,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,10.98941695483512,42019.369484687166,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.3683462471741583,42020.65911263585,62,IRMv1,0,source_only_common_projection_irmv1,0.00041111414377393397
0.0,3.0972829599275724,True,0.0,3.7552514325919124,True,1.0397654357371418,139.82807881563707,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.176555739101143,146102482.83323145,56,ERM,1,source_only_common_projection_erm,0.0
0.0,3.0972829599275724,True,-0.01337075016976419,3.741880682422148,True,0.9878763010485295,5.78337722728774,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.1766839108454712,3302.8760148220895,56,ERM,1,source_only_common_projection_erm,0.05443806810369881
0.0,3.0972829599275724,True,-0.03451201824831163,3.720739414343601,True,0.9065378134641986,2.6336285409367033,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.1740177499034328,331.19431755311473,56,ERM,1,source_only_common_projection_erm,0.07509330530882799
0.0,3.0972829599275724,True,-0.0636719178215972,3.691579514770315,True,0.7007755075371108,1.164595329229163,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,L2,1.1766679147177317,34.019498917523215,56,ERM,1,source_only_common_projection_erm,0.09045743701982682
0.0,3.0972829599275724,True,-8.707083854808673e-06,3.7552427255080576,True,1.0397454168412894,139.82729733686585,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,IRMV1,1.1771264655378577,146149792.40459496,56,ERM,1,source_only_common_projection_erm,4.128215922550764e-06
0.0,3.0972829599275724,True,-8.623672394625359e-05,3.755165195867966,True,1.039566352224563,139.8203397355022,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,IRMV1,1.182285104574835,146588551.5162331,56,ERM,1,source_only_common_projection_erm,4.1243938196588694e-05
0.0,3.0972829599275724,True,-9.323737823585532e-06,3.755242108854089,True,1.0397485882345532,139.82739737497016,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.1765552284405119,146102998.6907908,56,ERM,1,source_only_common_projection_erm,4.101400971936351e-06
