A_target_posthoc_only,E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,E_change_operator_norm,O_Pi_source_images_labels_only,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,audit_mode,common_base_attribution_status,common_base_kind,direction,filtering_norm,interaction_norm,lambda,method,projection_dimension,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
True,3.51678623138552,NA,NA,3.516777659355711,-8.572029808640025e-06,True,0.9963047171075644,NA,NA,0.9962916066680292,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,62,IRMv1,0,NA,source_only_common_projection_irmv1,NA
True,3.51678623138552,NA,NA,3.5167006354158112,-8.559596970858507e-05,True,0.9963047171075644,NA,NA,0.9961742455960775,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,62,IRMv1,0,NA,source_only_common_projection_irmv1,NA
True,3.51678623138552,NA,NA,3.5159426543031866,-0.0008435770823331801,True,0.9963047171075644,NA,NA,0.9950630844104152,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,62,IRMv1,0,NA,source_only_common_projection_irmv1,NA
True,3.7552514325919124,NA,NA,3.7552514325919124,0.0,True,1.0397654357371418,NA,NA,1.0397654357371418,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.741880682422148,-0.01337075016976419,True,1.0397654357371418,NA,NA,0.9878763010485295,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,L2,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.720739414343601,-0.03451201824831163,True,1.0397654357371418,NA,NA,0.9065378134641986,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.691579514770315,-0.0636719178215972,True,1.0397654357371418,NA,NA,0.7007755075371108,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.7552427255080576,-8.707083854808673e-06,True,1.0397654357371418,NA,NA,1.0397454168412894,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.755165195867966,-8.623672394625359e-05,True,1.0397654357371418,NA,NA,1.039566352224563,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,IRMV1,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.755242108854089,-9.323737823585532e-06,True,1.0397654357371418,NA,NA,1.0397485882345532,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.7552514325919124,NA,NA,3.754330334001396,-0.0009210985905165892,True,1.0397654357371418,NA,NA,1.0381482480735742,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,56,ERM,1,NA,source_only_common_projection_erm,NA
True,3.548478039927742,NA,NA,3.548478039927742,0.0,True,0.983247674892452,NA,NA,0.983247674892452,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.5476221515300326,-0.0008558883977092258,True,0.983247674892452,NA,NA,0.9662002198869594,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,L2,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.5411758336643233,-0.007302206263418487,True,0.983247674892452,NA,NA,0.9359098889050065,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.509026353880983,-0.03945168604675864,True,0.983247674892452,NA,NA,0.8664329996805231,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.5484705646400743,-7.4752876675354685e-06,True,0.983247674892452,NA,NA,0.9832334019267815,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.5484041457068627,-7.389422087911157e-05,True,0.983247674892452,NA,NA,0.9831061463527697,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,IRMV1,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.5478126565525923,-0.0006653833751495419,True,0.983247674892452,NA,NA,0.9819403993265845,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,IRMV1,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.548470011476504,-8.028451237596101e-06,True,0.983247674892452,NA,NA,0.9832351456842549,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.548397869313071,-8.01706146709158e-05,True,0.983247674892452,NA,NA,0.9831229914497306,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
True,3.548478039927742,NA,NA,3.547687678772683,-0.0007903611550585943,True,0.983247674892452,NA,NA,0.9820615117837194,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,56,IRMv1,1,NA,source_only_common_projection_irmv1,NA
