A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,adaptive_regret,audit_mode,common_base_attribution_status,decomposition_residual,dim_kernel_O,full_observation_recoverable_residual,information_floor,lambda,method,projection_dimension,rank_A,rank_O,representation_method,response_dimension,seed,setting,slack_ratio,snapshot_passes,source_dimension,source_state_dimension,spectral_gap_min,support_compatible,total_regret,world_dimension,zero_observation_E_norm
0.0,2.787726434860306,True,3.516059457616913,True,0.9949524593568603,6.181337054748671,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,IRMV1,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.362674109497346,False,6.182226372081992,2,0.0
0.0,2.787726434860306,True,3.516777659355711,True,0.9962916066680292,6.183862552671718,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.367725105343425,False,6.183874096992187,2,0.0
0.0,2.787726434860306,True,3.5167006354158112,True,0.9961742455960775,6.183591679566986,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.367183359133962,False,6.1837071079245955,2,0.0
0.0,2.787726434860306,True,3.5159426543031866,True,0.9950630844104152,6.180926374174269,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.361852748348538,False,6.182079183304001,2,0.0
0.0,3.0972829599275724,True,3.7552514325919124,True,1.0397654357371418,7.0509566609918055,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.101913321983604,False,7.0509566609918,2,0.0
0.0,3.0972829599275724,True,3.741880682422148,True,0.9878763010485295,7.0008355207420205,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.001671041484041,False,7.022348472564711,2,0.0
0.0,3.0972829599275724,True,3.720739414343601,True,0.9065378134641986,6.921950894724981,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-13.843901789449976,False,6.959042851437151,2,0.0
0.0,3.0972829599275724,True,3.691579514770315,True,0.7007755075371108,6.813879656935918,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-13.62775931387185,False,6.908021799919828,2,0.0
0.0,3.0972829599275724,True,3.7552427255080576,True,1.0397454168412894,7.050923963740592,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.10184792748119,False,7.050931485735342,2,0.0
0.0,3.0972829599275724,True,3.755165195867966,True,1.039566352224563,7.050632824129051,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,IRMV1,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.101265648258094,False,7.050707722570428,2,0.0
0.0,3.0972829599275724,True,3.755242108854089,True,1.0397485882345532,7.050921648055452,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.101843296110907,False,7.050932672747893,2,0.0
0.0,3.0972829599275724,True,3.754330334001396,True,1.0381482480735742,7.047498128401516,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,56,1,2,ERM,57,1,source_only_common_projection_erm,inf,True,57,3422,-14.09499625680301,False,7.048598734912627,2,0.0
0.0,2.840092777862171,True,3.548478039927742,True,0.983247674892452,6.2958481999247145,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.591696399849443,False,6.295848199924715,2,0.0
0.0,2.840092777862171,True,3.5476221515300326,True,0.9662002198869594,6.292811465013289,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.585622930026572,False,6.303108972099007,2,0.0
0.0,2.840092777862171,True,3.5411758336643233,True,0.9359098889050065,6.269963142464108,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.539926284928216,False,6.311770906445532,2,0.0
0.0,2.840092777862171,True,3.509026353880983,True,0.8664329996805231,6.156632976115634,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.313265952231255,False,6.310952553054325,2,0.0
0.0,2.840092777862171,True,3.5484705646400743,True,0.9832334019267815,6.295821674058524,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.591643348117042,False,6.295830233075675,2,0.0
0.0,2.840092777862171,True,3.5484041457068627,True,0.9831061463527697,6.295585990634825,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,IRMV1,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.591171981269653,False,6.295671192094809,2,0.0
