experiment_id,profile,seed,method,selected_beta,selected_checkpoint,source_env1_accuracy,source_env2_accuracy,mean_source_accuracy,worst_source_accuracy,target_accuracy,target_loss,counterfactual_color_response,prediction_color_response,counterfactual_prediction_consistency,target_used_for_selection,beta,checkpoint_step,checkpoint_fraction,source_loss,regularizer_magnitude,erm_gradient_norm,penalty_gradient_norm,total_update_norm,raw_gradient_disagreement,local_response_disagreement,response_vector_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,damped_condition_number,damping,curvature_object,random_trace_relative_error,random_fro_relative_error,train_penalty_raw_gradient_disagreement,train_penalty_local_response_disagreement,train_penalty_response_vector_norm,train_penalty_hessian_min_eigenvalue,train_penalty_hessian_max_eigenvalue,train_penalty_damped_condition_number,train_penalty_damping,train_penalty_curvature_object,train_penalty_random_trace_relative_error,train_penalty_random_fro_relative_error
TASK3-CMNIST-LOCAL-RESPONSE,main,0,RANDOM_METRIC,0.01,16,0.9049999713897705,0.8125,0.8587499856948853,0.8125,0.20999999344348907,0.7281621694564819,0.004526813514530659,0.03637503832578659,0.14000000059604645,False,0.01,16,1.0,0.6577242612838745,3.008516311645508,0.24857889115810394,12.918436050415039,0.2010543942451477,0.0002592450473457575,0.00938401184976101,4.424584865570068,8.384402970016411e-05,0.533456815819539,6362.490182392734,8.38460134621004e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,3.9727615381481914e-16,4.159653649217781e-16,0.0002592450473457575,0.00938401184976101,188.79745483398438,8.384402970016411e-05,0.533456815819539,6362.490182392734,8.38460134621004e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,3.9727615381481914e-16,4.159653649217781e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,1,RANDOM_METRIC,0.001,16,0.9150000214576721,0.8025000095367432,0.8587500154972076,0.8025000095367432,0.10571428388357162,1.3621734380722046,0.6103525757789612,6.491422653198242,0.0,False,0.001,16,1.0,0.40957871079444885,55.63349533081055,0.5510815978050232,255.07469177246094,0.5114597082138062,0.025438720360398293,0.06770720332860947,7.65928316116333,0.00037843722500148605,1.6129179191731033,4262.048795983983,0.0003784557170883724,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,5.280938334957269e-16,1.210301040855714e-15,0.025438720360398293,0.06770720332860947,371.3812561035156,0.00037843722500148605,1.6129179191731033,4262.048795983983,0.0003784557170883724,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,5.280938334957269e-16,1.210301040855714e-15
TASK3-CMNIST-LOCAL-RESPONSE,main,2,RANDOM_METRIC,0.001,16,0.9200000166893005,0.8025000095367432,0.8612500131130219,0.8025000095367432,0.1071428582072258,1.0000466108322144,0.20652523636817932,1.8512394428253174,0.0,False,0.001,16,1.0,0.4848671555519104,7.761090278625488,0.6480026841163635,133.69017028808594,0.5978973507881165,0.002062825486063957,0.0522894524037838,10.7717866897583,0.00020334057087697215,0.9574901536116016,4708.800361295903,0.00020334959199923714,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,9.828400857884322e-16,2.1572059956854705e-16,0.002062825486063957,0.0522894524037838,186.3094024658203,0.00020334057087697215,0.9574901536116016,4708.800361295903,0.00020334959199923714,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,9.828400857884322e-16,2.1572059956854705e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,3,RANDOM_METRIC,0.01,12,0.8824999928474426,0.800000011920929,0.8412500023841858,0.800000011920929,0.12999999523162842,0.7344339489936829,0.007038405630737543,0.056541938334703445,0.036666665226221085,False,0.01,12,0.75,0.6515378355979919,8.670333862304688,0.39906778931617737,15.070117950439453,0.4630557894706726,0.0007703899755142629,0.033123649656772614,13.676614761352539,8.073084050714036e-05,0.5157200829984273,6388.142124604954,8.073915415783026e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,4.125634221509654e-16,6.455171437139658e-16,0.0007703899755142629,0.033123649656772614,324.0141296386719,8.073084050714036e-05,0.5157200829984273,6388.142124604954,8.073915415783026e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,4.125634221509654e-16,6.455171437139658e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,4,RANDOM_METRIC,0.01,12,0.887499988079071,0.8050000071525574,0.8462499976158142,0.8050000071525574,0.12428571283817291,0.7299759984016418,0.004992952570319176,0.04005629941821098,0.029999999329447746,False,0.01,12,0.75,0.6568583846092224,0.06197557598352432,0.29807308316230774,4.200493335723877,0.2939339578151703,6.0614665926550515e-06,0.022219981998205185,9.63358211517334,8.411975290959953e-05,0.5340028602629066,6348.126828627043,8.412392004174763e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.9798186844121292e-16,1.4543427991683858e-15,6.0614665926550515e-06,0.022219981998205185,26.623868942260742,8.411975290959953e-05,0.5340028602629066,6348.126828627043,8.412392004174763e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.9798186844121292e-16,1.4543427991683858e-15
TASK3-CMNIST-LOCAL-RESPONSE,main,5,RANDOM_METRIC,0.001,16,0.9200000166893005,0.8025000095367432,0.8612500131130219,0.8025000095367432,0.10428571701049805,1.0319181680679321,0.24243947863578796,2.1877262592315674,0.0,False,0.001,16,1.0,0.5206753611564636,89.7579574584961,0.5194082856178284,506.9925231933594,0.6654536128044128,0.028242437168955803,0.048854976892471313,6.552811145782471,0.00026886784525139644,1.160968468789873,4317.989262361759,0.00026888291496726945,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.477659969208793e-16,1.6939051226374467e-16,0.028242437168955803,0.048854976892471313,563.8320922851562,0.00026886784525139644,1.160968468789873,4317.989262361759,0.00026888291496726945,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.477659969208793e-16,1.6939051226374467e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,6,RANDOM_METRIC,0.001,16,0.9100000262260437,0.8450000286102295,0.8775000274181366,0.8450000286102295,0.10428571701049805,1.0356367826461792,0.25621068477630615,2.2781295776367188,0.0,False,0.001,16,1.0,0.4745005965232849,10.689759254455566,0.637972354888916,117.76285552978516,0.5958523154258728,0.0038548926822841167,0.020999416708946228,5.579119682312012,0.0002892470716454598,1.241751580544694,4293.048062615313,0.00028926606177154815,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.303071541606277e-16,0.0,0.0038548926822841167,0.020999416708946228,185.9575958251953,0.0002892470716454598,1.241751580544694,4293.048062615313,0.00028926606177154815,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.303071541606277e-16,0.0
TASK3-CMNIST-LOCAL-RESPONSE,main,7,RANDOM_METRIC,0.001,16,0.862500011920929,0.7649999856948853,0.8137499988079071,0.7649999856948853,0.10285714268684387,0.8826062083244324,0.09154970943927765,0.7842817902565002,0.0,False,0.001,16,1.0,0.5706790685653687,22.633134841918945,0.4159216582775116,221.429443359375,0.3027426600456238,0.0038878123741596937,0.033469121903181076,6.781944751739502,0.00015587522319656234,0.7949579917205065,5099.963774987162,0.00015590573045439228,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,4.2730978064559477e-16,4.024986339911746e-16,0.0038878123741596937,0.033469121903181076,373.6441650390625,0.00015587522319656234,0.7949579917205065,5099.963774987162,0.00015590573045439228,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,4.2730978064559477e-16,4.024986339911746e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,8,RANDOM_METRIC,0.01,12,0.8974999785423279,0.8199999928474426,0.8587499856948853,0.8199999928474426,0.10285714268684387,0.7271727919578552,0.004243101458996534,0.03400539979338646,0.0033333334140479565,False,0.01,12,0.75,0.6582509875297546,0.5276548266410828,0.27314162254333496,10.511613845825195,0.20843130350112915,4.851738776778802e-05,0.013739509508013725,8.202059745788574,8.16351020006521e-05,0.5217503945218661,6391.250598519475,8.163736746485632e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.0401210116965284e-16,2.1268231984286077e-16,4.851738776778802e-05,0.013739509508013725,77.7784423828125,8.16351020006521e-05,0.5217503945218661,6391.250598519475,8.163736746485632e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.0401210116965284e-16,2.1268231984286077e-16
TASK3-CMNIST-LOCAL-RESPONSE,main,9,RANDOM_METRIC,0.001,16,0.8799999952316284,0.8100000023841858,0.8449999988079071,0.8100000023841858,0.10428571701049805,1.3415809869766235,0.6367005705833435,6.981585502624512,0.0,False,0.001,16,1.0,0.46035128831863403,30.291576385498047,0.3533373177051544,180.65223693847656,0.45029792189598083,0.014514773152768612,0.0684504508972168,8.672240257263184,0.0003720305284811888,1.6155002178693771,4342.386159718241,0.00037205639097726706,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,0.0,7.328820198467395e-16,0.014514773152768612,0.0684504508972168,269.50433349609375,0.0003720305284811888,1.6155002178693771,4342.386159718241,0.00037205639097726706,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,0.0,7.328820198467395e-16
