seed,method,beta,checkpoint_step,checkpoint_fraction,source_env1_accuracy,source_env2_accuracy,mean_source_accuracy,worst_source_accuracy,target_accuracy,source_loss,regularizer_magnitude,erm_gradient_norm,penalty_gradient_norm,total_update_norm,raw_gradient_disagreement,local_response_disagreement,response_vector_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,damped_condition_number,damping,curvature_object,random_trace_relative_error,random_fro_relative_error,selected_by_source_rule,target_used_for_selection,train_penalty_raw_gradient_disagreement,train_penalty_local_response_disagreement,train_penalty_response_vector_norm,train_penalty_hessian_min_eigenvalue,train_penalty_hessian_max_eigenvalue,train_penalty_damped_condition_number,train_penalty_damping,train_penalty_curvature_object,train_penalty_random_trace_relative_error,train_penalty_random_fro_relative_error
0,ERM,0.0,2,0.125,0.49000000953674316,0.49000000953674316,0.49000000953674316,0.49000000953674316,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.6764124631881714,0.0,0.18096524477005005,0.0,0.18096524477005005,0.00023815067834220827,0.034057121723890305,15.655574798583984,8.10375899679832e-05,0.5308604922772576,6550.793187297315,8.104584935527244e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,2.0550109602103764e-16,1.045663492909539e-15,False,False,,,,,,,,,,
0,ERM,0.0,4,0.25,0.8974999785423279,0.8199999928474426,0.8587499856948853,0.8199999928474426,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.6571381688117981,0.0,0.24422965943813324,0.0,0.24422965943813324,0.0002682802441995591,0.03160172328352928,14.359735488891602,8.845784946942375e-05,0.5671408642599753,6411.424962982089,8.84635887500322e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.8826967236798125e-16,1.9568377028080871e-16,True,False,,,,,,,,,,
0,ERM,0.0,8,0.5,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.5973438024520874,0.0,0.4399202764034271,0.0,0.4399202764034271,0.0006859925342723727,0.019582599401474,8.747355461120605,0.0001330837586321842,0.7505920933441524,5639.997705645154,0.00013308800107827694,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,7.508570600892236e-16,0.0,False,False,,,,,,,,,,
0,ERM,0.0,12,0.75,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.5171031355857849,0.0,0.5917540192604065,0.0,0.5917540192604065,0.003098350018262863,0.020087052136659622,5.6666178703308105,0.00026129241135521903,1.2410499694437473,4749.659444784173,0.00026131507714815215,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,3.8241216815106006e-16,5.004773627299166e-16,False,False,,,,,,,,,,
0,ERM,0.0,16,1.0,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.4438888430595398,0.0,0.7281515598297119,0.0,0.7281515598297119,0.00942913070321083,0.018765293061733246,4.103464603424072,0.00048406818668584104,2.05957460888505,4254.720028155266,0.00048409811249285035,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.2385513925042884e-15,5.66843804700557e-16,False,False,,,,,,,,,,
0,IRMv1,0.001,2,0.125,0.49000000953674316,0.49000000953674316,0.49000000953674316,0.49000000953674316,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.6764125823974609,0.0002461128169670701,0.1809655874967575,0.00496999267488718,0.18096080422401428,0.0002381507947575301,0.03405715897679329,15.65558910369873,8.103603496537729e-05,0.5308608687239608,6550.923536063574,8.104590274115468e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,4.1100192131013346e-16,4.1826510068376105e-16,False,False,,,,,,,,,,
0,IRMv1,0.001,4,0.25,0.8974999785423279,0.8199999928474426,0.8587499856948853,0.8199999928474426,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.6571381092071533,0.0011815403122454882,0.24423359334468842,0.014827944338321686,0.24421891570091248,0.0002683096972759813,0.031620245426893234,14.362746238708496,8.846825575882554e-05,0.5671889093790065,6411.21388134098,8.847107727144083e-05,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,9.412686826093823e-16,3.9133438923938385e-16,True,False,,,,,,,,,,
0,IRMv1,0.001,8,0.5,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.5973442792892456,0.007063174154609442,0.4399240016937256,0.062296561896800995,0.43986353278160095,0.0006859725108370185,0.019588259980082512,8.75039291381836,0.00013307690549959646,0.7505657691098425,5640.090339432476,0.00013308454276711652,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.251460952877815e-16,7.293666316938972e-16,False,False,,,,,,,,,,
0,IRMv1,0.001,12,0.75,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.5171026587486267,0.015133358538150787,0.5917351245880127,0.1437140554189682,0.5916337966918945,0.0030983183532953262,0.02008276805281639,5.665021896362305,0.0002613321651551099,1.2412586667103582,4749.735517530447,0.000261346697807312,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,1.2745529987713054e-16,2.168418243081275e-15,False,False,,,,,,,,,,
0,IRMv1,0.001,16,1.0,0.8899999856948853,0.7975000143051147,0.84375,0.7975000143051147,POSTHOC_NOT_EVALUATED_DURING_SELECTION,0.4438953399658203,0.009940287098288536,0.7283251881599426,0.20542316138744354,0.7282025218009949,0.009430192410945892,0.018758518621325493,4.101355075836182,0.0004841687559368418,2.0602641079438624,4255.260346069536,0.00048420036945379146,linear-head cross-entropy Gauss-Newton/Hessian + trace damping,8.255265507997347e-16,1.322299441398813e-15,False,False,,,,,,,,,,
