method,n,mean_selected_penalty_weight,mean_target_accuracy,mean_train_accuracy,mean_prediction_color_agreement
ERM,1,0.0,0.17100000381469727,0.8753800094127655,0.9298999905586243
IRMV1,1,10000.0,0.6686000227928162,0.6817600131034851,0.3652999997138977
UNPRECONDITIONED_GRAD_ALIGN,1,0.01,0.17870000004768372,0.8766599893569946,0.9215999841690063
