method,n,mean_target_accuracy,mean_worst_source_accuracy,mean_counterfactual_color_response,mean_local_response_disagreement,mean_raw_gradient_disagreement
ERM,10,0.11357142850756645,0.8070000052452088,0.5154789059655741,0.04171112161129713,0.021297540407977066
IRMv1,10,0.11357142850756645,0.8070000052452088,0.5154988574213348,0.041713965497910975,0.021299205961986444
LOCAL_RESPONSE,10,0.12328571304678917,0.807750004529953,0.3723747184616514,0.042764076218009,0.014345881293411366
RANDOM_METRIC,10,0.11957142800092697,0.8065000057220459,0.20645795287564397,0.03702377751469612,0.007908567510185094
SHUFFLED_LOCAL_RESPONSE,5,0.12514285743236542,0.8045000076293946,0.4408630151068792,0.043264197930693624,0.01689965169643983
UNPRECONDITIONED_GRAD_ALIGN,10,0.11357142850756645,0.8070000052452088,0.5153989506536163,0.04171630814671516,0.021289864266873338
V-REx,10,0.11357142850756645,0.8070000052452088,0.5154703343752771,0.041710991971194745,0.021298115636454895
