Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,filtering_norm,interaction_norm,lambda,method,seed,sensing_norm,setting,symmetric_identity_residual
1.7278875543913843,1.7278875543913843,1.7278875543913843,1.7278875543913843,0.0,0.0,0.0,L2,,0.0,hidden_u_hurts,0.0
1.7271909623327701,1.7153485615608037,1.7271909623327701,1.7153485615608037,0.012265578548344631,0.0,0.01,L2,,0.0,hidden_u_hurts,0.0
1.7278793390204232,1.7268318304522703,1.7289418696698546,1.7278404152039037,0.006449301491884327,0.0001894421229269529,0.01,IRMV1,,0.0065272579745953635,hidden_u_hurts,0.0
1.7278879713648678,1.7278830605919235,1.7278880631814069,1.7278831524072251,1.3516417464406738e-05,6.132411032104998e-09,0.01,VREX,,0.0005632892734544168,hidden_u_hurts,1.0221585664663696e-20
1.7278875543913843,1.7278875543913843,1.7278875543913843,1.7278875543913843,0.0,0.0,0.0,L2,,0.0,u_exposed_complete_information,0.0
1.7271909623327701,1.7153485615608037,1.7271909623327701,1.7153485615608037,0.012265578548344631,0.0,0.01,L2,,0.0,u_exposed_complete_information,0.0
1.7278793390204232,1.7268318304522703,1.7289418696698546,1.7278404152039037,0.006449301491884327,0.0001894421229269529,0.01,IRMV1,,0.0065272579745953635,u_exposed_complete_information,0.0
1.7278879713648678,1.7278830605919235,1.7278880631814069,1.7278831524072251,1.3516417464406738e-05,6.132411032104998e-09,0.01,VREX,,0.0005632892734544168,u_exposed_complete_information,1.0221585664663696e-20
17074.46905212627,17074.46905212627,17074.46905212627,17074.46905212627,0.0,0.0,0.0,L2,0,0.0,mechanism_defined_hidden,0.0
7506.784588147614,1896.2476602642084,7506.784588147614,1896.2476602642082,5779.022336737677,1.1081006520446465e-11,0.01,L2,0,1.5063136857914048e-11,mechanism_defined_hidden,1.8141604661309913e-13
17082.357015948477,17067.008214942118,17128.700084512417,17089.442430128664,108.78104174480279,73.12063475060759,0.01,IRMV1,0,210.75690943980254,mechanism_defined_hidden,2.8555542279046975e-15
17075.390756778663,17074.311270176873,17075.405394589994,17074.325907446826,1.5542035358436046,0.0032016769888722945,0.01,VREX,0,22.35772491490777,mechanism_defined_hidden,2.4997275389136755e-17
17074.46905212627,17074.46905212627,17074.46905212627,17074.46905212627,0.0,0.0,0.0,L2,0,0.0,mechanism_defined_exposed,0.0
7506.784588147614,1896.2476602642084,7506.784588147614,1896.2476602642082,5779.022336737677,1.1081006520446465e-11,0.01,L2,0,1.5063136857914048e-11,mechanism_defined_exposed,1.8141604661309913e-13
17082.357015948477,17067.008214942118,17128.700084512417,17089.442430128664,108.78104174480279,73.12063475060759,0.01,IRMV1,0,210.75690943980254,mechanism_defined_exposed,2.8555542279046975e-15
17075.390756778663,17074.311270176873,17075.405394589994,17074.325907446826,1.5542035358436046,0.0032016769888722945,0.01,VREX,0,22.35772491490777,mechanism_defined_exposed,2.4997275389136755e-17
16682.18702940598,16682.18702940598,16682.18702940598,16682.18702940598,0.0,0.0,0.0,L2,1,0.0,mechanism_defined_hidden,0.0
8320.336290660409,2274.0060771102617,8320.336290660409,2274.0060771102612,6212.4614276188795,1.6191765463965508e-11,0.01,L2,1,2.0886061626886097e-11,mechanism_defined_hidden,8.294129689956273e-14
16691.420385450623,16682.475449191294,16719.212755940694,16695.577663547105,86.2186158812924,57.86754744660474,0.01,IRMV1,1,235.2057585518276,mechanism_defined_hidden,2.4943719118245217e-15
16682.542405719094,16682.12314750194,16682.55545751173,16682.136198555712,0.9535362077040815,0.0028858769677584002,0.01,VREX,1,20.867595418269012,mechanism_defined_hidden,3.158412346672478e-17
16682.18702940598,16682.18702940598,16682.18702940598,16682.18702940598,0.0,0.0,0.0,L2,1,0.0,mechanism_defined_exposed,0.0
8320.336290660409,2274.0060771102617,8320.336290660409,2274.0060771102612,6212.4614276188795,1.6191765463965508e-11,0.01,L2,1,2.0886061626886097e-11,mechanism_defined_exposed,8.294129689956273e-14
16691.420385450623,16682.475449191294,16719.212755940694,16695.577663547105,86.2186158812924,57.86754744660474,0.01,IRMV1,1,235.2057585518276,mechanism_defined_exposed,2.4943719118245217e-15
16682.542405719094,16682.12314750194,16682.55545751173,16682.136198555712,0.9535362077040815,0.0028858769677584002,0.01,VREX,1,20.867595418269012,mechanism_defined_exposed,3.158412346672478e-17
23069.84558229301,23069.84558229301,23069.84558229301,23069.84558229301,0.0,0.0,0.0,L2,2,0.0,mechanism_defined_hidden,0.0
9840.3881992577,2111.1024419586265,9840.3881992577,2111.102441958626,7931.7282121989865,1.2040581661587916e-11,0.01,L2,2,1.2724121858744017e-11,mechanism_defined_hidden,1.0002133600601556e-13
23092.178674689127,23077.326894256985,23130.059409596965,23095.015020511342,96.54382762748985,65.27144741511776,0.01,IRMV1,2,371.6905480215903,mechanism_defined_hidden,2.207013074050665e-15
23071.09314508166,23070.65140087478,23071.13458458559,23070.692839854415,1.6335748898778137,0.005082853961480634,0.01,VREX,2,43.727344068082694,mechanism_defined_hidden,2.6217945250088734e-18
23069.84558229301,23069.84558229301,23069.84558229301,23069.84558229301,0.0,0.0,0.0,L2,2,0.0,mechanism_defined_exposed,0.0
9840.3881992577,2111.1024419586265,9840.3881992577,2111.102441958626,7931.7282121989865,1.2040581661587916e-11,0.01,L2,2,1.2724121858744017e-11,mechanism_defined_exposed,1.0002133600601556e-13
23092.178674689127,23077.326894256985,23130.059409596965,23095.015020511342,96.54382762748985,65.27144741511776,0.01,IRMV1,2,371.6905480215903,mechanism_defined_exposed,2.207013074050665e-15
23071.09314508166,23070.65140087478,23071.13458458559,23070.692839854415,1.6335748898778137,0.005082853961480634,0.01,VREX,2,43.727344068082694,mechanism_defined_exposed,2.6217945250088734e-18
16396.728930661826,16396.728930661826,16396.728930661826,16396.728930661826,0.0,0.0,0.0,L2,3,0.0,mechanism_defined_hidden,0.0
8554.69454122055,1980.5864202648183,8554.694541220551,1980.5864202648186,6754.975380962468,1.5245435806530236e-11,0.01,L2,3,1.1139301373481065e-11,mechanism_defined_hidden,7.453935451688843e-15
16408.43025439152,16407.45337243581,16422.08955368049,16413.54268083097,53.27282703000117,34.541443578085435,0.01,IRMV1,3,252.30711898162897,mechanism_defined_hidden,1.4814520393635386e-15
16397.521184989702,16396.907337870707,16397.546588226538,16396.932739809377,1.5751013726118428,0.0042680182266466105,0.01,VREX,3,28.862847909719658,mechanism_defined_hidden,5.513896930308416e-18
16396.728930661826,16396.728930661826,16396.728930661826,16396.728930661826,0.0,0.0,0.0,L2,3,0.0,mechanism_defined_exposed,0.0
8554.69454122055,1980.5864202648183,8554.694541220551,1980.5864202648186,6754.975380962468,1.5245435806530236e-11,0.01,L2,3,1.1139301373481065e-11,mechanism_defined_exposed,7.453935451688843e-15
16408.43025439152,16407.45337243581,16422.08955368049,16413.54268083097,53.27282703000117,34.541443578085435,0.01,IRMV1,3,252.30711898162897,mechanism_defined_exposed,1.4814520393635386e-15
16397.521184989702,16396.907337870707,16397.546588226538,16396.932739809377,1.5751013726118428,0.0042680182266466105,0.01,VREX,3,28.862847909719658,mechanism_defined_exposed,5.513896930308416e-18
5570.923446281213,5570.923446281213,5570.923446281213,5570.923446281213,0.0,0.0,0.0,L2,4,0.0,mechanism_defined_hidden,0.0
3015.1862443521068,1095.0466751404304,3015.1862443521068,1095.0466751404304,2013.5818315465528,9.150046568113484e-13,0.01,L2,4,1.8523209299747156e-12,mechanism_defined_hidden,3.4077617245022395e-15
5576.474435453487,5570.393233179541,5591.950332511872,5577.948236958463,30.19848175803766,20.095526029345077,0.01,IRMV1,4,79.37539904934876,mechanism_defined_hidden,8.199151888615933e-16
5571.044651716798,5570.590820252706,5571.066579916165,5570.612745707764,0.7081464100586793,0.003856925307655852,0.01,VREX,4,15.630137348746798,mechanism_defined_hidden,1.2866695428732717e-17
5570.923446281213,5570.923446281213,5570.923446281213,5570.923446281213,0.0,0.0,0.0,L2,4,0.0,mechanism_defined_exposed,0.0
3015.1862443521068,1095.0466751404304,3015.1862443521068,1095.0466751404304,2013.5818315465528,9.150046568113484e-13,0.01,L2,4,1.8523209299747156e-12,mechanism_defined_exposed,3.4077617245022395e-15
5576.474435453487,5570.393233179541,5591.950332511872,5577.948236958463,30.19848175803766,20.095526029345077,0.01,IRMV1,4,79.37539904934876,mechanism_defined_exposed,8.199151888615933e-16
5571.044651716798,5570.590820252706,5571.066579916165,5570.612745707764,0.7081464100586793,0.003856925307655852,0.01,VREX,4,15.630137348746798,mechanism_defined_exposed,1.2866695428732717e-17
