PiO_singular_value,lambda,method,mode,setting
2.0266577425298427e-11,0.01,VREX,1,mechanism_defined_exposed
2.4252623878439827e-15,0.01,VREX,2,mechanism_defined_exposed
2.434868073222572,0.0,L2,0,mechanism_defined_hidden
1.1217769805784984e-11,0.0,L2,1,mechanism_defined_hidden
0.0,0.0,L2,2,mechanism_defined_hidden
2.5334409665276603,0.01,L2,0,mechanism_defined_hidden
5.423795069951856e-12,0.01,L2,1,mechanism_defined_hidden
0.0,0.01,L2,2,mechanism_defined_hidden
2.430450926174533,0.01,IRMV1,0,mechanism_defined_hidden
0.07241800922155651,0.01,IRMV1,1,mechanism_defined_hidden
0.0,0.01,IRMV1,2,mechanism_defined_hidden
2.431786140923879,0.01,VREX,0,mechanism_defined_hidden
1.121766866638549e-11,0.01,VREX,1,mechanism_defined_hidden
0.0,0.01,VREX,2,mechanism_defined_hidden
4.217315212548832,0.0,L2,0,mechanism_defined_exposed
1.1217769805878215e-11,0.0,L2,1,mechanism_defined_exposed
1.0574268039311837e-15,0.0,L2,2,mechanism_defined_exposed
4.388048472002311,0.01,L2,0,mechanism_defined_exposed
5.423795077912028e-12,0.01,L2,1,mechanism_defined_exposed
9.824942038091982e-16,0.01,L2,2,mechanism_defined_exposed
4.208311000446938,0.01,IRMV1,0,mechanism_defined_exposed
0.07244130050828944,0.01,IRMV1,1,mechanism_defined_exposed
8.5721827950151255e-16,0.01,IRMV1,2,mechanism_defined_exposed
4.211956846262914,0.01,VREX,0,mechanism_defined_exposed
1.1217723284518202e-11,0.01,VREX,1,mechanism_defined_exposed
1.577233674178841e-15,0.01,VREX,2,mechanism_defined_exposed
2.877920096087313,0.0,L2,0,mechanism_defined_hidden
1.839263994035223e-11,0.0,L2,1,mechanism_defined_hidden
0.0,0.0,L2,2,mechanism_defined_hidden
3.0189870707117143,0.01,L2,0,mechanism_defined_hidden
1.6208989834968395e-11,0.01,L2,1,mechanism_defined_hidden
0.0,0.01,L2,2,mechanism_defined_hidden
2.8738191672655797,0.01,IRMV1,0,mechanism_defined_hidden
0.08676179853603223,0.01,IRMV1,1,mechanism_defined_hidden
0.0,0.01,IRMV1,2,mechanism_defined_hidden
2.873602369461483,0.01,VREX,0,mechanism_defined_hidden
