method,seed,semantic_direction,alpha,local_response_acc_slope,local_response_loss_slope,finite_accuracy,finite_loss,accuracy_change,loss_change,base_accuracy,base_loss,target_posthoc,source_only_geometry
ERM,10,source_color_common,0.02,-0.7015825094585204,1.0587690834422958,0.8351870998108294,0.4021144438110158,-0.01403165018917063,0.021175381668845916,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_color_common,0.05,-0.7015825094585204,1.0587690834422958,0.8141396245270737,0.4338775163142847,-0.035079125472926354,0.05293845417211479,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_color_common,0.1,-0.7015825094585204,1.0587690834422958,0.7790604990541473,0.4868159704863996,-0.07015825094585271,0.10587690834422969,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_color_contrast,0.02,-5.551115123125783e-15,2.7755575615628914e-15,0.84921875,0.3809390621421699,0.0,0.0,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_color_contrast,0.05,-5.551115123125783e-15,2.7755575615628914e-15,0.84921875,0.38093906214216994,0.0,5.551115123125783e-17,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_color_contrast,0.1,-5.551115123125783e-15,2.7755575615628914e-15,0.8492187499999999,0.3809390621421698,-1.1102230246251565e-16,-5.551115123125783e-17,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_label_noise,0.02,-0.007812499999998446,0.3557193284366794,0.8490625,0.3880534487109034,-0.00015624999999996891,0.007114386568733533,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_label_noise,0.05,-0.007812499999998446,0.3557193284366794,0.8488281249999999,0.3987250285640038,-0.0003906250000000888,0.017785966421833943,0.84921875,0.3809390621421699,0.1063999980688095,True
ERM,10,source_label_noise,0.1,-0.007812499999998446,0.3557193284366794,0.8484375,0.416510994985838,-0.0007812500000000666,0.03557193284366811,0.84921875,0.3809390621421699,0.1063999980688095,True
CORAL,10,source_color_common,0.02,-0.7015825094585204,1.0606821318828064,0.8351870998108294,0.40208427876094693,-0.01403165018917063,0.021213642637656183,0.84921875,0.38087063612329075,0.1058999970555305,True
CORAL,10,source_color_common,0.05,-0.7015825094585204,1.0606821318828064,0.8141396245270737,0.4339047427174311,-0.035079125472926354,0.05303410659414037,0.84921875,0.38087063612329075,0.1058999970555305,True
