method,seed,semantic_direction,direction_index,logical_checkpoint,response_schedule,outcome_schedule,state_gate_pass,A_norm_0,A_norm_1,A_norm_2,A_cos_0_1,A_cos_0_2,A_cos_1_2,O_norm_0,O_norm_1,O_norm_2,O_cos_0_1,O_cos_0_2,O_cos_1_2,R_full_norm_0,R_full_alloc_0_source,R_full_alloc_0_counterfactual,R_full_alloc_0_clean,R_full_norm_1,R_full_alloc_1_source,R_full_alloc_1_counterfactual,R_full_alloc_1_clean,R_full_norm_2,R_full_alloc_2_source,R_full_alloc_2_counterfactual,R_full_alloc_2_clean,R_full_cos_0_1,R_full_cos_0_2,R_full_cos_1_2,R_color_only_norm_0,R_color_only_alloc_0_source,R_color_only_alloc_0_counterfactual,R_color_only_alloc_0_clean,R_color_only_norm_1,R_color_only_alloc_1_source,R_color_only_alloc_1_counterfactual,R_color_only_alloc_1_clean,R_color_only_cos_0_1,R_noise_only_norm_2,R_noise_only_alloc_2_source,R_noise_only_alloc_2_counterfactual,R_noise_only_alloc_2_clean,method_identity_ERM,method_identity_CORAL,method_identity_IRMv1,method_identity_VREX,method_identity_FISHR
ERM,10,source_env0_color,0,300,probe_A,independent_B,True,1.420021320255182,1.4205988512813617,1.3720107355168525,0.9747858929684298,-0.2727970595262063,-0.280646236462517,1.0564524012780991,1.0554766781454141,0.17543156597124146,0.0,0.6118148226573296,0.11957861030141453,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,0.997238773235895,0.07529421479211049,0.062309227618024626,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,0.997238773235895,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,1.0,0.0,0.0,0.0,0.0
ERM,10,source_env1_color,1,300,probe_A,independent_B,True,1.420021320255182,1.4205988512813617,1.3720107355168525,0.9747858929684298,-0.2727970595262063,-0.280646236462517,1.0564524012780991,1.0554766781454141,0.17543156597124146,0.0,0.6118148226573296,0.11957861030141453,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,0.997238773235895,0.07529421479211049,0.062309227618024626,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,0.997238773235895,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,1.0,0.0,0.0,0.0,0.0
ERM,10,source_label_noise,2,300,probe_A,independent_B,True,1.420021320255182,1.4205988512813617,1.3720107355168525,0.9747858929684298,-0.2727970595262063,-0.280646236462517,1.0564524012780991,1.0554766781454141,0.17543156597124146,0.0,0.6118148226573296,0.11957861030141453,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,0.997238773235895,0.07529421479211049,0.062309227618024626,150.1176866595417,0.5863747513228518,0.8088053559071119,0.04470511455118759,149.38356900103508,0.5853410713967186,0.8092302350431029,0.05022207510873338,0.997238773235895,147.92802028122057,0.4641177817482913,0.6981926808124581,0.5450886763866594,1.0,0.0,0.0,0.0,0.0
CORAL,10,source_env0_color,0,300,probe_A,independent_B,True,1.4154848581670152,1.4166722115055488,1.3658866315249063,0.9749821970294815,-0.26959834908942276,-0.2780447587124666,1.0330595737043557,1.031549380744029,0.1743319407372527,0.0,0.6269075928297108,0.13801679043212972,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.9972337287961149,0.08032616772473107,0.06491062811086667,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,0.9972337287961149,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.0,1.0,0.0,0.0,0.0
CORAL,10,source_env1_color,1,300,probe_A,independent_B,True,1.4154848581670152,1.4166722115055488,1.3658866315249063,0.9749821970294815,-0.26959834908942276,-0.2780447587124666,1.0330595737043557,1.031549380744029,0.1743319407372527,0.0,0.6269075928297108,0.13801679043212972,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.9972337287961149,0.08032616772473107,0.06491062811086667,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,0.9972337287961149,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.0,1.0,0.0,0.0,0.0
CORAL,10,source_label_noise,2,300,probe_A,independent_B,True,1.4154848581670152,1.4166722115055488,1.3658866315249063,0.9749821970294815,-0.26959834908942276,-0.2780447587124666,1.0330595737043557,1.031549380744029,0.1743319407372527,0.0,0.6269075928297108,0.13801679043212972,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.9972337287961149,0.08032616772473107,0.06491062811086667,150.87074271275742,0.5844741021912563,0.8102115560339049,0.044127750190141986,150.04600608406756,0.5833132025508171,0.8107179560024065,0.049820714017259064,0.9972337287961149,147.61683530853298,0.46852101568710197,0.699381236061916,0.5397721227555513,0.0,1.0,0.0,0.0,0.0
IRMv1,10,source_env0_color,0,300,probe_A,independent_B,True,0.9708714783498165,0.9750189802755141,1.5946282058872059,0.9715906486982411,-0.37025854401558056,-0.36351681792951185,0.7859326922123518,0.7916158953410757,0.49560004836734645,0.0,-0.0881805284602622,-0.21206427319739693,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,-0.7821632603151384,0.16921687988852122,-0.6754051193275227,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,-0.7821632603151384,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,0.0,0.0,1.0,0.0,0.0
IRMv1,10,source_env1_color,1,300,probe_A,independent_B,True,0.9708714783498165,0.9750189802755141,1.5946282058872059,0.9715906486982411,-0.37025854401558056,-0.36351681792951185,0.7859326922123518,0.7916158953410757,0.49560004836734645,0.0,-0.0881805284602622,-0.21206427319739693,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,-0.7821632603151384,0.16921687988852122,-0.6754051193275227,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,-0.7821632603151384,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,0.0,0.0,1.0,0.0,0.0
IRMv1,10,source_label_noise,2,300,probe_A,independent_B,True,0.9708714783498165,0.9750189802755141,1.5946282058872059,0.9715906486982411,-0.37025854401558056,-0.36351681792951185,0.7859326922123518,0.7916158953410757,0.49560004836734645,0.0,-0.0881805284602622,-0.21206427319739693,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,-0.7821632603151384,0.16921687988852122,-0.6754051193275227,11.465324770376599,0.5806591346665996,0.6861386542064074,0.4382336323607037,3.5403151018642673,0.5068916334361491,0.7217491184293138,0.4713163290179352,-0.7821632603151384,60.434787723390116,0.5990819283630694,0.7542691505071207,0.26866129550430806,0.0,0.0,1.0,0.0,0.0
VREX,10,source_env0_color,0,300,probe_A,independent_B,True,0.9807695148564678,0.9866865202267718,1.379703345107411,0.9756558766524471,-0.2606291257277624,-0.26627305813438584,0.5583567954181203,0.5656817380723433,0.21779770401276327,0.0,-0.0429780479797874,-0.1270536325231177,19.11018080618058,0.6070654136350154,0.7900417680982142,0.08547273383012306,18.483460748058445,0.6079531185815892,0.7879830029205285,0.09734368348930156,6.483766278833713,0.5601788936217852,0.7097216396715689,0.4271941026308415,-0.9930178463282457,-0.14576783945804495,0.25605254879731704,19.11018080618058,0.6070654136350154,0.7900417680982142,0.08547273383012306,18.483460748058445,0.6079531185815892,0.7879830029205285,0.09734368348930156,-0.9930178463282457,6.483766278833713,0.5601788936217852,0.7097216396715689,0.4271941026308415,0.0,0.0,0.0,1.0,0.0
