method,prediction_color_agreement,seed,source_env0_acc,source_env1_acc,source_mean_acc,target_acc,target_loss,target_posthoc
ERM,0.9955999851226807,10,0.8026000261306763,0.8975600004196167,0.8500800132751465,0.10639999806880951,1.5306936502456665,True
IRMv1,0.37279999256134033,10,0.6144000291824341,0.6080800294876099,0.611240029335022,0.6539999842643738,0.6635690331459045,True
VREX,0.392300009727478,10,0.5286399722099304,0.5220000147819519,0.5253199934959412,0.6111000180244446,0.6778928637504578,True
FISHR,0.4796000123023987,10,0.6923999786376953,0.6928399801254272,0.6926199793815613,0.5640000104904175,0.6941744685173035,True
CORAL,0.9961000084877014,10,0.8023999929428101,0.8976399898529053,0.8500199913978577,0.10589999705553055,1.5283514261245728,True
ERM,0.9912999868392944,11,0.7982800006866455,0.9003599882125854,0.8493199944496155,0.10899999737739563,1.4859331846237183,True
IRMv1,0.36340001225471497,11,0.6255599856376648,0.6194400191307068,0.6225000023841858,0.663100004196167,0.651270866394043,True
VREX,0.5662000179290771,11,0.6810399889945984,0.7066799998283386,0.6938599944114685,0.4814999997615814,0.6960896253585815,True
FISHR,0.47200000286102295,11,0.6959199905395508,0.7006400227546692,0.69828000664711,0.5764999985694885,0.6942742466926575,True
CORAL,0.9927999973297119,11,0.7983599901199341,0.9004799723625183,0.8494199812412262,0.10769999772310257,1.4833238124847412,True
ERM,0.991599977016449,12,0.7993999719619751,0.9010000228881836,0.8501999974250793,0.10429999977350235,1.5849761962890625,True
IRMv1,0.34060001373291016,12,0.5912799835205078,0.5825200080871582,0.586899995803833,0.6725000143051147,0.6476389765739441,True
VREX,0.4056999981403351,12,0.6199600100517273,0.6154400110244751,0.6177000105381012,0.6177999973297119,0.6851392984390259,True
FISHR,0.48330000042915344,12,0.6898800134658813,0.6942800283432007,0.692080020904541,0.5576000213623047,0.6911619901657104,True
CORAL,0.991100013256073,12,0.7993599772453308,0.9006800055503845,0.8500199913978577,0.10459999740123749,1.584349513053894,True
ERM,0.9876999855041504,13,0.7990400195121765,0.9005200266838074,0.8497800230979919,0.11620000004768372,1.4766664505004883,True
IRMv1,0.3149000108242035,13,0.5793600082397461,0.5669599771499634,0.5731599926948547,0.6894000172615051,0.6391791105270386,True
VREX,0.5569999814033508,13,0.6854400038719177,0.709559977054596,0.6974999904632568,0.4846999943256378,0.6961696147918701,True
FISHR,0.5228000283241272,13,0.6815599799156189,0.6934400200843811,0.6875,0.5199000239372253,0.6904444098472595,True
CORAL,0.9871000051498413,13,0.7994800209999084,0.9007200002670288,0.8501000106334686,0.11659999936819077,1.4788191318511963,True
ERM,0.9904000163078308,14,0.7990400195121765,0.8997200131416321,0.8493800163269043,0.11309999972581863,1.4606915712356567,True
IRMv1,0.35179999470710754,14,0.6093599796295166,0.5990399718284607,0.6041999757289886,0.666700005531311,0.6695893406867981,True
VREX,0.45579999685287476,14,0.6194800138473511,0.6176400184631348,0.6185600161552429,0.5702999830245972,0.6917073726654053,True
FISHR,0.4641999900341034,14,0.6777999997138977,0.6775199770927429,0.6776599884033203,0.5759000182151794,0.6914043426513672,True
CORAL,0.9916999936103821,14,0.7990800142288208,0.8997600078582764,0.8494200110435486,0.11180000007152557,1.4624381065368652,True
