method,seed,semantic_direction,A_norm,O_norm,R_norm,G_diag,G_cross_01,G_cross_03,G_cross_13,R_source_norm,R_counterfactual_norm,R_clean_norm
ERM,10,source_env0_color,1.4081865766925488,1.0413818601625067,194.40545654296875,37793.4921875,37469.37109375,-3229.47216796875,-3531.8564453125,110.41726684570312,158.2881317138672,23.374814987182617
ERM,10,source_env1_color,1.4076351489463335,1.0400103435993417,193.1416015625,37303.6875,37469.37109375,-3229.47216796875,-3531.8564453125,109.54381561279297,157.42437744140625,22.834274291992188
ERM,10,source_label_noise,1.3758958027697503,0.1782203727247897,174.50619506835938,30452.423828125,37469.37109375,-3229.47216796875,-3531.8564453125,79.86832427978516,134.0062255859375,78.20361328125
CORAL,10,source_env0_color,1.4035166338962026,1.0178358595920187,192.2585906982422,36963.37890625,36733.96484375,-2862.71044921875,-3243.031982421875,109.5615005493164,155.83543395996094,25.98021697998047
CORAL,10,source_env1_color,1.40379281371663,1.0159036073402437,191.45094299316406,36653.453125,36733.96484375,-2862.71044921875,-3243.031982421875,108.8719253540039,155.21676635742188,26.610280990600586
CORAL,10,source_label_noise,1.3705742262295468,0.17732007269864336,168.44993591308594,28375.37890625,36733.96484375,-2862.71044921875,-3243.031982421875,78.24031829833984,128.40914916992188,75.92706298828125
IRMv1,10,source_env0_color,0.9705955548908661,0.7859822468045986,6.812375545501709,46.40846633911133,45.007301330566406,343.70123291015625,340.1180114746094,4.371805667877197,5.181441307067871,0.6696602702140808
IRMv1,10,source_env1_color,0.9747570705655342,0.7917364433901245,6.660383224487305,44.36071014404297,45.007301330566406,343.70123291015625,340.1180114746094,4.2830400466918945,5.083302021026611,0.4199088513851166
IRMv1,10,source_label_noise,1.595292679352074,0.49589054182810555,52.167503356933594,2721.44873046875,45.007301330566406,343.70123291015625,340.1180114746094,33.07709884643555,40.313446044921875,1.4765598773956299
VREX,10,source_env0_color,0.9808812905333063,0.5585783739433023,8.699952125549316,75.68914794921875,-85.81436920166016,-69.1025161743164,98.06183624267578,5.254523754119873,6.457100868225098,2.5268523693084717
VREX,10,source_env1_color,0.9867564762995679,0.5659038211911991,10.063849449157715,101.28111267089844,-85.81436920166016,-69.1025161743164,98.06183624267578,6.067718982696533,7.346183776855469,3.239980697631836
VREX,10,source_label_noise,1.379311067567651,0.21767619678835864,13.112494468688965,171.93751525878906,-85.81436920166016,-69.1025161743164,98.06183624267578,7.366037845611572,9.242228507995605,5.679808139801025
FISHR,10,source_env0_color,0.9404663522695376,0.15755930617964778,31.327119827270508,981.3887939453125,-899.555908203125,30.620195388793945,-28.31757926940918,19.302196502685547,24.30400276184082,4.257869720458984
FISHR,10,source_env1_color,0.9602247230190505,0.15959218799053343,28.724002838134766,825.068115234375,-899.555908203125,30.620195388793945,-28.31757926940918,17.73313331604004,22.250993728637695,3.936675786972046
FISHR,10,source_label_noise,1.2404161544938275,0.11841741444970584,1.1751121282577515,1.3808884620666504,-899.555908203125,30.620195388793945,-28.31757926940918,0.763003408908844,0.8632014393806458,0.23151150345802307
ERM,11,source_env0_color,1.392761707690113,1.062226919801038,152.6586151123047,23304.65625,23185.7265625,5513.029296875,5352.94873046875,89.87531280517578,122.83686828613281,11.755237579345703
ERM,11,source_env1_color,1.4005995800915874,1.078627442836714,152.6616973876953,23305.58984375,23185.7265625,5513.029296875,5352.94873046875,91.06040954589844,121.30683898925781,17.26946449279785
ERM,11,source_label_noise,1.352991876531399,0.18448264872740214,181.77108764648438,33040.72265625,23185.7265625,5513.029296875,5352.94873046875,98.85243225097656,129.6600799560547,80.35657501220703
CORAL,11,source_env0_color,1.3964916123334457,1.0427656784229118,157.0022430419922,24649.708984375,24390.25390625,5446.6748046875,5361.9150390625,91.95195770263672,126.83175659179688,10.404264450073242
CORAL,11,source_env1_color,1.401843918486366,1.0582794948478196,155.99208068847656,24333.51171875,24390.25390625,5446.6748046875,5361.9150390625,92.58796691894531,124.63105773925781,15.10230541229248
CORAL,11,source_label_noise,1.3565479216352612,0.18438453926779466,180.4116668701172,32548.359375,24390.25390625,5446.6748046875,5361.9150390625,98.89720916748047,128.25387573242188,79.48987579345703
IRMv1,11,source_env0_color,0.948676255752079,0.7159577293447984,4.254408359527588,18.099990844726562,25.982580184936523,313.5988464355469,456.0938415527344,2.6193504333496094,3.3422439098358154,0.2615344822406769
IRMv1,11,source_env1_color,0.9582654994331244,0.7288563039381304,6.209464073181152,38.55744934082031,25.982580184936523,313.5988464355469,456.0938415527344,3.9536025524139404,4.779513835906982,0.2876236140727997
IRMv1,11,source_label_noise,1.6402881218207177,0.5798388156416824,74.16512298583984,5500.4638671875,25.982580184936523,313.5988464355469,456.0938415527344,46.01137161254883,58.04319381713867,3.7954254150390625
VREX,11,source_env0_color,0.9706049120288733,0.5227490764648446,10.12840461730957,102.5845947265625,-103.9744873046875,-17.708398818969727,17.29023551940918,5.951205253601074,7.592601776123047,3.0854732990264893
VREX,11,source_env1_color,0.9727808954787585,0.5265587106503672,10.300409317016602,106.09841918945312,-103.9744873046875,-17.708398818969727,17.29023551940918,6.044538497924805,7.832616329193115,2.8656725883483887
VREX,11,source_label_noise,1.3781564696379496,0.2362530594500363,2.390315294265747,5.713605880737305,-103.9744873046875,-17.708398818969727,17.29023551940918,1.3106653690338135,1.7249571084976196,1.0100919008255005
