method,semantic_direction,K,A_norm,O_norm,source_bank_response_norm,exposure_to_task_ratio,response_to_task_ratio,response_to_exposure_ratio
CORAL,source_color_common,1,1.933646077234035,0.8585263836900208,19.103016662597657,0.4440191400397878,9.877517506770916,22.233568521853392
CORAL,source_color_common,5,1.933646077234035,0.8585263836900208,165.5833251953125,0.4440191400397878,85.6389514673577,192.80048860175316
CORAL,source_color_common,20,1.933646077234035,0.8585263836900208,138.34850006103517,0.4440191400397878,71.49577442911566,160.90085462114385
CORAL,source_color_contrast,1,0.2566036019088759,0.8585263836900208,0.37905239462852475,3.3632350900290424,1.5027643425787862,0.4409617556050411
CORAL,source_color_contrast,5,0.2566036019088759,0.8585263836900208,1.6683470249176025,3.3632350900290424,6.470970620523242,1.9436638841472615
CORAL,source_color_contrast,20,0.2566036019088759,0.8585263836900208,4.161364459991455,3.3632350900290424,16.36728866580574,4.856873200309425
CORAL,source_env0_color,1,1.3754856850032746,0.8551870118843636,13.471015739440919,0.6217200046373067,9.792675446818434,15.74186068674813
CORAL,source_env0_color,5,1.3754856850032746,0.8551870118843636,116.94212646484375,0.6217200046373067,85.02582611485381,136.70428915711025
CORAL,source_env0_color,20,1.3754856850032746,0.8551870118843636,97.50032501220703,0.6217200046373067,70.83744719254824,113.8223772438844
CORAL,source_env1_color,1,1.38317208757843,0.8618433240552654,13.548838233947754,0.6231931472932134,9.792739294002716,15.70739323678732
CORAL,source_env1_color,5,1.38317208757843,0.8618433240552654,117.23877868652343,0.6231931472932134,84.7693268111842,135.97971207634137
CORAL,source_env1_color,20,1.38317208757843,0.8618433240552654,98.24166870117188,0.6231931472932134,70.98399174503153,113.83261921595405
CORAL,source_label_noise,1,1.4465766181301474,0.18770861893121818,3.4197553157806397,0.1297477843205126,2.363476013309647,18.21940971283893
CORAL,source_label_noise,5,1.4465766181301474,0.18770861893121818,24.669125747680663,0.1297477843205126,17.05820972783078,132.1638885906375
CORAL,source_label_noise,20,1.4465766181301474,0.18770861893121818,86.33996887207032,0.1297477843205126,59.691034769870555,463.6885825272333
ERM,source_color_common,1,1.9353068688828707,0.8773838419973018,19.491917419433594,0.45338968542413605,10.069225716628585,22.197828451401563
ERM,source_color_common,5,1.9353068688828707,0.8773838419973018,166.74362182617188,0.45338968542413605,86.15168685296489,189.95942680715103
ERM,source_color_common,20,1.9353068688828707,0.8773838419973018,139.42698822021484,0.45338968542413605,71.9711140144058,158.70187429980894
ERM,source_color_contrast,1,0.2618317883506148,0.8773838419973018,0.3899740576744079,3.366328868764852,1.5139214811245978,0.44401414971364794
ERM,source_color_contrast,5,0.2618317883506148,0.8773838419973018,1.7244610071182251,3.366328868764852,6.605983864725497,1.9666375703797427
ERM,source_color_contrast,20,0.2618317883506148,0.8773838419973018,4.401718282699585,3.366328868764852,16.878703043313195,5.027260076892452
ERM,source_env0_color,1,1.3764256766667444,0.8736536315372945,13.745427513122559,0.6347112174184166,9.984173808084474,15.721483005411311
ERM,source_env0_color,5,1.3764256766667444,0.8736536315372945,117.72326202392578,0.6347112174184166,85.51962154315473,134.68847208566538
ERM,source_env0_color,20,1.3764256766667444,0.8736536315372945,98.16193237304688,0.6347112174184166,71.24625620432498,112.18707059278081
ERM,source_env1_color,1,1.385520060483633,0.8810873319642323,13.824559783935547,0.6360567203458001,9.97551465302147,15.677454990855347
ERM,source_env1_color,5,1.385520060483633,0.8810873319642323,118.09882965087891,0.6360567203458001,85.2403172985814,133.978541812317
ERM,source_env1_color,20,1.385520060483633,0.8810873319642323,99.11420288085938,0.6360567203458001,71.47653013385647,112.36524495472179
ERM,source_label_noise,1,1.4502954487594735,0.1913673645104692,3.5338321685791017,0.1319312886073556,2.4349025483579303,18.473739901154673
ERM,source_label_noise,5,1.4502954487594735,0.1913673645104692,25.23249282836914,0.1319312886073556,17.401556607436014,132.59967990670935
ERM,source_label_noise,20,1.4502954487594735,0.1913673645104692,87.09738006591797,0.1319312886073556,60.06875306898221,458.50142573122366
FISHR,source_color_common,1,1.3385123231415696,0.1019856576654603,0.0143328202888369,0.07622162980669905,0.010693598405384992,0.1419013128908618
FISHR,source_color_common,5,1.3385123231415696,0.1019856576654603,0.19943985044956203,0.07622162980669905,0.14892761063637436,1.9647694749951115
FISHR,source_color_common,20,1.3385123231415696,0.1019856576654603,0.9921473622322082,0.07622162980669905,0.7410311117056845,9.76173757516398
FISHR,source_color_contrast,1,0.15430941773120396,0.1019856576654603,0.2701422572135925,0.663637574438157,1.7223047771780777,2.6330783934077076
FISHR,source_color_contrast,5,0.15430941773120396,0.1019856576654603,3.127173376083374,0.663637574438157,20.024162888166558,30.427142633618843
FISHR,source_color_contrast,20,0.15430941773120396,0.1019856576654603,18.02007312774658,0.663637574438157,116.20644250260827,175.81705862938304
