E_operator_norm,PiO_operator_norm,R_operator_norm,adaptive_regret,coordinate_audit_passes,decomposition_residual,dim_world,full_minimax_condition,full_observation_recoverable_residual,information_floor,kernel_dimension,kind,lambda,method,seed,setting,slack_ratio,snapshot_passes,spectral_gap_min,static_tax_holds,static_tax_lower_bound,support_compatible,total_excess,total_regret,z0_norm,zero_observation_E_norm
14.722221289304134,2.2466542577219837,10.105851856220884,158.63454205785084,True,0.0,3,False,0.0,51.06412086994154,1,cmnist,0.0,L2,0,mechanism_defined_hidden,inf,True,-215.14084237581858,True,51.06412086994154,False,107.57042118790929,158.63454205785084,0.0,0.0
15.004816056111927,2.8391786445360463,10.105851856220884,162.40072241736732,True,0.0,3,False,0.0,51.06412086994154,1,cmnist,0.01,L2,0,mechanism_defined_hidden,inf,True,-222.67320309485132,True,51.35550129458045,False,112.81246534636571,163.87658621630726,0.7633877450403649,0.0
14.718454199909669,2.237933599417636,10.105851856220884,158.58538350181516,True,0.0,3,False,0.0,51.06412086994154,1,cmnist,0.01,IRMV1,0,mechanism_defined_hidden,inf,True,-215.04252526374734,True,51.06412668761612,False,107.55265422313164,158.6167750930732,0.003411062759339839,0.0
14.72174709340713,2.244365991655723,10.105851856220884,158.6291826360484,True,0.0,3,False,0.0,51.06412086994154,1,cmnist,0.01,VREX,0,mechanism_defined_hidden,inf,True,-215.13012353221387,True,51.06412089252263,False,107.56588711309365,158.6300079830352,0.00021251395442116745,0.0
17.38861885687616,3.8913193214154167,5.834616289579606,167.44409516077565,True,2.3071926574524812e-15,3,False,0.0,17.021373623313846,1,cmnist,0.0,L2,0,mechanism_defined_exposed,inf,True,-300.84544307492365,True,17.021373623313846,False,150.4227215374618,167.44409516077565,0.0,0.0
17.949344170319637,4.917601664100967,5.834616289579606,176.9769719869971,True,2.3071926574524812e-15,3,False,0.0,17.021373623313846,1,cmnist,0.01,L2,0,mechanism_defined_exposed,inf,True,-319.91119672736636,True,17.31275404795275,False,161.01233370298095,178.0337073262948,0.7633877450403649,0.0
17.38094373720735,3.8752847871029767,5.834616289579606,167.31634604508227,True,2.3071926574524812e-15,3,False,0.0,17.021373623313846,1,cmnist,0.01,IRMV1,0,mechanism_defined_exposed,inf,True,-300.58994484353684,True,17.02137944098842,False,150.33027296441176,167.3516465877256,0.003411062759339839,0.0
17.387519304236378,3.8873466480582626,5.834616289579606,167.426458346281,True,2.3071926574524812e-15,3,False,0.0,17.021373623313846,1,cmnist,0.01,VREX,0,mechanism_defined_exposed,inf,True,-300.8101694459339,True,17.021373645894936,False,150.40630103854383,167.42767466185768,0.00021251395442116745,0.0
10.102457152862717,2.242469973327584,6.7373805017029245,72.96053461574981,True,0.0,3,False,0.0,22.696148012363373,1,cmnist,0.0,L2,1,mechanism_defined_hidden,inf,True,-100.52877320677293,True,22.696148012363373,False,50.264386603386434,72.96053461574981,0.0,0.0
10.291942295092339,2.5327445086809353,6.7373805017029245,74.71572305350885,True,0.0,3,False,0.0,22.696148012363373,1,cmnist,0.01,L2,1,mechanism_defined_hidden,inf,True,-104.03915008229092,True,22.94938564791779,False,53.22504566396572,75.9211936763291,0.7116707603301076,0.0
10.09948868767878,2.2354639835131023,6.7373805017029245,72.9355758759246,True,0.0,3,False,0.0,22.696148012363373,1,cmnist,0.01,IRMV1,1,mechanism_defined_hidden,inf,True,-100.47885572712246,True,22.69615403720303,False,50.26401562391428,72.96016363627766,0.003471264800013709,0.0
10.101813331753304,2.240303783761025,6.7373805017029245,72.95547460974349,True,0.0,3,False,0.0,22.696148012363373,1,cmnist,0.01,VREX,1,mechanism_defined_hidden,inf,True,-100.51865319476005,True,22.696148031462286,False,50.260025495388454,72.95617350775183,0.00019544263588877834,0.0
12.191180880695176,3.884071928251001,3.889828446291121,81.18997926738808,True,7.71996775440565e-16,3,False,0.0,7.565382670787798,1,cmnist,0.0,L2,1,mechanism_defined_exposed,inf,True,-147.24919319320054,True,7.565382670787798,False,73.62459659660028,81.18997926738808,0.0,0.0
12.559454040322464,4.386842171626454,3.889828446291121,85.61282249904721,True,7.71996775440565e-16,3,False,0.0,7.565382670787798,1,cmnist,0.01,L2,1,mechanism_defined_exposed,inf,True,-156.09487965651877,True,7.818620306342215,False,78.95919634971108,86.52457902049888,0.7116707603301076,0.0
12.184638878251159,3.870630011201703,3.889828446291121,81.11446721046664,True,7.71996775440565e-16,3,False,0.0,7.565382670787798,1,cmnist,0.01,IRMV1,1,mechanism_defined_exposed,inf,True,-147.09816907935766,True,7.565388695627454,False,73.5782941828303,81.1436768536181,0.003471264800013709,0.0
12.189714214658045,3.8803121143337536,3.889828446291121,81.17330436850735,True,7.71996775440565e-16,3,False,0.0,7.565382670787798,1,cmnist,0.01,VREX,1,mechanism_defined_exposed,inf,True,-147.21584339543904,True,7.56538268988671,False,73.60898036430036,81.17436303508816,0.00019544263588877834,0.0
9.587421616196474,2.434868073222572,6.317102269586476,65.02091561836207,True,0.0,3,False,0.0,19.952890542207303,1,cmnist,0.0,L2,2,mechanism_defined_hidden,inf,True,-90.13605015230956,True,19.952890542207303,False,45.06802507615477,65.02091561836207,0.0,0.0
9.687984037896952,2.5334409665276603,6.317102269586476,65.93788152482499,True,0.0,3,False,0.0,19.952890542207303,1,cmnist,0.01,L2,2,mechanism_defined_hidden,inf,True,-91.96998196523532,True,20.192669244537118,False,47.272767714869204,67.2256582570765,0.6925008336887618,0.0
9.585924874250159,2.430450926174533,6.317102269586476,65.01025987450821,True,0.0,3,False,0.0,19.952890542207303,1,cmnist,0.01,IRMV1,2,mechanism_defined_hidden,inf,True,-90.11473866460173,True,19.952897410741866,False,45.082111994117525,65.03500253632482,0.0037063552345003286,0.0
9.586419470429385,2.431786140923879,6.317102269586476,65.01349429402863,True,0.0,3,False,0.0,19.952890542207303,1,cmnist,0.01,VREX,2,mechanism_defined_hidden,inf,True,-90.12120750364264,True,19.952890595753818,False,45.06177982194151,65.01467036414881,0.00032725071409118355,0.0
11.685811093581334,4.217315212548832,3.6471806958441504,74.14847017681598,True,9.220116471349622e-16,3,False,0.0,6.650963514069111,1,cmnist,0.0,L2,2,mechanism_defined_exposed,inf,True,-134.99501332549357,True,6.650963514069111,False,67.49750666274687,74.14847017681598,0.0,0.0
11.871170306899819,4.388048472002311,3.6471806958441504,76.29789490353635,True,9.220116471349622e-16,3,False,0.0,6.650963514069111,1,cmnist,0.01,L2,2,mechanism_defined_exposed,inf,True,-139.29386277893445,True,6.890742216398926,False,70.69643107563357,77.34739458970267,0.6925008336887618,0.0
11.682040955271514,4.208311000446938,3.6471806958441504,74.1074902838597,True,9.220116471349622e-16,3,False,0.0,6.650963514069111,1,cmnist,0.01,IRMV1,2,mechanism_defined_exposed,inf,True,-134.91305353958126,True,6.650970382603673,False,67.48659659666325,74.13756011073235,0.0037063552345003286,0.0
11.683520934787124,4.211956846262914,3.6471806958441504,74.12345412581509,True,9.220116471349622e-16,3,False,0.0,6.650963514069111,1,cmnist,0.01,VREX,2,mechanism_defined_exposed,inf,True,-134.94498122349205,True,6.650963567615626,False,67.47432129418974,74.12528480825884,0.00032725071409118355,0.0
9.012442787932994,2.877920096087313,5.775897356709084,56.08239966036837,True,0.0,3,False,0.0,16.68049513761949,1,cmnist,0.0,L2,3,mechanism_defined_hidden,inf,True,-78.80380904549776,True,16.68049513761949,False,39.40190452274888,56.08239966036837,0.0,0.0
9.168428925905891,3.0189870707117143,5.775897356709084,57.42357877183368,True,0.0,3,False,0.0,16.68049513761949,1,cmnist,0.01,L2,3,mechanism_defined_hidden,inf,True,-81.48616726842837,True,16.85158168513601,False,41.17605968744617,57.85655482506566,0.5849556350981134,0.0
9.010718884841827,2.8738191672655797,5.775897356709084,56.070410660212154,True,0.0,3,False,0.0,16.68049513761949,1,cmnist,0.01,IRMV1,3,mechanism_defined_hidden,inf,True,-78.77983104518526,True,16.680502662069404,False,39.41405522614144,56.09455036376093,0.003879291150226084,0.0
9.010721594161598,2.873602369461483,5.775897356709084,56.07029081857893,True,0.0,3,False,0.0,16.68049513761949,1,cmnist,0.01,VREX,3,mechanism_defined_hidden,inf,True,-78.77959136191885,True,16.680495201356056,False,39.39113691335773,56.071632050977215,0.00035703378750601665,0.0
11.23607376818116,4.984703826546732,3.3347158937076364,67.68208672136193,True,1.1405038405524263e-15,3,False,0.0,5.56016504587316,1,cmnist,0.0,L2,3,mechanism_defined_exposed,inf,True,-124.24384335097739,True,5.56016504587316,False,62.121921675488764,67.68208672136193,0.0,0.0
11.521854907301813,5.229038993866224,3.3347158937076364,70.89431178202636,True,1.1405038405524263e-15,3,False,0.0,5.56016504587316,1,cmnist,0.01,L2,3,mechanism_defined_exposed,inf,True,-130.66829347230637,True,5.731251593389679,False,65.52915729441068,71.08932234028384,0.5849556350981134,0.0
11.231883620507311,4.976708532835254,3.3347158937076364,67.63765154183132,True,1.1405038405524263e-15,3,False,0.0,5.56016504587316,1,cmnist,0.01,IRMV1,3,mechanism_defined_exposed,inf,True,-124.15497299191648,True,5.560172570323074,False,62.10719027100758,67.66735531688074,0.003879291150226084,0.0
11.23220226956822,4.9772048633391615,3.3347158937076364,67.64102276329157,True,1.1405038405524263e-15,3,False,0.0,5.56016504587316,1,cmnist,0.01,VREX,3,mechanism_defined_exposed,inf,True,-124.16171543483662,True,5.560165109609723,False,62.083044171133736,67.6432092170069,0.00035703378750601665,0.0
11.618012023361823,3.6766961343421842,7.447470388892037,93.24850927402565,True,0.0,3,False,0.0,27.73240759671185,1,cmnist,0.0,L2,4,mechanism_defined_hidden,inf,True,-131.0322033546276,True,27.73240759671185,False,65.5161016773138,93.24850927402565,0.0,0.0
11.681095532399159,3.6499629523518435,7.447470388892037,94.04149997515766,True,0.0,3,False,0.0,27.73240759671185,1,cmnist,0.01,L2,4,mechanism_defined_hidden,inf,True,-132.61818475689165,True,27.859371657150472,False,66.53433467193506,94.26674226864691,0.5039128107889717,0.0
11.620071073844159,3.6809169046849326,7.447470388892037,93.26842096865218,True,0.0,3,False,0.0,27.73240759671185,1,cmnist,0.01,IRMV1,4,mechanism_defined_hidden,inf,True,-131.07202674388066,True,27.73241057512001,False,65.55833129357642,93.29073889028827,0.002440658991993378,0.0
