E_operator_norm,PiO_operator_norm,R_operator_norm,adaptive_regret,coordinate_audit_passes,decomposition_residual,dim_world,full_minimax_condition,full_observation_recoverable_residual,information_floor,kernel_dimension,kind,lambda,method,seed,setting,slack_ratio,snapshot_passes,spectral_gap_min,static_tax_holds,static_tax_lower_bound,support_compatible,total_excess,total_regret,z0_norm,zero_observation_E_norm
1.3973015356361831e-12,0.226076287659484,0.319942029393104,0.05118145108608892,True,0.0,8,True,0.0,0.05118145108608892,1,gaussian,0.0,L2,,hidden_u_hurts,1.9073820105326317e-23,True,0.0,True,0.05118145108608892,True,0.0,0.05118145108608892,1.96261557335472e-17,0.0
0.0027539553934237547,0.2241093634716791,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,L2,,hidden_u_hurts,7.409198203672258e-05,True,0.0,True,0.051185727785392134,True,4.2768432684248125e-06,0.05118572792935734,0.0029246193951398196,0.0
3.475625620153372e-05,0.22606563474252755,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,IRMV1,,hidden_u_hurts,1.1801124426061701e-08,True,0.0,True,0.05118145172777137,True,6.416824363530971e-10,0.05118145172777135,3.582408275963566e-05,0.0
3.081136761313994e-06,0.22607584082480647,0.319942029393104,0.05118145108608892,True,0.0,8,False,0.0,0.05118145108608892,1,gaussian,0.01,VREX,,hidden_u_hurts,9.274262003584337e-11,True,0.0,True,0.05118145110343982,True,1.7350905434643238e-11,0.05118145110343982,5.890824092330206e-06,0.0
1.3973015356361831e-12,0.3199420293931039,0.0,6.10049966457825e-59,True,0.0,8,True,0.0,0.0,0,gaussian,0.0,L2,,u_exposed_complete_information,0.0,True,-1.9524515814912364e-24,True,1.925929944387238e-34,True,1.9259299443871679e-34,1.9259299443871679e-34,1.96261557335472e-17,0.0
0.0027539553934237547,0.31969420361053336,0.0,3.7921351544838925e-06,True,0.0,8,False,0.0,0.0,0,gaussian,0.01,L2,,u_exposed_complete_information,inf,True,-7.584270308967789e-06,True,4.276699303214003e-06,False,1.3261143472545034e-05,1.3261143472545034e-05,0.0029246193951398196,0.0
3.475625620153372e-05,0.3199419895553206,0.0,6.039986725733268e-10,True,0.0,8,False,0.0,0.0,0,gaussian,0.01,IRMV1,,u_exposed_complete_information,inf,True,-1.2079973451466517e-09,True,6.416824527846125e-10,False,2.4262662833678867e-09,2.4262662833678867e-09,3.582408275963566e-05,0.0
3.5022703391840437e-06,0.3199455316634432,0.0,2.4125044493581816e-12,True,0.0,8,False,0.0,0.0,0,gaussian,0.01,VREX,,u_exposed_complete_information,inf,True,-1.2265897528728317e-11,True,1.7350904243388995e-11,False,3.403170707126695e-11,3.403170707126695e-11,5.890824092330206e-06,0.0
